,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03
B000GXE0FC,46.034375,46.43,46.43,46.43,46.43,46.43,46.43,46.43,46.43,47.03,47.03,47.03,47.03,49.75,49.75,49.75,52.46,52.46,53.69,55.55,57.13333333333333,57.13333333333333,57.13333333333333,57.13333333333333,57.13333333333333,58.75,60.13,60.13,60.13,60.13,57.115,57.115,57.115,57.115,57.115,62.02,67.33500000000001,67.33500000000001,67.33500000000001,67.33500000000001,67.33500000000001,67.33500000000001,60.18,60.18,59.485,59.485,59.485,64.01,64.01,64.01,66.98,66.98,65.83500000000001,69.99666666666667,65.83500000000001,65.83500000000001,65.83500000000001,65.83500000000001,72.65,66.98,72.65,66.98
B000HJIPB0,720.5030985915494,708.0602173913044,667.4984375,662.1807692307692,660.5333333333333,635.66,621.9994117647059,622.9305357142857,642.2282926829268,671.2423076923077,678.2576470588236,672.9716666666667,682.52078125,616.4670338983051,614.0120689655172,618.160671641791,639.9489595375723,654.8352713178294,655.8934146341463,700.1542857142857,690.0284615384616,700.7638823529412,688.206,676.2885714285715,710.5770642201834,719.7150697674418,703.841156462585,699.451551724138,716.827894736842,751.3751351351351,702.6595138888889,747.1254081632652,791.15125,922.8993421052631,786.6656756756756,763.5126262626262,958.201851851852,877.7450000000001,811.5657142857143,819.5784615384616,736.1503703703704,831.01,741.8536363636364,747.1370967741935,803.7379411764706,799.919411764706,821.535,818.4975,821.995,821.995,821.995,821.995,821.995,821.995,821.995,821.995,826.382,833.5183999999999,836.4851612903226,845.82,846.9286666666667,821.0
B000I17FFE,12.25,12.456666666666669,12.456666666666669,12.456666666666669,12.456666666666669,11.183333333333332,12.636666666666668,12.32,12.32,12.32,12.32,12.32,15.46,15.76,15.76,15.76,15.76,14.445,14.445,14.445,15.76,15.76,15.48,16.99,16.979999999999997,17.17,17.64,17.64,17.64,18.68,18.68,18.68,17.3,14.9,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,18.68,21.1025,18.68,20.38,22.90571428571429,19.76,19.76,19.76,19.76,18.88,18.665,23.1825,18.276666666666667,18.276666666666667,18.276666666666667,18.276666666666667,20.11111111111111,18.881875,17.1675,16.447499999999998
B000K81N4O,127.81222222222222,118.68222222222224,119.14444444444445,120.547,141.514,173.57,118.155,118.40615384615384,119.98,126.9664,125.6275,121.72650000000002,121.47333333333331,121.82,114.96625,118.1260975609756,116.60222222222222,117.72272727272728,122.95,122.95,125.2,127.89428571428572,126.76166666666668,125.67285714285715,126.90230769230767,132.2407142857143,130.0403448275862,132.085,124.99,121.44125,126.504,127.13,130.79166666666666,125.69375,122.78125,132.73666666666668,136.125,134.47676470588237,137.995,134.81,131.13883720930232,130.83313725490197,132.97615384615386,132.84065217391304,133.06142857142856,139.3,139.8815,137.4527272727273,126.7225,133.89333333333337,149.025,149.025,137.0,128.0,128.0,128.0,147.45,149.1457142857143,152.17702702702704,159.22485714285713,158.77076923076922,161.94142857142856
B000Q7TJ22,,1114.69,1082.4516666666666,1211.7557142857145,1387.165,1387.165,1387.165,1387.165,1387.165,1387.165,1387.165,1387.165,1935.42,1771.3733333333332,2012.56,2019.82,2019.82,2019.82,1354.0,1449.0,1449.0,1449.0,1449.0,2067.294,2067.294,2067.294,1775.0,1774.9333333333334,1775.0,1775.0,1775.0,1775.0,1707.6033333333337,1843.5566666666664,1647.2518181818182,1569.4209999999998,1624.05,1422.4133333333332,1422.4133333333332,1779.92,1499.0,1878.75,1872.87,1595.715,1499.0,1573.9985714285715,1382.09,1133.216,1808.238611111111,1893.927962962963,1920.0728571428567,1723.625054945055,1680.054480874317,1646.4882786885246,1547.8223333333333,1532.3266666666668,759.0985714285715,835.5116666666667,940.53,1322.699,852.5799999999999,810.12
B000Q8H96E,48.22369565217391,38.7825,37.902,38.818,38.64727272727273,38.479,39.12823529411765,36.43727272727273,39.73947368421053,37.215,36.21,34.75,36.86166666666667,37.605714285714285,38.015,36.025000000000006,34.648,35.51272727272727,39.01,40.53333333333333,36.18000000000001,33.29,34.77,41.36560975609756,48.09391304347825,47.884,55.31,43.4575,50.95071428571429,51.242777777777775,48.86615384615384,50.072,48.5840909090909,48.330000000000005,51.195517241379314,51.491282051282056,51.548,51.548,39.765,39.765,52.59111111111111,38.6889075630252,45.42014925373135,48.745666666666665,45.30974683544304,43.06378787878788,43.716623376623374,44.04990566037736,46.72013888888889,46.040416666666665,46.09066666666667,46.696666666666665,46.66644444444445,46.28473684210526,45.3921875,44.70769230769231,44.57454545454545,43.67869565217392,43.22752577319587,42.51108108108108,46.010000000000005,41.13666666666666
B000UVWGGK,,,,72.87111111111112,76.17375,72.80185185185185,69.19388888888889,67.595625,67.44238095238094,67.32666666666667,68.47749999999999,65.39,65.39,69.33,67.85666666666667,68.98153846153846,71.33,74.57,67.99000000000001,68.87428571428572,68.87428571428572,87.94,87.68,83.08545454545455,85.26933333333334,84.58272727272727,86.75399999999999,93.11333333333332,93.11333333333332,100.746,89.705,91.75285714285714,90.54,101.87181818181816,95.03157894736844,95.59566666666666,90.756,88.9011111111111,85.6181081081081,89.69868421052631,90.83,91.9759375,99.27944444444444,91.13636363636364,88.06285714285714,82.98666666666666,86.45636363636363,97.77888888888889,128.99454545454546,136.7034375,135.758125,141.9575,130.0,79.95,79.95,79.95,79.95,79.95,79.95,79.95,121.75,121.75
B000UW02A6,38.59133333333333,38.59133333333333,38.083333333333336,40.075,40.075,40.075,40.075,40.075,40.075,40.075,40.075,40.19,40.19,40.19,40.19,46.77,49.0,54.27333333333333,51.872,57.53666666666666,59.44,60.705,59.06,55.53666666666667,55.53666666666667,61.06,61.57285714285714,69.21155555555555,62.402,62.155,62.31,57.463750000000005,62.182,58.406666666666666,54.8275,54.8275,62.0,61.99,62.0,67.984,62.0,62.0,72.14999999999999,69.66,74.6425,77.18548387096774,74.52033333333334,79.27333333333333,80.78632653061224,99.99863636363636,99.58888888888887,117.2878125,119.0,119.0,108.99818181818182,109.0,109.0,109.0,109.0,109.0,82.34,82.34
B001652LU0,295.74142857142857,290.33,306.05333333333334,306.05333333333334,333.95666666666665,289.91533333333336,291.0229166666667,304.21230769230766,308.7125,334.07500000000005,323.10625,317.37,317.37,348.0180555555555,340.06,345.08666666666664,340.9,339.815,336.12,334.17999999999995,334.17999999999995,355.755,306.065,306.7057894736842,301.1083333333333,303.70000000000005,300.362,300.42,300.24,299.4,288.91,280.976,255.488,271.86777777777775,271.23857142857145,372.3954545454546,316.523,361.185,360.733,415.9164705882353,399.0825,388.3177906976744,379.4229838709677,382.048,388.90777777777777,390.10740157480313,387.818,384.1674509803922,376.2976288659794,376.2976288659794,450.0,450.0,441.0489285714286,423.782,423.782,423.782,537.36,537.655,537.36,450.0,388.07181818181823,450.0
B0017Y3GGI,253.005,235.6796875,238.94113207547167,187.2516666666667,207.0342553191489,232.47285714285712,259.9408571428572,259.9408571428572,192.0392307692308,190.204,182.75666666666663,182.75666666666663,159.98,159.99,159.99,187.49,177.42636363636365,180.39769230769232,162.8766666666667,169.99,191.49,180.99,180.99,189.95,174.95,185.8657142857143,191.95666666666668,189.95,159.95,188.47,181.13625,169.82800000000003,169.82800000000003,169.82800000000003,136.5525,176.46,189.95,199.97,195.47714285714284,189.95,182.02142857142857,169.57250000000002,162.81344827586207,188.7884,188.53077625570776,185.73806451612904,189.95,184.25,187.1,182.5875,195.2263636363637,195.2263636363637,195.2263636363637,179.99,133.995,194.495,192.9233333333333,173.51999999999998,199.0,174.995,146.0,146.0
B0017Y8X3O,159.65666666666667,165.34,241.57083333333333,239.31,244.12026315789475,279.26222222222225,264.38964285714286,177.2425,188.01,162.3722950819672,158.74,159.26666666666668,158.2525,158.43714285714285,154.7,156.80666666666667,136.65666666666667,158.35818181818183,166.99,162.99,185.31333333333336,175.235,284.925,247.9964285714286,210.109125,203.10651162790697,203.18892857142856,190.4073913043478,182.89115384615383,172.9116,206.4917391304348,206.4917391304348,178.497,168.9675,199.99,199.99,199.99,199.99,199.99,183.536,209.99,177.49,169.2536363636364,180.9385714285714,145.85,145.85,145.85,145.85,113.97,159.64363636363635,150.19,164.32333333333335,141.21666666666667,342.115,228.295,190.98,189.97,189.97,157.675,146.66,141.2475,141.2475
