,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03
B00004OCLJ,,,6.687333333333333,6.385555555555555,6.385555555555555,6.385555555555555,5.8100000000000005,5.745,10.785652173913045,12.170833333333334,5.862045454545455,5.854285714285714,5.833703703703703,5.833703703703703,5.833703703703703,5.98,5.970000000000001,6.31375,7.993,6.718999999999999,7.815053763440861,6.784000000000001,6.985,6.95,6.9775,6.95,14.483333333333334,7.970000000000001,7.913333333333334,7.99,7.952500000000001,7.952000000000001,7.974285714285714,7.598181818181818,7.414444444444445,7.321666666666666,7.985,7.365,7.856666666666666,7.74,7.090000000000001,7.426666666666667,7.915,7.915,7.611428571428571,7.2964705882352945,7.79375,7.9475,7.983333333333334,7.986666666666667,7.92375,7.930000000000001,7.794166666666666,8.4004,7.8945454545454545,7.476000000000001,7.578441558441558,7.7104,6.707272727272727,6.694285714285714,4.995,4.995
B00068O22S,7.98,8.9225,8.879999999999999,8.881875,8.577777777777778,8.555714285714286,8.47,8.696250000000001,8.961363636363636,8.784375,8.673846153846155,8.474,8.374,12.316989247311827,11.7575,12.626333333333331,10.0475,11.261363636363637,9.588333333333331,9.861428571428572,9.861428571428572,9.861428571428572,9.8425,10.305384615384614,9.975,9.773,9.28076923076923,9.786363636363635,9.568,8.931999999999999,7.96625,9.071666666666667,8.745000000000001,7.985,7.985,7.985,9.453333333333331,9.139166666666666,8.939655172413794,9.786666666666669,9.18575,9.15313725490196,9.742142857142856,9.13325,8.902666666666667,9.113035714285711,9.452608695652174,9.363333333333332,9.873333333333331,10.006470588235295,9.639090909090909,8.82,8.896756756756757,9.149180327868851,9.271999999999998,9.294642857142858,9.331333333333331,9.315,9.777142857142858,9.714210526315789,9.580384615384617,9.34625
B0007CQ726,,,10.95,10.864999999999998,10.94,10.946666666666664,10.5975,10.475,10.475,10.475,10.475,10.475,10.475,10.475,10.95,10.95,10.95,10.95,10.925,10.362727272727271,10.93,10.355,10.95,11.99,11.0,10.985,11.461666666666668,11.482183908045975,11.151818181818182,10.903684210526317,11.546,10.66,11.371666666666668,11.935,12.656666666666666,12.656666666666666,12.355454545454544,12.99,12.99,12.99,12.99,12.99,12.49,12.49,12.79,12.821666666666667,12.99,12.99,12.99,12.99,12.955,12.98,12.75,12.72,12.87,10.37,12.735,11.1334693877551,11.3925,11.609,11.0,11.0
B000ARTNRE,41.69833333333333,41.69833333333333,41.69833333333333,41.69833333333333,41.69833333333333,41.69833333333333,41.69833333333333,41.69833333333333,41.69833333333333,41.69833333333333,41.69833333333333,41.69833333333333,41.94,41.94,41.94,41.94,41.945,42.06,42.39,42.44,42.47,42.205,42.205,42.205,42.205,41.94,42.88,43.38,47.94,49.98,43.38,43.38,43.38,43.38,43.38,43.38,47.94,49.080000000000005,48.62428571428571,50.26,50.26,50.26,50.26,50.26,50.26,50.26,56.91,61.74,61.74,61.74,50.656666666666666,48.93666666666667,47.81,47.81,47.81,47.81,50.23333333333333,50.54888888888889,49.64818181818182,47.81,55.08,55.08
B000ARWL46,60.29857142857143,60.29857142857143,60.29857142857143,61.68,59.04,58.71333333333333,74.52,58.552,58.31333333333333,58.27,58.26235294117648,58.28181818181818,80.159,58.27,81.10099999999998,106.07222222222222,85.1676923076923,88.2009433962264,81.820625,79.82608695652173,72.47,70.735,70.735,71.81242424242424,69.66866666666667,69.79,71.83599999999998,67.99818181818182,72.20777777777778,77.06307692307692,77.40666666666667,67.56,67.56,67.56,67.56,67.56,68.03,70.28,70.23,70.28666666666668,70.28666666666668,70.28666666666668,70.28666666666668,73.46,73.46,73.56,74.92999999999999,74.49,74.49,75.86,77.32499999999999,75.9284,71.45333333333333,77.845,78.27,78.27,81.16,82.44,81.672,83.72,84.36,86.28
B000JOT2RO,7.98,7.764375,7.781999999999999,11.383636363636365,8.895714285714286,11.056190476190476,10.95,10.95,10.95,10.95,8.61,7.981999999999999,8.455,7.975,8.65,7.981999999999999,7.99,8.95,8.99,8.99,8.753,8.493333333333334,8.305416666666668,8.365833333333333,8.365833333333333,8.09,8.03,8.056666666666667,8.138,8.4,8.198571428571428,9.39,8.445,9.0,9.0,9.0,8.95,8.91,8.7,8.300851063829787,8.41,9.105,8.831578947368422,8.45375,8.593333333333334,8.45,8.45,9.008,9.008,12.69,12.643703703703704,11.85,12.295555555555556,12.295555555555556,14.3,14.15,11.7775,7.98,9.39,9.385000000000002,17.910454545454545,18.624
B000KW5I6E,29.915,29.915,32.75666666666667,32.374545454545455,29.87461538461538,29.84,23.52,28.415,28.415,28.415,29.915,29.915,29.915,29.915,29.915,28.611818181818183,26.886666666666667,27.56126984126984,24.6812,24.6812,26.937368421052632,29.84,29.82,23.99,20.8225,26.41794871794872,26.93139534883721,26.93139534883721,29.99,28.92,26.040000000000003,27.926666666666662,33.79571428571428,32.77,34.50666666666667,34.50666666666667,31.41,33.59142857142857,33.59142857142857,25.99,31.892857142857142,31.892857142857142,31.405,31.405,33.405,31.405,31.405,31.405,29.99,29.99,29.98,29.98,29.986666666666665,29.49,29.49,26.99,26.99,26.99,21.81,29.99,20.99,26.82333333333333
B000N0SNHY,3.73,3.99,4.01,4.98,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.0,3.99,3.99,3.87,3.87,3.935,3.8642857142857134,4.093333333333334,5.852622950819672,7.857115384615384,7.450833333333333,3.99,3.802222222222222,4.035357142857143,3.9694736842105263,3.834000000000001,3.82,3.82,3.82,3.995,3.995,3.8733333333333335,4.0,4.0,4.0,4.0,3.99,3.995,3.995,3.772222222222223,4.220454545454545,4.99,4.49,4.49,3.99,3.99,3.99,3.99,3.99,3.99,5.451086956521739,5.771284403669725,5.009047619047619,4.985,4.4350000000000005,5.49,5.24,5.24,5.24,5.24
B000QU75H0,,,,,,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.2,15.2,15.2,15.2,15.2,15.2,15.2,16.0,16.0,16.0,14.0,14.0,14.0,14.0,16.0,16.0,16.0,16.0,16.0
B000R3BJA0,10.60888888888889,11.966153846153846,8.495000000000001,10.485,10.485,10.485,11.964,13.68909090909091,14.931,15.595714285714283,16.439,19.521666666666665,15.794545454545457,15.794545454545457,15.794545454545457,17.491666666666667,16.970714285714287,14.790555555555557,13.548823529411765,11.876875,10.590000000000002,10.590000000000002,9.911666666666669,9.95,9.313,9.95,9.95,9.96,9.916666666666666,7.245,9.85,8.72,6.5575,6.906666666666666,6.609999999999999,10.961176470588237,11.43,10.894285714285717,12.124444444444444,10.869545454545454,10.158181818181818,11.04,10.9325,10.774,9.98375,10.04142857142857,10.195714285714288,10.245,9.97,9.9725,10.335,9.458333333333334,9.458333333333334,11.415,11.34,10.249166666666667,9.156666666666666,9.16,8.715744680851063,8.995000000000001,8.995000000000001,8.995000000000001
