,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03
B0002LIB6M,7.955,8.084285714285715,7.51,8.34,8.34,8.34,8.34,8.34,6.6,6.6,6.6,6.6,6.6,6.6,8.553333333333333,7.7,7.7,8.13,7.704166666666667,7.704705882352941,8.167200000000001,8.476666666666667,8.475,8.216666666666667,7.7,8.89,8.34,8.345,8.345,9.7375,9.5625,11.38,10.385,11.005,11.285625,12.33918918918919,12.048333333333332,11.007462686567164,11.254444444444443,11.666666666666666,12.11,11.841578947368422,11.491666666666667,11.884444444444446,11.165625,11.11,11.802142857142858,11.988888888888887,11.575,12.099444444444444,11.928636363636365,11.129926470588236,10.809074074074076,10.89857142857143,11.092727272727272,12.004285714285714,10.845301204819275,10.947438016528926,10.935762711864408,11.190186335403729,11.027142857142858,10.7
B000PSZDNQ,24.99,29.884545454545457,24.99,24.99,26.582,24.99,24.99,24.99,24.98,24.9,24.9,24.9,24.99,28.0,28.0,25.2475,25.2475,29.326666666666664,32.47,29.7675,20.075,26.745,26.995,29.99,28.98,28.98,28.98,34.99,34.99,34.99,34.99,37.54555555555556,37.473333333333336,37.24,37.358421052631584,39.89,39.89,39.3525,30.89909090909091,30.89909090909091,33.16357142857143,30.80333333333333,30.04230769230769,32.1,25.88142857142857,27.42,27.42,27.42,27.99,30.99,34.99,29.70428571428572,33.99,33.99,33.05,32.89909090909091,36.82,30.126,29.70428571428572,39.445,34.23444444444445,33.34
B001RKLYIE,35.9975,31.84,47.99,48.245000000000005,41.59,39.99,39.99,39.99,39.99,39.99,39.99,39.99,39.99,39.99,39.99,42.74,44.656666666666666,44.656666666666666,46.495000000000005,46.608,47.65555555555555,47.99,47.99,42.99,45.49,45.49,45.49,42.99,49.99,49.99,49.99,49.99,49.99,40.39,40.39,40.39,40.39,40.39,44.605,42.585,42.585,42.585,46.70428571428572,43.31269230769231,44.99,41.656666666666666,42.929,45.57,47.13323529411765,48.15227272727272,49.87263157894737,46.75186046511628,49.7728,49.88454545454545,48.56133333333333,47.031276595744686,47.031276595744686,34.99,62.086461538461535,58.66477064220184,57.874264705882354,59.145
B002DEZFTW,,,,,,,,,,,,,,54.74,54.74,54.74,54.74,54.74,49.99,49.99,54.99,54.99,54.99,54.989999999999995,54.989999999999995,54.99,54.99,54.99,54.99,59.99,59.99,59.99,59.99,55.063529411764705,55.076206896551724,55.14151515151515,54.99,54.99,55.12189189189189,55.22547619047619,54.96666666666667,59.99,56.85875,56.136153846153846,56.316,44.99,47.21222222222222,59.99,59.99,59.99,59.99,59.99,59.99,59.99,58.64529411764706,52.85148148148148,58.870000000000005,47.2108,55.78590909090909,55.78590909090909,54.99,54.99
B002E0SB3M,21.98333333333333,21.98333333333333,21.98333333333333,27.316666666666663,30.97,31.95,31.95,31.95,31.95,31.95,31.95,31.95,28.65333333333333,30.485,32.379999999999995,26.8525,26.8525,26.8525,28.32333333333333,28.32333333333333,30.262,30.262,30.262,30.262,30.262,30.262,30.262,30.262,30.262,30.262,30.262,30.262,30.262,26.99,26.99,29.49,29.49,29.74,29.69,29.63,28.993333333333336,28.94875,28.94875,24.656666666666663,24.656666666666663,25.49,25.49,29.82,20.98,28.48,28.48,23.98111111111111,29.99,29.99,22.49,22.275714285714283,22.275714285714283,25.49,28.49,28.49,20.99,29.99
B002YC83MO,7.115833333333334,7.457142857142857,7.92,7.943333333333332,7.852857142857142,7.436470588235294,8.348333333333334,7.24,6.661600000000001,7.07,9.327179487179489,11.245416666666666,14.932624999999998,12.936835443037976,9.95014492753623,13.441698113207549,14.12578947368421,12.634242424242425,6.013508771929824,2.396676217765043,1.5985824742268042,1.2948945147679325,1.466,1.497142857142857,2.338,4.102222222222222,2.9125454545454543,2.173076923076923,3.65,5.95051282051282,8.522666666666668,4.791967213114754,5.84,6.68,3.26,5.503333333333333,5.503333333333333,7.77875,8.065357142857144,7.339230769230769,6.8933333333333335,8.25340909090909,7.956326530612245,8.175510204081633,8.658727272727273,8.425376344086022,8.298877551020407,8.463095238095239,6.57,8.145999999999999,8.123125,7.232000000000001,6.889615384615384,6.265000000000001,5.565384615384615,5.890000000000001,6.5200000000000005,8.520857142857144,9.41641791044776,9.580333333333334,9.632529411764706,9.42
B004QO20MW,13.164,12.123333333333337,11.97,18.596666666666664,17.419090909090908,17.220769230769232,16.473333333333333,17.427500000000002,16.0875,14.13,14.410000000000002,14.410000000000002,14.410000000000002,20.77,21.876,14.795999999999998,12.306666666666668,12.306666666666668,14.366666666666667,14.5,14.655,14.13,14.13,14.13,15.968,16.308,16.41969696969697,16.262857142857143,17.34609756097561,16.355384615384615,17.729999999999997,14.415,16.012,16.729999999999997,16.729999999999997,16.5975,16.371666666666666,16.004545454545454,16.004545454545454,13.559166666666666,14.02864406779661,14.704166666666666,16.47,19.81421875,15.600454545454545,16.399801980198017,18.57055555555556,15.765857142857142,16.369557522123895,16.367073170731707,17.788,16.728571428571428,15.705000000000002,16.409473684210525,15.0,16.235,16.915,15.92625,16.029166666666665,16.235,16.235,16.235
B004Z210H6,10.796666666666669,11.652222222222225,12.404166666666669,13.177,14.65,16.700000000000003,14.871538461538462,17.271,19.37333333333333,14.060666666666666,13.072857142857144,13.3475,13.3475,10.63,10.623333333333331,10.623333333333331,11.206666666666663,11.61,11.61,10.46,10.04,8.342500000000001,11.83,11.83,11.83,11.48,10.43,10.43,10.71,10.71,10.485,9.845714285714283,11.69,10.935,9.985,10.796666666666663,10.852,10.75516129032258,10.071212121212122,11.073333333333334,9.992333333333333,10.141,9.88,9.88,10.072727272727272,10.213,10.213333333333331,14.624148936170211,15.25215909090909,15.359811320754718,10.97,10.613333333333332,10.643333333333333,9.214736842105264,8.7425,11.94,8.094999999999999,7.737999999999999,8.1275,8.1275,10.17,10.17
B005FVQXJG,19.745,20.495,20.66333333333333,18.9975,20.495,20.2475,20.495,19.93166666666667,19.594,18.16,21.708571428571425,22.318,21.56428571428572,21.65833333333333,20.68428571428572,21.16,20.49,21.325,21.325,19.19,19.068,16.994,14.693333333333332,21.79,20.0175,20.0175,21.07428571428571,19.99,19.275714285714287,22.49,21.328,21.49,20.268181818181816,18.32333333333333,19.994,20.196,21.32333333333333,24.59307692307692,29.694339622641508,25.10222222222222,24.48619047619048,23.973333333333333,28.273125,27.66633333333333,22.850465116279068,23.27694444444445,20.99333333333333,22.204,22.88,25.15,23.4,24.42428571428572,24.28,23.905,25.67333333333333,23.995555555555555,20.9925,22.777142857142856,24.37,26.615,25.7,25.7
B005PJ1CC6,42.371428571428574,38.29,35.553333333333335,39.98,36.914,38.553333333333335,37.68666666666666,36.28787878787879,38.46333333333333,34.98,32.31,32.31,45.82,39.99,41.50833333333333,39.52777777777778,38.94571428571429,36.43,34.9048,33.99,34.76375,34.115,39.805,36.91333333333333,37.42714285714286,44.79333333333333,44.79333333333333,44.79333333333333,44.79333333333333,44.79333333333333,44.79333333333333,44.79333333333333,44.79333333333333,44.79333333333333,44.79333333333333,44.79333333333333,44.79333333333333,44.79333333333333,44.79333333333333,44.79333333333333,44.79333333333333,44.79333333333333,44.79333333333333,44.79333333333333,44.79333333333333,44.79333333333333,38.69,38.69,38.69,38.69,38.69,38.69,38.69,38.69,38.69,38.69,38.69,38.69,38.69,38.69,38.69,38.69
