,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03
B00004SABB,,12.813333333333333,16.169999999999998,18.89,18.968333333333334,18.8675,15.8125,16.47,17.976666666666663,15.526666666666666,18.49,18.778,20.562093023255816,19.75283333333333,21.13,19.6675,17.95,17.95,16.3375,16.3375,16.3375,16.465,17.95,19.115,19.95,17.975,19.2125,18.76,19.95,19.95,18.41,20.915,20.8025,21.765,20.235,20.722,20.722,20.68,20.68,19.868571428571425,20.83,20.83,20.83,20.83,21.88,20.82,20.82,18.112,20.82,22.21,23.027142857142856,24.732,24.023043478260867,26.32446428571429,23.211333333333336,21.744444444444444,21.821111111111108,23.069166666666668,20.923,21.88,21.69222222222222,21.208125
B00004SABC,16.91,16.91,10.0,15.0,19.14,22.695,22.695,22.695,21.432,21.802,22.19333333333333,24.62333333333333,22.225517241379308,21.4936,20.99655172413793,22.48,24.2,24.2,24.2,16.63,16.63,17.206,24.49448275862069,21.645,21.645,18.69,24.296904761904763,21.715714285714284,21.97,21.296666666666667,20.950000000000003,19.9,18.273333333333333,22.445,22.26333333333333,23.89125,22.786666666666665,23.51944444444445,23.76875,23.8,20.24,21.357142857142858,21.357142857142858,19.892,19.9,19.9,19.935,19.7,19.89,19.9,22.38676470588236,31.515652173913043,32.248000000000005,30.38833333333333,31.0725,39.04,30.47,31.398235294117647,28.66142857142857,26.81882352941177,27.339230769230767,27.339230769230767
B00004SABJ,51.64,54.482000000000006,61.44684210526316,61.44684210526316,60.0,57.45333333333334,71.705,74.44347826086957,67.04066666666667,65.95166666666667,68.42565217391304,66.1944827586207,65.2624,66.15859999999999,66.97666666666667,63.086666666666666,63.086666666666666,63.715,63.715,63.715,63.055,63.055,61.39333333333334,66.86,66.86,58.0,58.90441860465116,57.04679611650485,64.751875,64.9319512195122,47.39666666666667,60.774,60.774,51.95,51.945,51.945,50.0,50.975,56.29833333333334,63.92,67.23211267605633,79.38578947368421,68.42625,68.42625,67.27,68.27,64.99,63.55500000000001,65.63,62.49,65.13,60.99,54.35,43.8,55.90375,82.48,81.6021052631579,66.62714285714286,67.99555555555555,67.99555555555555,67.99555555555555,67.99555555555555
B00004THDE,1259.3771428571429,1261.1323076923077,1335.19,1285.655789473684,1351.9,1472.3266666666666,1599.95,1501.7375,1555.0675,1515.2242105263158,1555.186428571429,1572.6363636363635,1640.6666666666667,1669.198,1541.416842105263,1520.57,1608.996,1648.995294117647,1801.857142857143,1469.0,1499.0,1899.0,2059.0,2165.6666666666665,1894.0,1686.563125,1665.3081818181818,1764.1304347826087,1825.470588235294,1739.198,1699.052105263158,1554.3277777777778,1565.99,1699.0,1580.3584,1565.4313333333334,1481.1955555555555,1456.85625,1441.9888888888888,1374.926923076923,1362.4538095238097,1278.3964150943395,1273.029393939394,1216.4552941176469,1182.1509523809525,1174.565897435897,1141.8128735632183,1176.6333333333334,1199.392142857143,1225.11125,1226.4077777777777,1208.6890625,1086.869,1073.6422580645162,1118.1664150943395,1173.32,1145.8375824175823,1157.4875,1156.7375,1151.0,1153.8322222222223,1153.8322222222223
B000051ZO5,58.68333333333334,54.785,58.27333333333333,59.66,54.0,61.42,61.495000000000005,62.735,69.69153846153846,62.41333333333333,72.44399999999999,72.44399999999999,66.72,69.4545,67.93,67.69,67.69,67.69,59.966043956043954,58.431875000000005,58.824137931034485,61.9,61.9,61.96,52.22833333333333,52.178,55.0875,53.03666666666667,52.25111111111111,56.59333333333333,59.024,50.68,50.43434782608696,52.3892,57.5898717948718,57.05075000000001,67.613,68.33222222222223,65.7240625,64.064,60.120000000000005,60.120000000000005,56.26,57.60999999999999,62.1925,52.30555555555556,52.17266666666667,57.352,57.352,57.352,53.775,52.173333333333325,56.40832,56.42380281690141,51.66611111111112,48.42370370370371,49.99411764705882,49.807647058823534,56.99923076923077,58.49,58.495000000000005,58.495000000000005
B000051ZOA,31.03336734693877,30.31152173913044,34.50929824561403,36.46633333333333,43.93192307692308,38.92111111111112,36.655,38.56142857142857,39.70857142857143,39.74260869565217,39.43961538461539,40.54055555555556,39.56684210526316,38.76235294117648,38.6235,37.951,39.17125,34.98666666666667,34.47,36.84,33.9425,39.31,39.02157894736842,38.96857142857142,39.6,35.652142857142856,35.865625,35.723333333333336,43.146428571428565,38.79,40.495000000000005,40.715,35.77666666666667,44.4,38.96,38.96,38.055,45.79275,38.103,38.279,46.27230769230769,49.0925,51.34,53.445,53.445,34.2,41.64333333333334,41.64333333333334,41.64333333333334,45.1275,51.05142857142857,56.2425,57.83222222222222,45.45875,49.18153846153847,51.99837209302325,44.843555555555554,42.9752380952381,41.50315789473684,40.61303030303031,41.03088235294118,41.03088235294118
B0000665V4,27.99,31.115,35.12263157894737,38.955714285714286,35.52,41.64666666666667,42.96333333333334,36.37833333333334,34.97,34.97,39.97666666666667,41.45,41.45,41.45,41.45,41.58271186440678,40.94833333333333,38.7,39.95,42.246,41.22666666666667,44.6265,45.1425,46.36176470588235,48.95,47.59,45.95743902439025,45.73578313253012,45.4372,45.4372,45.4372,45.4372,43.924,43.924,43.924,47.63,47.975,46.09761904761905,41.20254901960784,49.95,49.97,39.945,37.135,35.89,32.233333333333334,32.233333333333334,34.37,33.6875,33.6875,33.6875,40.905,40.905,40.905,40.905,40.905,40.905,40.905,40.905,40.905,40.905,40.905,40.905
B00007KDX6,26.297733333333333,26.155,27.1493006993007,27.432881355932203,28.7694623655914,28.30472727272728,30.21984375,33.2981512605042,32.872096774193544,31.318571428571428,31.726129032258065,32.1875,28.717241379310344,27.955384615384617,27.979375,28.151904761904763,28.647356321839084,30.99967741935484,28.15857142857143,28.125,27.36117647058824,25.60883720930233,25.36584615384616,26.66642857142857,25.08192307692308,25.36406779661017,23.572666666666667,25.7515,24.53761904761905,24.32809523809524,23.991612903225807,24.536666666666665,26.0926,28.273020833333334,26.167142857142856,27.72351063829787,27.27541666666667,28.028588957055213,28.66918918918919,28.66918918918919,28.790000000000003,28.67907407407407,28.624,28.82109375,28.133333333333333,26.916037735849056,27.41642857142857,29.12625,27.396049382716047,27.494888888888887,28.668125,28.496666666666663,28.96272727272727,30.8064,32.592727272727274,34.47666666666667,32.80608695652174,32.43681818181818,32.345,31.65833333333333,29.23428571428571,29.23428571428571
B000083JEZ,,,26.99,26.13,30.99142857142857,31.68625,32.21,32.21,32.21,30.18,39.90642857142858,36.14928571428572,34.46,30.18,30.18,30.18,25.04,30.18,30.18,32.98,30.07,29.98,33.599999999999994,33.43857142857143,34.472857142857144,34.41375,35.02,31.914285714285715,35.5225,37.825,29.820000000000004,21.99,18.99,25.98,25.98,30.888,23.985,32.324285714285715,30.50439024390244,24.976666666666663,30.656666666666663,28.707142857142856,28.995,28.995,28.995,31.995,31.995,31.995,31.0,31.0,31.593333333333334,33.08428571428571,36.31,39.8,35.095,36.98,36.98,36.26444444444444,38.72923076923077,31.761666666666667,37.13166666666667,37.625
B00008Y0VU,267.3623783783784,287.6,279.645,279.96,325.29764705882354,330.78277777777777,389.875,399.6333333333334,464.8642857142857,397.565731707317,521.0775342465754,476.7367213114754,396.4866666666667,353.461052631579,340.0835714285714,339.11428571428576,386.3410638297872,391.76953488372095,369.9607692307692,394.99142857142857,429.824,410.0991111111111,392.37395833333335,412.18375,399.7926666666666,450.3441666666667,404.09,399.1783333333333,399.1783333333333,399.0,419.95,323.71,395.102,394.29748148148144,356.87999999999994,324.41,360.46,375.205,376.3366477272728,376.475,409.95,373.2114285714286,388.2716666666667,388.2716666666667,388.2716666666667,371.9917647058824,371.9917647058824,380.65625,390.1275,379.17,386.011,386.011,386.011,386.011,456.415,470.1482352941176,439.99,434.93125,432.6744444444445,499.95,446.845,446.845
