,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
B0000E5JIU,6.461333333333333,6.522500000000001,5.575,5.575,7.614285714285715,7.365,6.2975,5.5725,5.865833333333334,6.232702702702703,6.25741935483871,6.7681818181818185,7.0200000000000005,7.44695652173913,6.879310344827586,7.538333333333333,6.684444444444445,6.684444444444445,7.08840579710145,7.438125,6.471206896551724,5.567552083333333,5.420217391304348,6.6850000000000005,7.911785714285714,8.067,6.125675675675676,6.305555555555555,6.56,7.711428571428571,7.944,7.893333333333333,7.925384615384615,7.857857142857143,7.857857142857143,8.455,8.288571428571428,8.455,8.455,8.455,8.455,6.99,8.99,8.99,8.99,8.86,8.86,8.86,8.86,8.74,8.81,9.407826086956522,9.386,9.386,9.485,9.522727272727272,9.011,9.777142857142858,9.7325,9.7325,9.8175,10.024285714285712
B0001UXQ9Q,,,22.2325,23.864117647058823,11.935,11.906153846153844,11.318181818181818,10.86,10.65,10.755,10.755,10.873333333333331,10.755,10.63,10.546,10.346153846153848,11.275454545454544,11.029,10.575,11.463571428571427,12.43,12.5,12.5,12.5,12.815,12.815,12.815,13.64,11.65,11.558333333333332,11.49,11.49,11.49,12.815,11.45,11.25,11.25,10.652857142857142,3.69,7.47,11.25,21.308333333333334,11.25,10.25,14.463333333333331,16.47,16.45,12.8,16.285,16.285,16.285,16.285,16.285,19.070714285714285,11.625,11.625,11.625,11.625,12.8,12.8,13.796666666666669,18.97
B0002LD9IW,7.81,5.578181818181818,4.9625,4.032,4.756666666666667,4.756666666666667,4.756666666666667,4.756666666666667,3.81875,3.74,3.74,3.74,3.74,3.74,2.743846153846154,3.89,3.808181818181818,3.39,3.99,3.99,3.99,4.365,3.5733333333333337,4.723333333333334,3.99,3.615,3.615,3.98,3.98,4.362,4.362,4.47,4.47,3.29,3.29,3.88,4.699999999999999,4.4075,3.765,3.765,3.765,3.765,3.585,3.585,3.585,3.585,3.585,4.01,5.193333333333333,4.84,4.805,5.242857142857143,1.3533333333333335,1.3533333333333335,1.3533333333333335,4.035,4.035,4.05,4.05,4.031999999999999,4.031999999999999,4.031999999999999
B00032BPCM,3.847777777777778,3.553333333333333,7.652325581395349,4.737205882352941,1.5655555555555556,1.5655555555555556,1.5655555555555556,1.6375,3.287567567567568,3.4255000000000004,3.689404761904762,3.5888,2.707333333333333,2.625384615384615,2.8157692307692304,3.852068965517241,3.207142857142857,2.1128,5.030322580645161,4.3315,4.972222222222222,3.1753571428571425,3.172,2.6766666666666663,3.5978125,3.6931034482758633,4.363636363636363,3.903469387755102,2.5652777777777778,1.9592105263157893,1.2339285714285713,3.6625,6.388,7.43,2.650714285714286,3.8220833333333335,2.897647058823529,3.67651376146789,2.282535211267606,2.592389380530973,3.915,3.6805607476635513,2.851307189542484,3.748102189781022,3.3682142857142856,1.8326666666666669,2.239333333333333,3.126273291925466,3.232027027027028,5.943829787234042,4.934666666666667,4.3500000000000005,1.5889473684210529,2.105714285714286,5.160645161290322,4.68,5.98,4.951666666666667,5.269259259259259,5.179375,5.166666666666667,5.057307692307693
B000AXW9XI,10.208285714285717,11.024,11.4775,14.070645161290322,12.530238095238095,11.88108108108108,11.717692307692309,11.456486486486488,10.265370370370372,10.155625,9.788846153846151,9.050470588235294,8.7436,10.292022471910112,11.284245283018867,11.471666666666668,11.17602564102564,10.5315,10.4304,10.249318181818182,9.003333333333334,9.003333333333334,5.805,5.805,5.805,9.508571428571427,8.431724137931035,7.92608695652174,7.645333333333332,7.7247826086956515,8.953260869565218,8.505074626865673,8.294090909090908,8.731933333333332,10.701891891891892,10.3851376146789,9.997826086956522,9.6781914893617,10.101304347826089,10.145,9.647777777777778,9.988947368421051,10.315555555555555,9.707058823529412,9.27357142857143,11.34955223880597,11.294285714285714,9.975833333333334,9.867027027027026,9.882352941176473,9.185,9.793333333333331,10.02470588235294,10.461,11.595,17.99,17.980555555555554,17.97,18.99333333333333,19.99,16.18,14.24
B000E0DUJO,41.48214285714285,37.69,31.64125,36.59666666666666,34.64333333333333,33.68772727272727,32.97166666666667,30.15875,31.844848484848487,34.29108695652174,34.07840909090909,34.35666666666667,34.129705882352944,38.29571428571429,33.53098360655738,33.321333333333335,27.6698,27.837857142857143,32.12916666666667,30.99,29.169,25.376,29.455714285714286,26.975,26.975,26.975,28.71,28.380000000000003,29.351,29.351,29.351,29.351,29.351,29.351,29.351,26.682,26.16588235294117,31.88,32.22,32.22,31.715,31.715,31.715,34.91818181818182,34.064,34.064,34.1975,29.572,39.42234042553192,47.16484848484848,36.0125,38.695,42.362,41.63131578947368,34.47,34.1125,34.41,33.72,37.0975,33.965,32.086,32.44222222222223
B000E3Z0BM,7.508333333333333,8.347272727272726,8.0944,6.63,6.63,6.63,5.76,4.868571428571428,5.51,7.39,6.685714285714285,5.700483870967742,5.269259259259259,5.579789473684211,4.739183673469388,5.440666666666667,3.876794871794872,3.31375,5.7425,5.55,5.89,5.89,5.614999999999999,5.614999999999999,5.614999999999999,5.614999999999999,5.614999999999999,5.614999999999999,5.614999999999999,5.614999999999999,5.42,5.322857142857143,5.322857142857143,5.322857142857143,8.808,9.56,9.57,8.452666666666667,9.877222222222224,9.838461538461535,7.12,7.12,7.12,7.824285714285714,7.824285714285714,8.579347826086956,8.856448598130841,8.9325,9.02875,9.985,11.252380952380951,10.2325,10.41,9.927142857142856,9.72,9.4353125,11.11964285714286,10.278076923076924,11.116511627906975,10.109,9.626315789473685,10.65
B000E671W0,13.83,13.882857142857144,13.83,13.83,13.830000000000002,13.83,13.742142857142856,16.245555555555555,16.245555555555555,16.245555555555555,13.1775,14.105,14.105,14.105,14.105,13.678333333333336,12.75,14.22,11.73,21.88391304347826,27.398857142857143,27.971875,26.41523809523809,26.41523809523809,14.97,16.847631578947368,17.185357142857143,15.845,16.26,17.1,17.1,17.1,17.1,17.546666666666667,16.611176470588234,15.356666666666667,16.778333333333332,17.447142857142858,18.295384615384616,18.19,17.489848484848483,17.583750000000002,18.71,18.71,20.12,19.99,18.868,19.99,17.83,17.83,19.77142857142857,19.77142857142857,18.55,18.5,18.635555555555555,16.7225,16.7225,15.016666666666667,14.97,18.16,17.5875,18.24
B000EVMNP0,,,,17.5,17.5,16.144,16.144,16.144,17.45,16.983333333333334,16.983333333333334,20.140833333333333,26.327777777777776,27.82857142857143,22.951063829787238,17.88590909090909,20.82,24.445555555555558,26.985217391304342,27.74215686274509,32.708888888888886,28.365645161290324,27.789666666666665,28.175275590551184,28.175275590551184,15.3,15.3,15.3,28.731666666666666,33.18234042553191,33.25645161290323,31.655357142857145,34.756,33.521,37.18,37.18,37.18,37.18,37.18,37.18,37.18,37.18,37.18,37.18,37.18,37.18,37.18,37.18,37.18,21.59,21.59,21.59,21.59,30.4775,30.4775,55.634375,45.3637037037037,71.36423076923077,70.54866666666666,74.44866666666667,74.16833333333334,74.16833333333334
B000F3N7AC,16.228333333333335,17.6,17.6,19.10333333333333,19.10333333333333,19.10333333333333,19.10571428571429,16.52625,29.40179104477612,30.668205128205127,22.782692307692308,24.31111111111112,28.54,24.8312,16.902250000000002,20.78787234042553,17.42915254237288,17.401646706586824,17.589556962025316,17.41985347985348,17.34702702702703,13.942105263157895,14.758333333333333,16.476666666666667,16.586666666666666,15.9825,13.85888888888889,14.536142857142856,14.39632911392405,14.850116279069766,14.68625,14.795,16.54,14.515,17.9275,27.11428571428572,30.83451388888889,28.130701754385967,26.446458333333336,23.17,26.122000000000003,26.253636363636364,26.155,25.69666666666667,23.95285714285714,18.86,19.776,22.79732142857143,23.1279674796748,23.86259259259259,24.398837209302325,23.573478260869564,20.34647058823529,21.824615384615388,20.360666666666667,29.332,28.74428571428572,29.95,29.93142857142857,28.796666666666667,28.796666666666667,23.06
