,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03
B00004OCIP,9.7325,9.97,15.456875,13.316896551724136,13.316896551724136,13.316896551724136,13.316896551724136,16.275,9.821636363636363,9.075,9.94,9.776666666666666,9.764,9.924166666666666,9.976666666666668,9.946666666666667,9.65,9.902962962962963,10.787396449704142,10.848983050847458,10.74470588235294,10.794,10.597142857142856,10.878928571428572,10.88855072463768,11.2072,11.644117647058824,10.9295,11.39,11.589166666666666,11.552857142857144,11.95,11.724,11.607916666666668,11.312142857142858,11.625577889447236,11.757777777777775,11.888,11.797897727272726,11.702868852459016,11.645142857142858,11.201875,11.787142857142856,11.757,11.77625,11.675,11.633333333333333,11.6975,11.717448979591836,11.358125,11.248231292517008,11.290206185567012,9.980947368421052,10.568142857142856,11.155,10.303205128205128,9.693812949640288,9.745833333333334,9.93314049586777,10.2808,10.39236842105263,11.328875
B00005UP2M,335.1033333333333,355.48,331.63975,377.02,328.72083333333336,409.0,384.475,359.95,359.95,359.95,359.95,359.95,359.95,359.95,359.95,359.95,359.95,359.95,448.2,583.7036363636363,849.58,673.79,967.8004,795.5071794871794,441.3809523809524,551.5415789473684,454.21725,434.11958333333337,427.426,409.3658333333333,419.29375,413.84,360.4920192307692,350.2990178571428,350.0614963503649,363.61285714285714,432.98,399.95,368.71,353.10429906542055,432.2225,449.95,439.47,384.6156043956044,383.3244578313253,349.9797727272727,332.85403409090907,332.85403409090907,379.95,381.061746031746,362.5375555555556,336.2778846153846,349.97,351.26927272727266,379.951,381.54090909090905,351.65101694915256,331.0824528301887,361.36910256410255,449.97352941176473,449.974,449.974
B0000645YL,32.99,31.348000000000003,39.04466666666666,39.94,38.935,37.28666666666667,37.28666666666667,37.28666666666667,39.870000000000005,37.175,37.175,37.175,37.175,37.175,38.99,39.88333333333333,39.278000000000006,39.95,39.95,37.14090909090909,33.81125,34.55,34.55,38.64,39.585,39.785714285714285,39.785714285714285,39.945,39.945,39.945,39.945,39.945,39.370000000000005,39.734375,39.28375,39.64848484848485,39.204166666666666,39.9,39.55793103448276,39.00117647058824,39.303333333333335,39.62222222222222,38.20529411764706,37.93857142857143,37.98816513761468,37.99980392156864,39.72,39.72,39.925,39.925,39.925,39.925,35.99,33.92,33.92,38.95,33.64666666666667,35.98,39.27,32.99,39.290000000000006,39.290000000000006
B00006JKZN,31.599090909090908,26.94666666666667,45.93098214285715,41.21289156626506,40.54826923076923,36.98983333333333,38.18132530120482,37.47111111111112,37.47111111111112,27.129999999999995,34.77644859813084,33.32818181818182,29.931818181818183,37.65271186440678,29.916944444444443,29.4,29.8075,29.747000000000003,29.779090909090908,23.185714285714287,23.92933333333333,27.94666666666667,27.35833333333333,27.30375,28.53263157894737,26.444761904761908,26.855000000000004,26.2,28.450000000000003,28.75,28.766666666666666,24.495,25.392,20.14333333333333,25.376666666666665,39.2384375,29.935,28.075,28.44142857142857,29.883333333333336,29.883333333333336,27.55962962962963,28.59857142857143,27.927916666666665,29.3725,29.9,29.9,27.44424242424242,29.2975,27.736818181818183,29.32,28.854444444444443,28.822777777777773,28.231428571428573,29.7,29.216,27.66625,29.415,30.24272727272728,28.4475,25.96857142857143,27.548
B00006JSUB,23.46,23.445,24.85727272727273,24.215,24.215,23.17,24.80444444444445,24.80444444444445,24.80444444444445,26.44,23.80625,25.49636363636364,26.2504,26.824615384615388,24.23375,30.02,28.654545454545453,27.545,27.545,28.81,28.2765,30.1771875,30.279333333333334,29.84809523809524,29.25216216216216,27.79805555555556,23.534146341463416,24.786666666666665,24.615714285714287,28.19777777777778,27.63186440677966,28.25060606060606,27.45,27.74857142857143,31.56217391304348,32.35346153846154,28.7865,29.750714285714285,29.292352941176468,29.86285714285714,29.157692307692308,24.87444444444445,26.742142857142856,27.44555555555556,27.187,27.325,26.296666666666667,23.94,32.24738095238096,32.39528571428571,32.31634146341463,28.7225,26.115757575757574,26.165454545454544,25.48333333333333,26.52311111111111,24.697142857142858,25.814210526315787,27.503,27.5848275862069,28.33272727272728,28.33272727272728
B0000A1ZN1,57.63166666666668,72.30060975609756,68.40039215686275,64.51565217391305,88.02191489361702,61.74555555555556,60.98181818181818,65.84,63.455,61.962,63.164,62.455000000000005,62.455000000000005,69.47655172413793,62.38642857142857,61.72428571428571,66.45333333333333,65.10571428571428,62.99,61.12166666666667,59.22,58.95,58.783255813953495,67.88260869565217,67.88260869565217,64.166,60.946666666666665,63.3325,67.91888888888889,67.48375,67.214,69.95,69.95,65.36,69.47,67.475,65.59341463414634,60.625,65.83571428571429,57.333333333333336,66.51625,62.94714285714287,66.40526315789474,65.975,55.6476923076923,56.97625,57.55888888888889,51.295,54.696666666666665,54.94714285714286,63.303333333333335,67.11285714285715,63.919375,62.979,63.547,63.547,61.85,64.92500000000001,66.12,64.63000000000001,56.196000000000005,56.196000000000005
B000FDQVHI,21.875,21.48428571428571,21.95,28.695,31.02583333333333,23.7025,24.305,21.95,21.97,21.97,20.95,21.725,21.725,21.725,18.55,20.25,21.738,21.65,21.725,22.8,23.176,22.8296875,23.87333333333333,24.45,22.95,22.95,22.725,20.97,23.475,22.586,22.95,24.95,24.95,23.39875,23.88846153846153,23.97,24.061666666666667,23.24,24.011666666666667,25.97,26.72,24.78210526315789,22.98704918032787,22.98704918032787,22.98704918032787,22.98704918032787,22.98704918032787,22.98704918032787,22.98704918032787,22.98704918032787,23.924375,24.47,26.72,26.72,26.19,25.64333333333333,25.64333333333333,25.64333333333333,25.64333333333333,26.72,26.756,26.935
B000PS2XKW,24.73952380952381,23.87878048780488,23.36179487179487,25.75555555555556,24.472608695652173,24.60052631578948,17.4725,17.5,19.74,17.166666666666668,16.860204081632652,16.5775,18.0,17.99,17.99,16.59875,16.59875,14.99,15.925,16.99,17.49,12.332083333333332,12.332083333333332,14.411052631578947,16.175,17.744999999999997,17.494999999999997,17.494999999999997,18.0,18.0,18.0,21.0,21.0,21.0,21.0,21.0,20.646666666666665,18.338,18.608,18.608,19.891290322580645,22.56875,22.56875,24.25,26.19,21.19,22.095,22.095,21.311666666666667,24.558888888888887,24.900666666666663,24.61,23.98,20.31,20.31,23.528,23.528,20.486666666666668,20.486666666666668,20.486666666666668,20.55,20.55
B000PS6QWS,17.973333333333333,17.052500000000002,17.052500000000002,17.979999999999997,11.49,16.39,17.21,10.49,17.016666666666666,16.804285714285715,16.448,10.49,18.0,17.96666666666667,17.96666666666667,12.49,12.48,12.48,10.99,12.48,7.49,7.49,7.49,12.99,12.99,12.99,12.18,11.99,13.7125,17.566,16.09,15.013333333333334,14.98,14.98,14.98,14.98,14.98,14.98,14.98,14.98,18.919,18.64903846153846,19.12314049586777,18.94212121212121,18.453636363636363,18.573255813953487,19.35557894736842,19.657076923076925,18.06176470588236,19.03078125,18.63843137254901,18.615483870967743,19.287142857142857,16.9025,17.35,16.785,16.785,16.785,16.785,15.49,15.49,15.49
B000VPCF9S,10.435,12.08125,12.993125,11.99,12.49,11.09,12.54,13.19,12.656666666666666,12.99,13.066923076923077,13.49,12.79,13.333000000000002,14.99,13.973,13.973,14.918,14.928333333333333,14.87451612903226,14.958888888888888,14.958888888888888,18.98875,21.656666666666663,21.656666666666663,21.656666666666663,22.99,18.27542372881356,19.26186440677965,16.89941176470588,15.97507462686567,15.838,15.99,15.989999999999998,15.977951807228914,16.008181818181818,15.307446808510637,16.100555555555555,16.189999999999998,16.0088679245283,16.04875,14.72125,15.687777777777775,15.99,16.13285714285714,19.241,17.011666666666667,19.56,20.115,18.89633333333333,15.19111111111111,15.012790697674417,14.521636363636365,15.671764705882351,15.499285714285715,15.499285714285715,16.302,16.98,14.21,13.159090909090908,12.995,12.995
