,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03
B0000AH3QT,11.41,27.42833333333333,26.75,26.75,12.62,13.182727272727272,13.182727272727272,12.916666666666666,12.916666666666666,12.425,12.6875,12.375,12.63,11.675714285714289,11.629795918367348,10.4065,11.093448275862068,19.17,20.664375,12.98,12.292,15.86122448979592,20.355,19.30435643564357,18.593166666666665,17.948333333333334,17.686382978723405,21.232015503875967,18.33714285714285,17.25625,18.558,22.54,29.21,27.71777777777778,20.84238095238096,19.30075,17.513333333333335,15.558627450980392,17.622500000000002,17.413333333333334,17.413333333333334,17.413333333333334,15.9925,16.128695652173914,16.135,16.135,16.135,16.122500000000002,15.301666666666668,15.81,15.81,21.92555555555556,16.719545454545457,16.719545454545457,16.104848484848485,15.065,15.85,16.28,16.28,16.28,16.28,16.28
B0000AH3RM,9.618,26.32,19.30235294117647,15.695945945945946,13.58,15.461428571428572,15.461428571428572,15.13,15.13,13.64,17.288378378378376,15.956,15.956,15.489999999999998,13.74,12.820655737704918,12.383023255813953,12.383023255813953,10.34,10.443333333333332,12.885,11.77125,24.18523809523809,20.23,14.326666666666666,21.63561224489796,13.211666666666666,18.876,21.11576271186441,18.606666666666666,18.606666666666666,13.74,13.74,17.846,14.36,14.36,15.89,17.48,22.594285714285714,22.594285714285714,16.468,15.99,16.41,16.41,16.625,15.82,17.48,17.48,17.48,17.48,17.48,17.48,17.48,17.48,17.48,17.475,17.2,17.48,17.48,17.48,17.240000000000002,17.240000000000002
B0000AH3RP,9.56,20.293333333333333,17.97714285714286,14.334444444444443,17.967307692307692,22.122083333333332,23.57875,21.637894736842107,18.9592,14.756666666666668,15.095714285714285,15.238285714285714,14.699444444444445,12.845625,12.461142857142857,12.807777777777778,16.00923076923077,19.099285714285713,15.7805,10.74659090909091,10.86661971830986,10.755555555555555,10.403333333333334,11.285,12.7325,12.70142857142857,12.937142857142858,13.62,14.255,14.255,14.255,15.573333333333332,13.74,16.365,16.49,16.48,14.870000000000001,17.396666666666665,17.2315,17.077142857142857,17.23,17.23,17.23,16.48,16.48,16.48,16.48,17.91333333333333,16.77,16.77,16.77,15.97,15.97,15.97,15.97,16.225,16.31,16.48,16.48,16.48,16.48,16.48
B00025K1E8,,49.575,27.607999999999997,47.655454545454546,40.057500000000005,56.23285714285714,69.90142857142857,55.516285714285715,50.00793103448276,53.81404255319149,48.54638095238095,44.73575163398693,41.1486301369863,42.48833333333334,45.55125,44.91464285714285,46.28439393939394,47.973,46.45367521367521,59.19227272727273,50.169117647058826,51.703529411764706,44.95,70.42416666666666,65.67617834394905,56.53269841269841,52.96000000000001,53.60934782608696,53.60934782608696,53.60934782608696,53.60934782608696,53.60934782608696,53.60934782608696,53.60934782608696,53.60934782608696,59.26333333333334,59.26333333333334,52.42871794871795,44.197407407407404,44.197407407407404,44.197407407407404,44.197407407407404,44.197407407407404,44.197407407407404,44.197407407407404,62.435,42.89,42.89,32.845,32.845,32.845,41.82,67.22875,34.31,34.39,34.39,55.616621621621626,55.616621621621626,49.0025,49.0025,47.88,47.88
B0002AR15U,7.42625,7.42625,8.808333333333334,8.59875,9.996153846153849,8.81,8.3324,9.824081632653062,9.598571428571429,7.844166666666666,7.844166666666666,8.988333333333333,8.988333333333333,10.323333333333332,10.323333333333332,7.985,7.956666666666667,7.956666666666667,7.575454545454545,7.745,7.94,7.985714285714287,7.985,8.49,8.49,10.51251968503937,10.92798076923077,12.030277777777778,12.168717948717948,11.33625,11.33625,8.291666666666666,8.24,8.24,8.280000000000001,8.24,7.99,7.99,8.24,8.49,8.49,8.49,8.49,8.49,8.49,8.245000000000001,8.245000000000001,8.352500000000001,8.352500000000001,8.003684210526316,8.003684210526316,8.003684210526316,8.003684210526316,8.003684210526316,7.898000000000001,8.345,8.345,8.48,8.49,8.49,8.49,8.49
B0002AR182,9.301428571428572,9.301428571428572,9.99,12.387631578947367,8.385,9.99,12.31,10.65,6.776666666666666,6.776666666666666,6.776666666666666,12.061538461538465,12.893026315789474,12.238688524590165,9.94,9.776,9.776,9.776,9.776,9.776,9.776,9.776,9.99,10.656666666666666,9.99,10.523333333333332,10.532941176470588,10.4,9.74,9.24,10.49,10.49,10.49,10.49,10.49,10.115,10.115,10.91,10.91,10.49,10.49,10.49,10.49,10.49,10.495,10.495,10.88,10.88,10.88,10.726923076923075,10.834,10.834,10.834,10.0275,10.0275,10.49,10.49,10.49,10.49,10.49,9.24,9.24
B0002DK8P2,16.306451612903224,16.25653846153846,15.4072972972973,15.261935483870968,15.1934375,15.05,15.046,15.193846153846154,15.99,15.99,15.99,18.3675,19.64095238095238,15.99,15.99,15.99,15.99,15.99,20.99,20.99,20.99,20.99,16.49,20.549090909090907,17.724285714285713,18.076,17.725,21.070714285714285,18.995555555555555,20.486666666666665,20.543333333333333,19.94,19.68,19.68,19.68,17.99,17.99,17.99,20.99,20.99,17.95,17.95,17.95,17.95,15.875,15.875,15.875,22.42,22.42,20.97,19.11634920634921,17.97,17.963333333333335,16.155,16.155,16.155,20.81,20.81,20.81,20.81,20.81,20.81
B0002DK9D8,,,16.445333333333334,11.48,12.239459459459459,12.681052631578947,12.285714285714286,12.73695652173913,12.601111111111111,12.5396875,13.296379310344829,12.931214953271029,11.808125,7.26,13.836428571428572,12.731190476190477,10.669375,11.826400000000001,11.044210526315789,11.481666666666667,8.355,8.355,8.355,10.58,11.463333333333333,11.921,10.541923076923078,9.44,9.527241379310345,11.771944444444445,13.332222222222223,14.059534883720932,13.918571428571429,13.918571428571429,13.918571428571429,13.918571428571429,13.918571428571429,13.918571428571429,8.985,8.74,8.74,9.99,9.99,9.99,8.33,6.476999999999999,6.365,6.280384615384615,6.145,5.5553333333333335,8.5784,14.752,15.2925,14.785753424657534,14.991875,14.620175438596492,13.852884615384616,14.488928571428572,14.386078431372548,14.400754716981131,14.823333333333332,14.823333333333332
B0002H3RBU,3.7,4.03,3.8675,4.426666666666667,4.426666666666667,4.7175,4.795,4.89,4.413333333333333,5.006666666666667,4.355,4.355,4.3950000000000005,4.3950000000000005,4.3950000000000005,3.99,3.99,3.95,3.95,3.95,2.975,3.3739130434782614,4.12,3.155072463768116,2.4706,2.6622222222222223,2.556,5.49,6.88,4.94,6.59,6.654999999999999,6.43,5.88,6.115,6.35,5.49,5.92,5.74,6.35,6.35,6.35,6.35,6.35,6.35,6.35,6.35,6.35,6.35,6.35,6.079999999999999,5.49,5.49,5.49,5.485,7.520769230769232,7.470000000000001,7.1,7.95,7.95,7.95,7.95
B0002IJQDC,12.615,12.602307692307694,12.608260869565218,12.563076923076922,11.745,13.346,13.976818181818182,14.615,14.615,10.5,14.99,16.44454545454545,16.44454545454545,16.44454545454545,16.44454545454545,16.44454545454545,16.44454545454545,12.75,16.427333333333333,14.995185185185186,19.51851851851852,19.51851851851852,19.51851851851852,13.096666666666668,13.755977011494252,15.472500000000002,14.201363636363636,14.201363636363636,14.201363636363636,14.697058823529412,15.516315789473683,15.49,15.985,15.985,13.565,14.39,14.39,14.39,15.879166666666668,15.962727272727273,15.962727272727273,16.99,16.99,16.99,16.99,16.99,15.495,24.99090909090909,13.328333333333331,15.9805,15.9,15.791111111111112,15.47,15.735,15.99,25.08020833333333,25.08020833333333,25.08020833333333,17.43125,18.238205128205127,15.95875,15.95875
