,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
0975277324,42.31625,42.40625,44.656,44.79,41.71,47.12285714285714,39.99,45.995,44.0,41.237142857142864,39.943333333333335,42.27818181818182,39.67545454545455,40.03363636363636,37.31136363636364,40.40636363636364,40.31153846153846,40.54153846153846,41.73666666666667,43.20666666666667,38.29153846153847,33.165,36.98909090909091,37.41,38.886,38.394,34.808181818181815,35.10166666666667,28.41,28.41,28.41,28.41,41.03625,30.566000000000003,37.135,42.561764705882354,41.84571428571429,45.47,37.508,39.628,41.57666666666667,39.32375,47.99,47.99,33.42166666666667,27.485,32.94,38.39,38.39,32.89,32.89,32.89,32.89,32.89,42.99,40.21,36.49,38.25357142857143,47.91,31.35076923076923,36.34181818181818
1338603450,,,,,,21.656666666666663,17.50166666666667,18.64,18.217567567567567,17.252857142857142,24.29263157894737,21.78,21.215,20.84636363636364,20.418666666666663,19.965,22.086969696969696,21.352894736842103,17.131,16.506666666666664,17.976,30.127567567567567,38.967,34.34,20.14558139534884,16.18,16.18,16.84058823529412,16.107222222222223,15.598333333333334,15.687380952380952,14.354615384615386,14.744845360824742,16.455853658536583,16.55464285714286,16.565,16.437037037037037,16.53857142857143,17.060000000000002,18.873,18.53212598425197,19.208736842105264,18.874736842105264,19.142289156626507,19.11937037037037,19.49642857142857,20.98151515151515,21.58433962264151,19.42630952380952,18.000344827586208,17.0325,16.172,16.63027027027027,16.482499999999998,17.490909090909092,17.3040625,16.730526315789472,17.666666666666668,17.666666666666668,17.666666666666668,17.666666666666668
1579824005,,12.99,13.46,12.79,12.79,12.79,12.79,12.79,12.79,12.79,16.416551724137932,14.498250000000002,14.153571428571428,14.55,14.472777777777775,14.179814814814817,14.212222222222223,14.158666666666669,14.104166666666666,13.81945945945946,13.756428571428572,13.148372093023257,14.171780821917809,14.324000000000002,15.093636363636364,15.22,15.2575,15.506,14.72181818181818,14.466666666666669,14.60142857142857,13.494,13.626666666666663,14.176666666666668,14.137222222222222,13.854166666666666,14.27,14.09,15.456,14.5,14.5,14.500526315789472,14.51818181818182,14.716666666666669,14.68923076923077,14.77,14.935,15.307,15.505,15.125,15.329999999999998,15.193333333333332,15.013333333333334,14.1875,14.563684210526317,14.715454545454548,15.143921568627452,15.262307692307692,15.930224719101124,15.488214285714289,15.14
B00000DMF5,,12.775,12.99,12.387142857142855,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.99,11.7475,11.067777777777778,12.99,12.733333333333334,12.607142857142858,11.99,11.99,12.705,12.771176470588236,12.49,10.99,11.776,11.976,11.431666666666668,10.415714285714284,12.27,12.405866666666668,12.400434782608697,11.692,12.1525,12.694545454545452,12.77111111111111,12.77111111111111,12.77111111111111,12.029285714285717,12.7725,12.836000000000002,12.255333333333336,11.125909090909092,11.988,11.986666666666666,12.12142857142857,12.248297872340425,11.971904761904762,12.387,12.99,12.4075,12.60608695652174,12.28,12.77
B00000ISC5,17.850833333333334,18.995,25.23270833333333,38.33166666666666,30.363958333333333,23.65,20.666,19.195714285714285,19.45,19.45,20.386,20.585,18.04,20.99,18.85,19.785,19.75076923076923,21.12736842105264,20.5892,21.610869565217392,22.235,21.662941176470586,24.3,22.67578947368421,24.31625,22.65806451612903,22.941666666666663,23.82,22.771666666666665,23.603,23.26846153846154,24.8152,22.545206611570247,25.253529411764703,24.186,23.71,22.68296296296296,23.851714285714284,24.62836363636364,23.23377777777777,22.99,22.49,24.22,24.99,23.79,22.365,21.99,23.79,23.79,23.79,23.79,24.346,24.39833333333333,24.6,24.6,23.44333333333333,20.2208,22.38293333333333,23.58,23.58,24.26
B00000IV35,8.212,19.003466666666668,22.28350993377484,12.180416666666666,10.896,13.786470588235296,10.36076923076923,7.2875,9.742142857142856,9.795,10.673461538461538,9.548235294117646,8.090625000000001,5.0825,6.025,8.96,9.031428571428572,9.013333333333334,11.22,8.372222222222222,8.057333333333332,5.175599999999999,11.832352941176472,12.714166666666667,10.194605263157897,9.489117647058825,9.65225352112676,10.475,7.306666666666667,8.453888888888889,8.873333333333333,9.570714285714288,5.436666666666667,9.99,7.4825,6.294444444444444,12.463214285714288,10.987325581395348,9.641397849462363,9.144864864864866,8.73857142857143,9.29142857142857,9.28375,8.902916666666666,7.614242424242424,8.110000000000001,6.578888888888889,8.20068493150685,7.879,7.879,7.879,5.95,7.665999999999999,8.897391304347826,10.909,12.045806451612904,10.750222222222222,8.494333333333334,8.663571428571428,8.52111111111111,8.705714285714285
B00000IVAL,46.28142857142858,41.5975,43.52875,35.5672,25.47181818181818,27.652,38.49705882352941,55.345,27.64,29.60818181818182,29.18178571428572,27.597272727272728,25.514285714285712,23.823870967741936,22.443,19.59861111111111,18.155185185185186,17.168333333333333,19.09,22.43041666666667,21.4112,23.483,23.483,23.483,23.483,13.69,16.48333333333333,16.48333333333333,16.48333333333333,27.588,25.92833333333333,22.44,24.01833333333333,24.945000000000004,25.28,23.33,32.63884615384615,30.13228571428572,32.19615384615385,27.99333333333333,30.3525,37.32,37.32,33.64333333333333,37.55,32.596000000000004,32.596000000000004,32.596000000000004,32.596000000000004,69.99,69.99,69.99,69.99,69.99,31.038,30.3,69.99,69.99,68.32333333333332,54.26,54.26
B00000IZJB,12.569166666666668,19.200683229813663,26.117943925233643,17.37,16.603461538461538,14.98,14.965833333333334,14.828,8.435,17.210222222222225,16.67609756097561,14.214736842105262,14.511046511627908,14.681607142857144,14.4675,14.48375,13.3275,12.13,12.13,13.108571428571429,10.78,10.96,13.037692307692309,14.29,11.698,13.954999999999998,14.29,14.29,13.555,15.13,14.50888888888889,10.745,12.726666666666668,15.564545454545454,15.742824427480915,17.11923076923077,16.957272727272727,17.39401785714286,16.442,16.442,14.824000000000002,16.59208333333333,16.0375,15.431176470588234,14.13,18.83333333333333,18.45764705882353,16.54,17.162666666666667,18.16,20.595,16.96857142857143,17.415,16.68,17.62333333333333,17.684,18.98333333333333,17.041304347826088,18.933,19.608,17.919999999999998
B00000IZKX,4.348837209302325,4.182857142857143,4.408421052631579,4.408421052631579,3.7975,8.222307692307693,6.4383333333333335,4.89075,4.844328358208955,4.95,4.507777777777778,3.6991666666666654,3.866071428571429,3.526666666666667,3.395,3.26,2.5275000000000003,3.4683333333333337,2.1557142857142857,3.6279591836734695,2.4809939759036146,5.218702702702703,2.713703703703704,2.6166666666666667,2.256325581395349,1.946206896551724,2.211397058823529,2.65453125,3.15,1.0,1.0,2.83,3.545,3.545,3.2725,1.4025,3.59,4.250695970695971,4.214214876033058,3.29,3.5,3.25,3.33,3.361428571428572,3.4966666666666666,3.3280000000000003,3.411153846153846,3.4577777777777774,3.515,3.6310526315789473,3.6646666666666654,3.6646666666666654,3.515,3.844,3.525,3.515,3.525,3.515,3.888333333333333,3.515,3.5416666666666665
B00000JICB,,,14.323333333333332,14.323333333333332,14.323333333333332,11.85,11.85,14.49,19.857142857142858,14.47,14.47,14.47,14.47,14.47,14.47,14.47,15.553333333333336,14.15,14.01,14.01,14.99,14.99,14.99,14.99,14.99,14.49,14.74,14.74,14.99,20.15416666666667,20.15416666666667,20.15416666666667,20.15416666666667,14.632,15.99,15.89,15.879090909090907,15.899090909090908,16.29,13.995,13.0,14.99,13.931666666666668,12.64,13.3575,11.6125,12.695,12.186,12.186,13.188333333333333,11.91777777777778,12.235,12.235,12.29,10.726,21.667777777777776,12.386,10.753333333333336,10.756666666666668,10.756666666666668,12.385000000000002
B00000K3BR,14.98,14.99,17.636666666666667,17.67153846153846,20.42950819672131,20.42950819672131,20.42950819672131,20.42950819672131,20.42950819672131,20.42950819672131,20.42950819672131,14.97,14.97,14.97,13.995,13.995,13.995,13.995,14.49815789473684,17.0888679245283,14.99,14.985,14.985,14.985,14.386500000000002,14.314444444444446,13.510434782608696,12.426666666666668,14.973333333333334,14.965,14.965,14.51,13.73,13.73,15.582,11.99,11.99,14.99,14.99,14.99,14.672727272727274,15.143333333333333,15.99,15.99,15.99,15.99,15.84,15.84,15.97,15.888,15.614444444444445,15.614444444444445,15.614444444444445,15.614444444444445,15.614444444444445,15.614444444444445,15.614444444444445,15.614444444444445,16.47,16.52333333333333,16.447142857142858
B0000205X3,14.592727272727274,21.286612903225805,28.360000000000003,14.787857142857144,13.082,15.348,14.972,11.455,10.971666666666666,16.507777777777775,12.942727272727272,16.207906976744184,14.887857142857143,14.923333333333334,14.946666666666667,14.52,14.59,14.491428571428573,14.965,14.97,14.25090909090909,10.970172413793104,13.297142857142855,13.054375,14.7325,14.04,14.88,14.625,14.716666666666669,16.984285714285715,15.95,13.028,13.986666666666666,13.066666666666668,13.98,14.423333333333334,14.944,16.724938271604938,16.34,16.34,14.183846153846154,14.768,14.965294117647058,14.965294117647058,14.965294117647058,15.48,21.80316901408451,18.544545454545457,19.369642857142857,13.105,14.64,14.98,13.453333333333331,14.838666666666668,14.98,14.98,14.96,14.473333333333334,15.260500000000002,16.592000000000002,15.8825
B00004T71M,10.79,21.711875,30.055806451612906,21.815185185185182,25.829,23.4003125,17.345,22.520857142857142,13.882857142857144,13.473571428571429,13.366666666666667,11.595,20.729333333333333,13.79,13.986666666666666,16.9615,13.211111111111112,13.99,13.99,13.945,14.985,20.044,21.705,20.775,15.035,14.74,14.77,14.99,14.99,13.240833333333333,12.912,12.912,12.912,14.955,14.95,13.958000000000002,16.389200000000002,18.234,18.8925,23.37875,23.75,14.943333333333332,15.32,14.92,23.938,29.235,34.99,19.928571428571427,15.490666666666668,25.66619047619048,26.052941176470583,29.02492957746479,29.45131578947369,28.19278947368421,27.84555555555556,27.19533333333333,27.055,23.453333333333333,27.21,27.99,26.41555555555556
B00004WHN9,9.79857142857143,14.3884,15.22590909090909,11.61,15.221875,20.01538461538461,10.918,10.918,10.22,9.70093023255814,10.542,10.483076923076924,10.81046153846154,10.14939393939394,8.978333333333333,7.6375,10.2,10.566315789473684,9.801304347826088,9.886666666666668,9.816756756756757,9.73857142857143,8.969,9.426,9.426,8.8025,11.932307692307692,9.1925,9.57375,9.581428571428573,9.581428571428573,9.67,8.719999999999999,8.5975,8.5975,9.683333333333332,9.685,9.6444,9.746842105263156,9.746842105263156,9.623333333333331,9.351388888888888,12.44,12.29,11.99,10.71,10.45857142857143,11.022,11.643636363636364,11.498181818181818,11.043846153846154,12.906666666666666,12.694285714285714,11.956666666666669,12.44,12.44,12.03,11.4175,11.675714285714289,12.425,12.425
B00004YO0Y,10.908,12.435,13.462,12.018181818181818,11.7875,11.95,12.498333333333331,10.7505,12.037857142857144,13.102307692307694,12.453076923076924,13.99,13.991818181818182,12.612142857142857,13.347142857142858,10.521764705882353,10.71,11.47,11.256666666666666,11.949999999999998,10.20625,13.124285714285715,13.522391304347826,12.294285714285715,8.97,13.97625,13.756923076923076,8.96,8.89,9.212727272727273,11.30793103448276,11.23,13.301666666666668,13.725,13.338571428571427,11.944285714285714,9.499772727272727,11.63157894736842,12.4626,11.265714285714283,11.784285714285714,10.823548387096777,10.047608695652174,11.074000000000002,8.375263157894736,10.627,10.175,10.444368932038834,9.589,12.489814814814816,12.61896103896104,10.14,10.975,10.475,10.576,11.6024,10.48,14.044347826086955,12.206,10.094705882352942,9.333333333333334
B0000683A4,45.99,51.31857142857143,59.95,50.422,47.74072727272728,46.925,45.88,51.1,51.1,47.14428571428572,54.25333333333333,52.30571428571428,52.30571428571428,47.91,42.15,42.315,42.315,42.315,42.18,46.39953488372093,46.13617647058824,56.11666666666667,52.377428571428574,55.47044776119403,55.38121951219512,55.38121951219512,55.38121951219512,53.65333333333333,53.65333333333333,64.85,60.403,67.9525,69.10428571428572,66.93060606060607,60.55754385964912,55.15833333333333,68.78941176470589,62.534615384615385,68.07615384615384,63.62315789473684,61.15,63.67734375,51.953125,51.384166666666665,43.08714285714286,41.52,56.23333333333333,43.53527777777778,45.99844444444444,41.888333333333335,42.24333333333333,48.49,48.13916666666666,48.82,48.82,48.82,48.82,48.82,47.97,48.325,48.325
B000068CKY,16.054000000000002,14.524,15.42,16.885454545454547,15.49,17.837777777777777,16.88230769230769,18.75671641791045,17.061818181818182,16.89,16.89,17.4075,17.977999999999998,16.705957446808508,17.215714285714284,16.935,20.28222222222222,18.05154761904761,16.767910447761196,16.355555555555554,17.834468085106383,17.312142857142856,15.485,14.184444444444445,14.34,14.268333333333333,14.588571428571427,18.78,18.14,16.831666666666667,16.831666666666667,16.831666666666667,16.831666666666667,13.352727272727272,13.1025,13.346666666666666,13.584,15.208878504672898,17.336779661016948,24.006666666666664,24.006666666666664,24.006666666666664,19.856666666666666,18.52,18.207142857142856,14.860588235294117,16.077142857142857,16.701176470588234,15.693636363636363,16.702777777777776,18.234666666666666,17.603809523809524,17.165,16.29,18.85,18.010625,15.6525,21.24297297297297,22.74655737704918,19.36441176470588,17.38148148148148
B00006IFH0,7.690816326530613,7.685714285714286,7.74,7.83,7.195,6.885,8.038181818181819,8.276666666666666,8.57,8.07,8.07,8.328333333333333,8.328333333333333,5.75,5.99,5.99,5.99,5.99,7.325,6.34,7.738333333333333,7.48,7.48,7.49,7.475,7.4655555555555555,7.48,7.435,7.47,7.48,9.69605633802817,8.32,8.32,7.45125,7.45125,7.48,11.215074626865672,11.735652173913044,8.666764705882352,7.203333333333333,6.254,8.237142857142858,8.12809523809524,6.046470588235295,6.263333333333333,6.129,6.285,6.285,7.6875,8.02359375,8.061754385964912,8.504999999999999,8.854444444444445,8.877500000000001,7.767358490566037,7.177499999999999,8.235714285714286,8.790138888888889,8.700000000000001,8.980657894736842,8.922307692307694
B00006RVTS,5.71,7.132,9.94780701754386,8.486279069767443,7.0840000000000005,6.221627906976743,6.246739130434782,6.469032258064516,5.690714285714286,5.245925925925925,5.86979797979798,6.24875,6.335,5.901666666666666,6.301818181818181,6.301818181818181,4.859999999999999,5.8325,5.060740740740742,5.7566,5.668636363636363,5.750631578947368,5.396595744680851,4.790588235294118,5.68304347826087,5.953548387096775,6.0633333333333335,5.931428571428571,6.3735,5.963333333333334,6.086666666666667,5.798333333333333,5.77,5.813,5.938888888888889,5.8475,5.6775,3.2736666666666663,5.6381578947368425,6.153214285714285,5.91,5.91,5.768888888888889,5.883333333333334,4.611999999999999,4.8640740740740736,6.016428571428572,5.89,5.93,5.93,5.91,5.97,5.91,6.151333333333333,5.59,5.736666666666666,5.579090909090909,6.586,4.94,4.73,4.844
B00027C7K2,,,30.921666666666667,33.25,37.99125,36.45,34.908125,35.367878787878794,36.572,37.21833333333333,36.958333333333336,36.56,37.758,39.101,39.13281690140845,40.83,39.015,38.81,38.67,40.65060606060606,37.301428571428566,36.33166666666667,40.04461538461539,42.16666666666666,42.31601307189543,41.86578947368421,43.46727272727273,42.94285714285714,43.102,45.725,43.426538461538456,42.11666666666667,45.63133333333334,43.5475,42.39072727272727,43.99304347826087,43.99304347826087,37.59,37.59,37.59,39.606,41.77933333333333,39.72857142857144,38.343,38.67,41.565714285714286,43.10083333333333,43.09333333333333,43.568636363636365,40.49682926829268,41.66948717948718,41.42186046511628,42.4005,38.43184210526316,38.722307692307695,39.34,37.32333333333334,35.345,36.49,36.49,40.75428571428572
B0002TT3N4,0.7963636363636364,0.66,0.9966666666666668,0.992,1.0133333333333334,0.8855555555555555,0.8855555555555555,0.8855555555555555,0.8855555555555555,0.8855555555555555,2.395,1.0233333333333334,1.66,1.9783333333333333,2.0845,1.5854285714285714,1.442,1.442,1.442,0.6877777777777777,0.6877777777777777,0.6877777777777777,1.49,1.0911111111111111,1.0911111111111111,1.0911111111111111,1.4,0.9355555555555556,1.25,1.2260526315789475,1.2260526315789475,1.2260526315789475,1.2260526315789475,1.2260526315789475,1.39,1.39,1.39,1.39,1.39,1.39,1.64,1.64,1.64,1.64,1.64,1.64,2.6422807017543857,2.568481012658228,2.543333333333333,2.0466666666666664,2.0466666666666664,1.49,1.49,1.45,1.45,1.81,1.81,1.81,1.81,1.81,1.87875
B0003I68RS,45.20666666666667,43.376666666666665,52.63,54.37695652173913,41.916,68.5625,53.95953488372093,56.36152173913044,61.74375,59.24290322580645,63.0228125,59.163,50.814,31.15,50.61272727272728,45.964,49.7875,47.16333333333333,45.116,47.705,42.92,40.66333333333333,47.48,42.15,40.256,39.160833333333336,36.52333333333333,40.824,40.824,40.76,47.53,44.31,39.46625,39.80428571428571,39.80428571428571,36.14,40.81666666666667,39.961666666666666,40.66666666666666,40.49,40.49,40.49,33.29,33.29,33.29,33.29,33.29,33.29,33.29,33.29,33.29,33.29,33.29,40.56333333333333,47.66029411764706,60.04783783783784,60.04783783783784,36.63,36.63,39.91666666666666,38.47
B0006ZIGBO,44.1220987654321,46.96714285714285,51.7321568627451,39.82089285714286,39.10423529411765,38.49673469387755,40.55474137931035,43.01,41.02734883720931,43.28777777777778,44.130842696629216,43.450072992700726,41.3246052631579,41.350119760479046,40.245285714285714,41.14615384615384,45.76653465346535,43.49144615384616,51.980071942446045,50.30733333333333,42.25898203592814,40.67090909090909,41.44195652173913,39.309444444444445,38.275,45.39507042253521,47.3215,49.96846153846154,50.663714285714285,51.65809523809524,56.2123178807947,59.05263157894737,55.81230769230769,59.085625,67.17800000000001,66.91181818181819,61.225,62.51652173913044,62.266571428571424,59.33166666666667,62.242,60.85260869565218,53.56894736842106,48.69,49.11333333333334,48.80111111111111,49.02916666666667,49.105714285714285,49.105714285714285,49.105714285714285,48.65,49.18909090909092,49.24,48.64000000000001,48.18517543859649,46.095,51.303,44.485,48.678,49.49625,47.67
