product_title,subcategory,asin,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
"COSMO COS-668WRCS75 30 in. Vista Collection 380 CFM Ducted Wall Mount Range Hood, Touch Controls, LED Lights, Stainless Steel",range hoods,B07FV2PXD7,231.98,222.0,221.34,212.9,212.9,212.9,212.9,226.49,380.8,294.37,289.04,272.24,272.24,272.24,276.51,306.66,263.15,274.57,274.57,274.57,268.21,241.45,177.6,172.3,248.27,203.61,232.85,242.36,256.99,256.86,256.86,256.86,256.86,256.86,253.14,255.64,255.64,255.64,255.64,244.07,247.26,247.26,183.23,215.32,231.31,252.5,252.5,225.24
"ROVSUN 17.6 LBS Portable Washing Machine, Mini Washer with Pump Draining, Twin Tub Washer and Spinner Dryer Combo Great for Home RV Camping Dorms Apartments College Rooms",portable washers,B078S42XMY,109.99,119.99,128.19,143.66,147.99,159.99,156.99,143.24,123.99,123.99,139.32,148.99,157.32,168.99,178.99,178.99,178.99,178.99,178.99,178.99,178.99,148.99,148.99,138.99,138.99,127.99,127.99,127.99,127.99,127.99,127.99,127.99,127.99,127.99,127.99,127.99,127.99,127.99,127.99,127.99,127.99,127.99,127.99,127.99,127.99,127.99,127.99,127.99
Ice-O-Matic KPU090 Pump Kit for Ice Maker GEMU090,ice makers,B00NN5L1J8,352.0,351.0,369.99,369.99,369.98,359.99,369.98,402.68,390.65,394.53,398.56,406.5,407.19,426.71,426.71,444.36,476.9,429.52,482.5,482.5,482.5,498.5,498.5,498.5,498.5,498.5,498.5,498.5,446.48,446.48,446.48,495.0,495.0,495.0,495.0,495.0,495.0,493.14,497.0,496.0,496.0,496.0,496.0,496.0,488.5,488.5,488.5,488.5
"SUPER DEAL Portable Mini Washer and Spinner Combo, 5.7 lbs Capacity Compact Washing Machine with Spin Cycle Basket and Drain Hose for RV Apartments Dorms Camping Traveling, Semi-automatic Laundry 110V",portable washers,B07MCTYSXN,65.99,65.99,67.49,68.99,71.94,71.99,71.49,71.66,70.49,72.04,68.49,76.49,77.59,77.14,82.12,80.49,80.2,75.61,72.05,73.49,65.39,59.29,56.86,54.49,53.29,53.29,52.69,52.29,51.99,50.74,46.56,36.55,35.97,37.74,36.99,37.99,36.99,36.99,42.99,42.99,72.99,72.99,72.99,72.99,72.99,72.99,72.99,72.99
ERP W10394076 Refrigerator Water Valve,refrigerators,B07B6DFP73,24.16,17.76,17.84,19.25,18.84,18.78,18.69,18.58,18.58,18.57,18.7,19.18,19.14,19.08,17.07,18.08,19.32,19.7,19.66,18.95,18.86,18.84,18.93,18.96,19.31,17.99,26.66,32.59,20.84,22.33,21.84,21.28,19.86,21.51,21.54,21.29,21.08,21.08,19.14,19.14,19.74,19.74,19.6,19.69,19.69,17.0,17.0,17.23
Samsung OEM Original Part: DA61-04866A Refrigerator Hinge French,refrigerators,B006E7WLNW,4.33,7.52,7.7,8.8,8.31,9.01,9.69,8.08,10.37,10.78,8.51,8.23,9.0,8.44,7.11,10.06,10.16,11.25,15.95,12.44,9.68,9.24,9.15,9.15,10.42,14.95,14.95,12.36,8.56,8.91,11.8,8.9,11.35,8.98,8.97,8.97,11.53,10.34,7.76,7.43,7.67,7.73,7.71,7.78,7.44,7.4,7.05,8.1
"Broan-NuTone BCDJ130BL Glacier Sahale 30-inch Under-Cabinet Easy Install 4-Way Convertible Range Hood with 3-Speed Exhaust Fan and Light, Black",range hoods,B0719M1T8F,314.98,363.01,361.85,330.3,330.3,330.3,298.99,298.99,261.89,261.89,287.22,287.22,287.22,337.35,334.47,331.74,331.74,331.74,345.22,345.22,345.22,361.05,361.05,361.12,347.13,354.31,365.0,486.57,510.05,482.12,476.04,476.04,476.04,375.78,442.52,390.63,400.91,408.64,417.38,401.79,415.84,414.81,416.85,402.0,406.0,405.5,369.01,367.37
"Edgewater Parts WR09X10049, WR9X489, WR9X488 Defrost Timer Control Compatible with GE Refrigerator Exact Fit (Models: GTS, TFX, HTS, MTX, CSX and More)",refrigerators,B07T2BX3WM,17.85,17.85,14.95,14.95,14.95,14.95,14.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,13.65,13.65,14.65,14.65,14.65,16.65,16.65,16.65,16.65,18.65,18.65,17.0,18.65,18.65,18.65,18.65,18.65,18.65,18.65,18.65,18.65,18.65,19.96,19.96,19.96,19.96,19.96,20.95,20.95,20.95,20.95,20.95,25.95
"Hon&Guan 5 inch 32 FT Long Air Ducting, Heavy-Duty Four-Layer Protection Dryer Vent Hose for Heating Cooling Ventilation and Exhaust-with 2 Clamps, Black",replacement parts,B07HVW5W84,23.99,23.99,23.99,23.99,23.99,23.99,23.99,23.99,23.99,23.99,23.99,23.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,26.51,26.51,28.49,27.99,27.99,27.99,27.99,27.99,26.99,28.99,28.99,28.99,27.99,27.99,27.99,27.99,28.99,27.99,27.99,25.19,28.99,27.99,27.99,27.99,27.99,27.99,28.99,27.99,27.99
Portable Washing Machine Small Mini Hand Compact Semi Automatic Washer Laundry Perfect for Home Apartment Dorm RV Camping Travel Outdoor Business Trip Weight of 5.5LBS for 6.5LBS Capacity,portable washers,B07PT3DKXN,93.32,93.32,93.32,93.32,93.32,79.99,79.99,79.49,79.99,79.99,79.99,86.27,92.98,92.98,92.98,92.98,92.23,92.23,89.98,89.99,92.23,92.98,92.98,119.99,91.48,89.99,90.99,89.48,89.98,88.98,86.98,87.98,87.98,88.98,84.98,85.97,87.98,89.98,89.98,86.98,109.98,88.98,87.98,85.98,85.98,89.97,89.97,109.98
SUPER DEAL Small Portable Washing Machine 9.9lb Mini Compact Washer Twin Tub Laundry Machine Top Load Spinning and Washing Combo 6.57 FT Inlet Gravity Drain Hose,portable washers,B07HVSR8RF,113.46,115.69,116.89,122.38,116.26,116.9,108.21,129.46,127.88,114.49,111.97,117.28,115.27,112.86,116.83,116.12,115.99,115.99,111.1,110.44,108.82,106.22,102.94,97.99,97.49,93.19,87.76,87.46,90.49,89.35,85.74,74.99,65.32,61.99,71.96,57.99,57.99,57.99,57.99,67.99,81.49,78.99,78.99,78.99,73.99,69.99,69.99,69.99
"ICEPURE UKF8001 Replacement for Whirlpool Filter 4, Everydrop EDR4RXD1, FMM-2 Maytag UKF8001AXX-200 9084 4396395 MPF15090 WF-UKF8001,WF295,SGF-M9,Puriclean II,RWF0900A Refrigerator Water Filter,2PACK",water filters,B00ZYDKI1Y,20.99,20.99,20.99,20.99,20.99,22.99,17.99,18.99,26.99,19.59,22.51,21.95,22.28,22.34,22.34,22.34,22.99,22.99,24.99,24.99,24.99,23.99,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,27.36,24.09,24.33,26.9,27.49,27.49,21.69,14.98,21.69,21.69,21.69,21.69,21.69,25.49,23.16,23.16,25.16,23.74
"Commercial Cool CCUK12W 1.2 Cu. Ft. Upright Freezer with Adjustable Thermostat Control and R600a Refrigerant, White",upright freezers,B0198FSI42,124.64,140.0,145.5,142.43,141.81,153.15,153.15,166.21,155.7,153.47,153.97,172.13,174.23,181.24,176.57,173.25,180.49,211.4,211.4,330.63,277.31,199.56,210.46,183.06,200.71,174.82,154.75,159.57,152.05,152.98,174.12,174.12,155.44,162.62,156.22,154.76,146.56,146.56,156.01,148.82,157.47,149.97,149.75,149.75,149.75,149.75,149.75,149.75
"Galanz 4.3 cu ft Compact Single-Door Refrigerator, (Stainless Steel)",refrigerators,B01J5GKMJS,191.42,191.42,199.03,173.56,179.33,195.41,167.2,177.23,186.13,199.44,225.06,229.48,226.1,174.69,187.38,173.23,181.41,188.19,215.23,208.09,202.88,263.13,245.31,242.68,236.73,231.11,220.71,219.36,219.12,215.81,198.07,192.87,189.12,203.98,199.73,190.07,188.46,187.94,197.14,213.0,224.64,224.96,217.03,193.52,182.79,174.07,214.21,179.0
Boveda 69% Two-Way Humidity Control Packs For Storing Up to 5 Items – Size 8 – 10 Pack – For Small Plastic Travel Cases & Bags – Moisture Absorbers – Humidifier Packs in Resealable Bag,accessories,B00JV27MFY,15.14,13.47,13.3,13.3,13.3,13.3,13.3,13.69,13.69,13.69,13.69,13.69,13.03,13.03,13.03,12.94,12.94,13.58,13.58,13.58,14.62,14.99,14.99,14.15,13.68,13.77,13.77,14.98,14.98,14.98,14.98,14.99,14.96,14.5,14.5,14.38,14.38,14.38,14.24,14.24,14.97,14.97,14.32,14.99,14.99,14.99,14.99,14.99
"EKON Wall Mount Range Hood 36in,Ducted/Ductless Convertible Range Hoods Stainless Steel 900CFM with 4 Speeds Touch Control LCD Display,Delay Shut Off Function,Dishwasher Baffle Filters (NAP02-R-36"")",range hoods,B07H4KBMFB,485.99,485.99,485.99,485.99,485.99,485.99,485.99,485.99,485.99,485.99,485.99,485.99,515.99,515.99,515.99,515.99,515.99,515.99,515.99,515.99,519.0,519.0,519.0,569.0,569.0,569.0,569.0,569.0,569.0,569.0,569.0,569.0,569.0,569.0,569.0,539.0,539.0,539.0,539.0,539.0,539.0,539.0,539.0,539.0,539.0,539.0,539.0,539.0
Direct replacement for Compatible with LG Kenmore MHY62044103 Refrigerator Spring Counter Clockwise Wound Door Repair Freezer French Heavy Duty Steel for LFX25973ST LFX25973SB LFX25973SW and More,refrigerators,B06XSJ7GCB,,,,,,,,,,7.06,7.06,7.06,7.06,7.06,7.06,8.39,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,6.98,6.98,6.98,6.98,7.98,7.98,7.98,7.98,7.98,7.98,7.99,7.99,8.43,8.43,8.43,8.43,8.43,6.3,6.7,6.7,6.7,6.7
AIRCARE 1043 Replacement Space Saver Wick (3),cooktop parts & accessories,B07NPZ6JY7,53.92,52.99,52.99,52.99,52.99,52.99,52.99,52.99,58.99,58.99,59.99,69.99,69.99,69.99,69.99,69.99,69.99,69.99,69.99,64.68,57.99,57.99,57.99,57.99,57.99,57.99,57.99,57.99,57.99,57.99,57.99,57.99,57.99,57.99,57.99,57.99,57.99,57.99,57.99,57.99,57.99,57.99,57.99,57.99,57.99,57.99,57.99,57.99
"ICEPURE AF004 Refrigerator Air Filter Replacement for LG LT120F, Kenmore Elite 469918, 9918, ADQ73214402, ADQ73214404, ADQ73334008, 4PACK",air filters,B07476M4MH,15.98,15.98,15.98,15.98,15.98,16.99,14.99,14.99,14.99,15.99,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.49,17.49,17.49,17.49,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,18.32,18.32,18.32,18.32,18.59,18.59,18.99,18.49,17.99,17.99,17.99,17.59,17.99,17.99,16.79,18.99,21.32,17.98
"PUREPLUS ADQ747935 Replacement for LG LT1000P MDJ64844601 Kenmore Elite 9980 LT1000, LT1000PC, ADQ74793501 LMXS28626S, LMXS30796S Refrigerator Water and LT120F Air Filter, Model: RWF4700AC, 2Pack",water filters,B01MRUOEVP,22.99,22.99,22.99,22.99,23.99,32.36,19.99,25.99,25.99,25.99,25.99,25.99,27.32,28.99,26.99,26.99,26.99,24.96,27.48,24.96,26.99,27.99,28.49,28.49,26.99,27.56,27.56,27.32,27.99,27.99,28.84,28.84,26.49,26.49,26.49,26.49,26.49,26.49,26.49,26.49,24.29,24.29,24.29,23.74,23.74,25.02,25.61,24.82
FOTILE JQG7505 30” Under-Cabinet or Wall-Mount Range Hood | Dual DC-Motor | Slant Vent Design | Hands Free On and Off | Touchscreen with 4 Speed Level | Modern Kitchen Onyx Black Glass,range hoods,B07Z5D6R6B,1299.0,1249.0,1249.0,1195.15,1282.33,1349.0,1149.0,1349.0,1231.5,1332.82,1215.52,1215.52,1349.0,1399.0,1399.0,1349.0,1299.0,1399.0,1249.0,1399.0,1349.0,1221.79,1249.0,1399.0,1299.0,1365.67,1365.67,1299.0,1199.0,1332.33,1099.0,1399.0,1265.67,1346.09,1099.0,1074.0,1282.33,1211.5,1274.0,1275.18,1099.0,1261.5,1218.75,1176.4,1149.0,1274.0,1274.0,1274.0
"Frigidaire Professional 36 Inch Electric Range, Ceramic Glass Cooktop 5-Burner Flat with Stainless Steel Trim, FPEC3677RF",cooktops,B014VTTENO,1597.75,1597.75,1090.12,1090.12,1090.12,1090.12,1090.12,1090.12,1090.12,1090.12,1753.2,1753.5,1753.5,1753.5,1253.39,1161.48,1339.8,1343.09,1319.57,1343.1,1343.1,1349.72,1349.72,1349.72,1343.1,1343.1,1343.1,1343.1,1343.1,1343.1,1343.1,1029.0,1029.0,1225.0,1230.33,1169.5,1245.99,1201.43,1201.43,1238.84,1256.25,1278.12,1278.12,1335.95,1232.52,849.0,849.0,699.0
Deli-kit® 34 inch Gas Cooktop Dual Fuel Sealed 5 Burners Stainless Steel Gas Cooktop Drop-In Gas Hob DK258-A01 Gas Cooker,cooktops,B07FKHCTFH,248.35,248.35,248.35,248.35,248.35,248.35,248.35,248.35,248.35,248.35,248.35,248.35,248.35,248.35,248.35,248.35,248.35,248.35,258.35,258.35,258.35,258.35,258.35,258.35,258.35,258.35,258.35,258.35,258.35,258.35,258.35,248.67,248.67,258.35,238.99,258.35,248.35,248.35,248.35,248.35,248.35,248.35,248.35,248.35,248.35,248.35,248.35,248.35
