product_title,subcategory,asin,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
Infantino Flip 4-in-1 Carrier - Ergonomic for Newborns and Older Babies 8-32 lbs,baby & toddler carriers,B07XMN3SK6,29.25,26.99,25.07,26.94,26.94,25.28,23.67,23.74,34.6,31.1,22.24,44.58,20.5,21.99,22.1,20.93,28.64,28.64,30.31,30.32,32.93,32.93,32.47,31.48,32.93,32.98,29.95,27.39,27.76,32.28,30.42,32.46,29.85,29.64,32.18,32.18,32.18,32.88,32.97,31.6,29.05,28.34,28.34,30.5,29.41,29.03,28.83,23.88
Dr. Brown’s Deluxe Electric Sterilizer for Baby Bottles and Other Baby Essentials,sterilizers,B01E1H95LW,46.78,44.12,46.4,43.34,41.56,38.53,44.06,46.99,56.22,47.61,51.66,54.61,50.8,58.56,59.15,64.74,57.99,57.84,56.81,49.0,55.99,55.89,56.28,46.08,48.68,52.94,52.94,50.33,50.33,47.61,52.99,51.86,50.99,45.35,37.82,39.54,40.28,40.28,49.88,53.62,51.33,50.83,61.22,52.39,54.0,50.35,50.35,50.35
"Desitin Maximum Strength Baby Diaper Rash Cream with 40% Zinc Oxide, Travel Size 2 Ounce",diaper creams,B071DTL2W3,5.62,5.81,5.66,5.8,5.44,5.44,4.99,4.99,5.42,5.42,5.49,5.49,5.59,7.5,7.5,6.99,5.55,6.97,7.37,6.99,7.52,7.12,5.91,6.99,6.98,6.75,6.63,6.7,6.07,5.16,4.79,4.79,6.13,5.52,6.16,7.29,7.84,8.31,8.49,7.9,7.89,6.02,6.02,7.97,8.0,5.42,5.58,6.49
Boon Nursh Reusable Silicone Pouch Baby Bottles - Slow Flow Nipple - Silicone Baby Bottle Pouch and Nipple - Baby Feeding Essentials - Pink - 0-3 Months - 3 Count - 4 Ounce,bottles,B07BL98G6X,18.66,19.98,19.98,17.99,17.99,19.99,19.99,23.18,31.46,24.77,24.97,24.37,23.54,23.99,28.22,23.99,29.0,28.4,24.98,24.91,24.69,23.55,21.75,19.97,19.44,19.86,19.98,21.99,27.49,23.03,23.03,23.71,23.87,22.32,22.84,22.84,20.42,19.99,19.99,19.63,18.49,18.49,18.49,19.97,32.22,32.22,32.22,32.22
"iHealth No-Touch Forehead Thermometer, Infrared Digital Thermometer for Adults and Kids, Touchless Baby Thermometer, 3 Ultra-Sensitive Sensors, Large LED Digits, Quiet Vibration Feedback, Non Contact",thermometers,B075QQ8VZW,27.24,26.49,18.99,18.49,18.49,18.49,18.49,16.99,19.99,19.99,36.98,19.99,19.99,19.99,19.99,19.99,18.99,19.99,19.99,21.49,17.25,20.64,20.64,19.53,26.42,17.58,17.87,17.91,18.69,22.39,19.68,18.49,21.39,19.77,21.98,20.66,18.79,22.99,18.49,20.98,20.65,26.32,17.74,16.99,19.99,15.66,16.99,18.66
"HIPHOP PANDA Baby Washcloths, Rayon Made from Bamboo - 2 Layer Ultra Soft Absorbent Newborn Bath Face Towel - Reusable Baby Wipes for Delicate Skin - Pink, 30 Pack",washcloths & wash gloves,B08CCSVSVV,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.42,49.14,51.6,55.79,50.21,51.6,50.21,52.07,50.21,52.07,50.14,50.14,39.99,47.89,47.89,47.89,50.52,47.89,47.89,47.89,53.12,47.42,39.99,37.99,37.99,36.99,36.99,36.99,36.99,39.99,39.99,36.99,36.99,35.99,35.99,35.99
"A+D Original Diaper Rash Ointment Prevents & Treats Diaper Rash, Moisturizing Skin Protectant with Vitamins A & D, Healing Skin Ointment for Dry and Cracked Skin 4oz",diaper creams,B01D2NTLZG,5.98,5.59,5.32,5.59,5.48,5.48,5.56,6.44,6.09,5.2,6.55,6.64,5.62,5.83,5.71,5.81,5.82,6.0,5.37,4.82,5.08,5.8,6.19,6.18,6.25,6.25,6.31,6.56,8.38,9.24,8.06,6.41,4.73,5.11,5.08,5.13,5.34,5.31,5.16,6.23,5.73,5.13,5.38,4.73,4.8,4.85,4.89,6.51
"Baby Proofing Corner Protectors Guards - Furniture Edge Protector for Babies & Kids - Safety Guards & Cushions for Table, Desk, Crib, Fireplace, Corners & Edges | Clear, Safe | 18 Bumpers Pack",edge & corner guards,B07JWY43RD,10.46,10.39,10.39,10.14,10.16,10.16,10.5,10.5,10.16,10.16,9.74,10.16,10.44,9.46,12.98,9.54,14.88,12.98,14.23,13.18,9.98,13.48,13.48,13.48,13.48,14.98,14.65,12.99,12.99,13.98,13.12,13.12,12.98,10.98,10.73,9.98,12.23,12.23,10.48,9.98,10.13,8.98,8.98,8.98,8.98,8.98,8.98,8.98
"NUK Disney Learner Spill Proof Sippy Cup, Mickey Mouse, 5 Oz 1Pack – BPA Free, Spill Proof Sippy Cup",cups,B00NWGWPSO,8.09,7.74,7.74,7.74,8.74,9.16,8.54,8.32,9.46,7.49,8.34,7.58,7.13,8.12,7.76,8.25,8.25,9.36,9.36,9.36,8.72,8.72,9.29,9.29,9.29,9.45,9.15,8.87,8.87,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.97,7.96,8.43,8.65,8.65,8.65,8.65,7.97,7.97,10.25,10.15
"Ubbi Disposable Diaper Sacks, Lavender Scented, Easy-To-Tie Tabs, Diaper Disposal or Pet Waste Bags, 200 Count",diaper disposal bags,B07K2TKK26,7.75,7.99,7.99,7.99,7.99,7.99,7.99,6.74,6.43,5.84,5.5,12.14,18.44,7.22,6.95,6.58,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.98,7.98,7.98,7.98,7.98,5.52,7.98,7.98,10.84,12.56,7.98,7.98,7.98,7.72,7.88,7.94,7.98,7.78,7.78,7.81,7.82,7.82,7.97,7.97,7.97
