product_title,subcategory,asin,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
"Hero Cosmetics Mighty Patch™ Original Patch - Hydrocolloid Acne Pimple Patch for Covering Zits and Blemishes, Spot Stickers for Face and Skin (72 Count)",pore cleansing strips,B07B4KQVK6,21.94,21.94,21.94,21.94,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,20.0,20.89,21.99,21.99,21.99,21.99,21.99,20.22,20.14,19.97,20.95,20.19,21.36,19.81,21.14,19.02,19.06,15.38,12.36,15.82,19.98,21.97
"Clean Skin Club Clean Towels XL™, 100% USDA Biobased Face Towel, Disposable Face Towelette, Eczema Association Accepted, Makeup Remover Dry Wipes, Ultra Soft, 300 Ct, 6 Pack",cloths & towelettes,B08129P1SC,77.95,77.95,77.95,77.95,77.95,77.95,77.95,80.95,77.45,71.76,67.7,71.76,71.76,79.08,76.4,82.4,81.4,81.4,81.4,81.4,81.4,86.16,86.16,86.16,86.16,74.22,86.16,86.16,86.16,86.16,86.16,86.16,86.16,86.16,79.99,86.16,86.16,73.24,89.75,95.18,86.44,86.44,86.44,86.44,86.44,94.49,83.13,93.42
"eos Shea Better Body Lotion- Coconut Waters, 24-Hour Moisture Skin Care, Lightweight & Non-Greasy, Made with Natural Shea, Vegan, 16 fl oz",lotions,B08KT5HM98,32.49,29.99,17.49,14.79,13.99,14.79,21.89,14.79,29.47,27.95,55.57,48.48,39.33,35.59,31.33,22.66,25.14,23.79,27.82,28.13,27.46,25.75,25.79,25.3,27.38,26.33,26.03,24.53,24.68,22.71,13.53,8.48,8.45,8.51,8.39,8.49,8.32,8.48,8.51,8.52,8.31,8.34,8.07,8.38,8.25,8.07,12.53,14.69
"Neutrogena Makeup Remover Wipes, Daily Facial Cleanser Towelettes, Gently Cleanse and Remove Oil & Makeup, Alcohol-Free Makeup Wipes, 2 x 25 ct",makeup cleansing wipes,B00U2VQZDS,8.2,8.31,8.18,8.73,8.42,5.42,5.12,6.01,3.82,3.93,6.4,8.68,8.17,8.52,7.77,7.27,7.09,10.0,8.94,7.7,8.16,8.83,9.05,9.02,9.1,8.76,9.9,9.6,6.66,9.05,6.99,7.2,7.2,7.2,6.66,6.66,8.99,7.99,7.89,9.28,9.91,9.7,9.52,9.21,9.38,9.45,9.88,9.3
essence | Lash Princess False Lash Effect Mascara (3 Pack) | Smudgeproof Volume & Length | Cruelty Free & Paraben Free,mascara,B07XF7B6ZJ,12.97,12.97,14.34,14.34,14.97,14.56,14.91,14.91,14.35,14.44,10.44,10.44,11.69,9.62,10.0,10.0,11.54,13.07,13.16,13.16,14.09,21.36,19.22,19.38,14.97,18.96,14.0,14.0,13.65,13.33,14.14,14.65,14.48,14.37,14.68,14.3,13.63,14.43,14.7,14.7,14.7,14.62,14.58,14.97,14.97,14.96,11.98,13.05
"Julep Eyeshadow 101 Crème to Powder Waterproof Eyeshadow Stick, Cocoa Shimmer",eyeshadow,B01LVTHYP8,14.0,14.0,14.45,15.0,15.0,15.0,15.0,15.0,15.0,13.5,13.88,13.88,13.88,13.88,13.88,16.0,12.75,14.8,16.0,14.8,15.5,15.5,14.4,14.4,14.13,12.27,14.25,14.4,15.6,15.6,15.6,14.5,14.5,15.2,14.0,12.48,14.4,13.87,15.2,15.2,15.2,15.2,20.9,19.01,13.98,15.33,14.94,14.94
"Maybelline Lash Sensational Sky High Washable Mascara Makeup, Volumizing, Lengthening, Defining, Curling, Multiplying, Buildable Formula, Blackest Black, 1 Count",mascara,B08H3JPH74,16.72,13.02,13.02,8.94,8.94,8.97,8.97,7.23,6.89,6.96,7.1,8.57,7.83,8.15,8.5,8.01,8.4,9.3,9.38,9.92,9.89,9.6,9.65,9.72,9.76,9.08,8.81,8.84,7.75,8.23,8.57,8.78,8.25,8.21,8.54,8.58,9.1,8.77,9.27,8.42,8.0,8.56,9.29,9.49,6.36,9.56,4.03,10.53
"La Roche-Posay Toleriane Double Repair UV SPF Moisturizer for Face, Daily Facial Moisturizer with Sunscreen SPF 30, Niacinamide and Glycerin, Oil Free, Moisturizing Sun Protection",face moisturizers,B01NCWV3KM,19.99,19.99,19.99,17.99,17.99,17.99,17.99,17.99,17.99,19.99,19.99,19.99,19.99,19.99,19.99,19.32,19.99,19.99,19.98,19.98,15.99,20.49,16.79,16.79,16.79,16.79,21.82,19.99,21.99,21.99,22.49,22.49,18.39,22.49,21.5,21.5,21.5,21.5,21.5,23.16,23.16,23.16,23.16,23.6,21.32,24.5,24.25,24.44
"Nizoral Anti-Dandruff Shampoo with 1% Ketoconazole, Fresh Scent, 7 Fl Oz",shampoos,B00AINMFAC,14.58,14.59,13.83,9.85,13.18,13.84,11.82,9.3,8.71,7.06,8.12,14.12,12.03,12.12,12.57,11.35,12.42,11.83,12.57,8.93,8.3,10.03,10.54,10.03,18.91,18.28,12.97,11.04,11.06,10.62,11.2,10.9,10.13,10.36,9.72,10.97,9.55,9.55,9.38,11.9,11.9,13.81,13.91,14.39,14.21,15.88,15.4,13.9
"PanOxyl Acne Foaming Wash Benzoyl Peroxide 10% Maximum Strength Antimicrobial, 5.5 Oz",washes,B081KL2QYJ,8.04,9.43,9.43,8.65,9.39,11.32,15.1,7.88,7.14,7.08,5.59,6.48,5.91,8.42,9.14,8.66,8.38,7.39,8.42,8.43,7.91,8.54,8.48,8.9,9.37,9.46,7.33,8.33,7.44,8.89,8.1,7.81,8.25,9.31,9.65,9.23,9.31,8.63,9.63,7.19,8.39,11.5,9.42,9.76,9.28,9.01,9.76,9.22
