product_title,subcategory,asin,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
"Gildan Men's Crew T-Shirts, Multipack, Style G1100, Black/Sport Grey/Charcoal (5-Pack), Large",t-shirts,B0787P86ZZ,18.23,15.0,15.97,15.49,17.97,17.97,16.83,16.59,16.6,15.64,17.11,16.21,15.34,15.56,16.05,14.39,14.91,14.75,15.28,16.57,18.03,19.81,18.69,17.94,19.14,19.09,18.29,18.94,19.25,15.98,18.88,19.32,19.06,17.48,21.67,17.99,17.22,17.89,18.07,19.86,17.38,18.13,18.21,19.74,21.29,21.29,19.62,20.67
"Crocs Unisex-Adult Classic Clogs (Best Sellers), Evergreen, 8 Men/10 Women",mules & clogs,B006TAI9A8,20.25,48.64,53.79,54.15,54.15,54.15,47.43,47.05,47.34,44.66,47.14,41.34,37.13,34.62,40.63,44.5,43.68,46.18,46.37,46.74,45.24,45.68,43.97,38.74,38.39,38.99,38.71,41.0,41.0,54.95,54.95,54.95,54.95,54.95,54.95,54.95,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9
"Fruit Of The Loom Mens Classic T-Shirt, Regular - 6 Pack - Black, X-Large US",undershirts,B08F2ND1BC,17.82,17.82,17.82,17.05,17.05,17.05,15.57,14.98,19.74,19.74,19.48,19.66,19.74,19.74,27.29,24.93,21.82,21.82,19.49,19.49,19.49,20.64,19.63,20.12,31.79,29.36,18.76,19.74,19.04,21.0,21.0,19.92,17.18,21.49,21.29,22.1,17.01,16.95,19.34,21.24,21.49,20.31,20.79,18.72,20.03,19.64,19.78,19.78
"Hanes Men's ComfortBlend Sweatshirt, Deep Forest, XX-Large",active sweatshirts,B00JUM2GF6,19.03,23.96,19.52,22.4,21.07,19.46,21.47,18.21,17.78,20.42,20.35,21.49,17.08,18.61,17.05,14.57,13.99,13.58,14.3,16.85,14.65,17.38,20.76,20.88,24.74,25.75,21.3,20.42,26.52,18.14,15.22,14.99,15.34,19.07,23.77,24.76,24.76,22.13,24.06,23.99,25.97,23.62,15.72,15.16,21.19,14.31,18.26,21.99
"Hanes Mens Underwear Briefs, Cool Dri Moisture-wicking Cotton No-ride-up For Men, Multi-packs Available Boxer, 6 Pack - Assorted, XX-Large US",boxer briefs,B086L79Q71,11.0,30.21,28.83,30.18,24.49,21.61,18.48,18.48,15.51,16.2,16.25,20.74,19.48,20.69,21.77,21.32,19.92,21.87,18.15,21.84,21.65,22.35,20.27,23.41,21.37,23.93,22.08,22.1,20.47,19.47,21.16,23.75,23.56,19.09,21.05,21.98,21.98,20.71,19.45,19.78,20.01,18.07,18.11,21.53,20.01,21.95,21.9,21.97
"Hanes Men's Pullover EcoSmart Hooded Sweatshirt, Smoke Grey, XX-Large",active sweatshirts,B00JUM48CA,15.49,18.35,14.2,13.83,13.66,13.59,14.01,14.37,17.37,15.85,20.32,20.32,16.83,14.98,14.98,15.0,14.38,14.76,12.18,12.18,14.59,14.03,15.43,16.23,16.7,14.59,15.04,14.96,15.25,15.95,15.04,16.91,16.86,16.95,15.77,14.44,15.06,15.98,14.02,16.28,16.79,16.7,15.55,14.95,14.95,14.97,11.89,11.99
"Amazon Essentials Women's Cotton Bikini Brief Underwear (Available in Plus Size), Pack of 6, White, 4X",bikinis,B07Z6JV3YF,,10.16,10.95,8.93,13.0,14.65,18.88,16.38,16.47,17.68,16.91,19.0,19.73,16.85,17.4,17.4,15.6,16.6,16.36,16.36,16.36,16.36,16.36,16.36,16.36,16.36,16.36,16.36,16.36,16.36,16.36,16.36,16.36,16.36,16.36,16.36,16.36,16.36,16.36,16.36,16.36,16.36,16.36,16.36,16.36,16.36,15.2,15.2
"THE GYM PEOPLE Thick High Waist Yoga Pants with Pockets, Tummy Control Workout Running Yoga Leggings for Women (Medium, Tie Dye Black Grey)",leggings,B08LKXBD4Q,27.49,27.49,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,23.64,23.64,23.64,23.64,23.64,23.64,23.64,23.64,23.64,23.64,23.64,23.64,25.19,25.19,25.19,25.19,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,25.19,25.19,25.19,25.19,25.19,27.49,27.49,27.49,27.59,22.69,26.12,26.12,22.39,26.12
Lee Women's Ultra Lux Comfort with Flex Motion Trouser Pant Ash Heather 16 Medium,casual,B07R9GXFSC,34.89,33.98,38.4,34.88,35.6,37.91,40.05,36.58,36.72,43.17,53.33,45.39,47.3,39.09,42.2,43.87,42.63,38.78,34.76,40.07,37.96,37.57,31.33,37.39,36.98,34.91,35.26,39.24,43.48,39.43,37.91,35.12,32.97,32.04,31.68,41.0,41.5,40.61,33.76,36.0,34.66,36.76,36.91,35.91,40.02,52.24,50.66,38.48
"voenxe Seamless Women Underwear Thongs,No Show Ladies Thong,Invisible No Line Breathable Comfortable Panties Undies,Womens No Seam Soft Wide Gusset Tanga,Legging Underpants for Woman 5-Pack",g-strings & thongs,B081VND184,14.91,14.91,14.91,14.91,14.91,14.91,14.91,14.91,14.91,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.99,14.99,15.99,16.99,16.32,14.39,14.99,14.99,13.89,12.09,12.39,12.09,11.74,12.02,12.02,12.02,12.02,12.02,12.02,12.7,11.04,12.02
