product_title,subcategory,asin,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
"Occer 12x25 Compact Binoculars for Adults and Kids, Large Eyepiece Waterproof Binocular with Low Light Vision,High Powered Easy Focus Binoculars for Bird Watching,Outdoor Hunting,Travel,Sightseeing",binoculars,B0756BXDTX,33.25,27.47,26.27,33.29,33.29,23.61,20.97,35.03,33.08,34.05,26.69,26.18,27.73,35.98,32.1,28.63,35.99,34.64,28.79,32.39,32.99,34.75,28.79,35.99,32.39,32.39,30.59,33.29,33.29,36.32,34.69,32.39,32.39,32.39,28.79,32.39,35.99,33.29,33.29,32.39,33.29,33.29,32.39,32.39,33.59,32.39,28.79,35.99
"Gskyer Telescope, 70mm Aperture 400mm AZ Mount Astronomical Refracting Telescope for Kids Beginners - Travel Telescope with Carry Bag, Phone Adapter and Wireless Remote.",refractors,B081RJ8DW1,109.99,109.99,97.99,98.49,98.88,100.25,94.99,99.86,95.92,95.58,99.52,104.8,115.9,113.1,97.8,97.78,99.89,86.51,99.84,93.49,97.99,97.99,92.32,97.06,95.59,92.89,93.95,92.89,92.77,96.5,96.23,91.14,92.13,91.49,92.65,88.17,92.99,91.49,91.48,90.41,89.34,95.34,94.14,95.84,96.67,96.67,104.66,92.58
"Apple iPad (10.2-Inch, Wi-Fi + Cellular, 128GB) - Gold (Latest Model) (Renewed)",tablets,B084C15855,487.79,546.84,449.99,493.14,474.5,416.33,469.0,450.97,419.79,451.73,492.48,462.35,426.58,434.39,433.26,436.97,407.77,366.4,361.12,334.0,374.14,313.86,327.85,334.24,342.37,354.75,303.07,289.16,271.35,238.66,280.11,282.72,294.27,287.18,265.04,269.95,259.54,245.34,242.7,239.28,216.24,221.0,209.81,204.48,203.0,185.47,200.32,304.99
"Elikliv Microscope, LCD Digital Coin Microscope 1000x, Coin Magnifier with 8 Adjustable LED Lights, PC View Compatible with Windows/MacBook, EDM4, 4.3 Inch",usb microscopes,B07QB79SN6,54.97,56.99,55.97,54.95,54.95,56.99,56.99,56.99,57.74,58.99,56.73,60.7,65.49,65.49,65.99,65.99,59.99,58.69,59.99,55.25,48.11,50.07,48.11,49.41,50.75,48.4,48.51,50.26,48.92,48.82,47.29,48.9,48.61,40.31,43.5,37.18,38.78,38.88,38.88,40.52,39.68,37.92,39.99,39.99,36.88,36.88,33.77,36.88
"2018 Apple iPad 6th Gen (9.7- inch, Wi-Fi, 128GB)- Space gray (Renewed)",tablets,B07FLY6MF9,347.87,343.6,341.71,325.28,318.08,297.35,267.66,258.54,292.33,269.83,290.99,313.6,278.56,269.19,262.35,264.96,238.9,234.61,233.15,206.0,203.0,195.93,209.32,229.97,246.14,241.84,221.84,217.08,192.35,176.19,193.8,190.12,195.5,182.78,191.49,197.22,188.49,176.62,164.78,158.31,155.77,138.35,147.5,140.47,138.88,133.53,128.57,139.0
Charger for Dell Laptop Computer 65W 45W Round Tip Power Adapter,chargers & adapters,B07TVHM47L,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,9.98,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,4.16
"2020 Apple iPad 8th Generation (10.2-inch, Wi-Fi + Cellular, 32 GB) - Space Gray (Renewed)",tablets,B08LQYTF1D,384.04,378.43,401.14,449.96,406.57,389.18,389.24,402.93,382.95,387.97,442.29,446.73,425.95,415.58,412.72,382.68,378.18,309.85,333.82,272.78,287.86,276.07,265.32,281.08,292.82,298.04,270.72,252.9,243.53,226.97,246.03,241.86,225.73,236.71,240.05,247.96,213.63,215.06,213.13,208.62,200.63,194.63,189.72,189.64,182.53,170.97,164.78,164.53
"Anker USB C Docking Station, 8-in-1 USB-C Hub, Dual 4K HDMI USB C to USB Adapter, 1 Gbps Ethernet USB Hub, 100W Power Delivery, SD Card Reader for MacBook Pro, XPS and More",docking stations,B0874M3KW4,49.99,39.99,44.99,52.49,66.66,69.99,79.99,79.99,79.99,79.99,73.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,77.84,99.99,88.24,88.24,83.99,81.81,59.49,59.49,66.11,66.11,64.8,64.95,59.89,59.99,59.99,60.56,59.99,59.87,59.49,62.74,49.99,47.21,42.24,48.74,44.99,49.66,49.79,49.79,39.99,51.24
"Celestron – StarSense Explorer LT 114AZ Smartphone App-Enabled Telescope – Works with StarSense App to Help You Find Stars, Planets & More – 114mm Newtonian Reflector – iPhone/Android Compatible",refractors,B083JQBC1G,531.55,304.46,410.22,413.82,263.01,306.7,347.31,231.01,215.28,244.7,231.38,317.82,261.75,211.28,208.7,215.68,213.7,242.74,209.95,234.64,227.6,226.62,204.77,208.21,210.17,291.97,252.44,228.16,195.69,187.0,163.36,156.17,166.31,166.22,200.86,200.86,200.86,200.86,200.86,200.86,200.86,200.86,199.95,199.95,199.95,199.95,169.99,206.12
"Apple Watch Series 5 (GPS, 44MM) - Gold Aluminum Case with Pink Sand Sport Band (Renewed)",smartwatches,B0849ST9TT,347.3,305.71,307.09,346.04,315.29,292.51,300.59,334.21,332.42,322.54,349.41,336.03,272.99,286.44,246.84,234.41,268.78,234.31,251.84,205.78,194.91,196.0,215.94,259.82,202.18,186.65,242.19,181.93,190.22,197.09,191.42,197.22,187.34,187.34,222.16,207.25,186.86,183.16,178.73,146.72,145.59,159.62,147.18,146.51,141.12,143.68,136.77,146.16
"Mounting Dream TV Wall Mount for 32-65 Inch TV, TV Mount with Swivel and Tilt, Full Motion TV Bracket with Articulating Dual Arms, Fits 16inch Studs, Max VESA 400X400 mm, 99lbs, MD2380",tv wall & ceiling mounts,B00SFSU53G,39.99,36.99,36.99,36.99,36.99,36.99,36.99,40.49,39.99,39.99,40.49,40.66,42.32,42.99,43.99,41.79,40.69,42.46,45.99,46.82,45.99,44.98,47.54,47.54,43.26,43.26,43.99,43.99,43.99,43.99,48.99,43.99,43.99,45.24,44.99,43.99,45.92,43.99,46.1,43.99,44.65,43.99,47.66,46.13,47.39,48.44,48.52,49.63
