product_title,subcategory,asin,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
"CELSIUS Sparkling Strawberry Guava, Functional Essential Energy Drink 12 Fl Oz (Pack of 12)",energy drinks,B08PGXDHTC,23.02,23.25,23.99,24.19,23.41,27.4,25.56,21.82,23.64,18.21,17.39,22.56,21.97,21.52,21.6,20.83,17.74,24.54,30.37,23.42,20.11,18.29,21.26,23.42,26.77,26.16,23.6,24.46,23.97,19.02,22.8,23.71,21.75,21.25,24.84,27.86,26.85,26.02,27.15,26.64,26.87,27.14,18.69,20.73,18.41,18.41,17.51,14.98
"Nespresso Capsules Vertuo, Voltesso, Mild Roast Espresso, 50-Count Espresso Pods, Brews 1.35oz.",single-serve capsules & pods,B0768N9N6P,42.5,42.5,42.48,42.48,42.48,42.29,42.2,42.2,42.09,42.09,42.09,42.09,42.04,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.81,47.81,46.76,46.98,45.97,45.97,43.24,45.77,45.77,42.16,41.01,47.99,48.33,48.24,48.24,48.24,48.24,49.02,36.44,44.77,42.88,42.88,42.88,42.88
"Premier Protein Shake, Cookies & Cream, 30g Protein, 1g Sugar, 24 Vitamins & Minerals, Nutrients to Support Immune Health 11.5 fl oz (12 Pack)",protein drinks,B07MFYYZ5B,22.61,22.61,22.61,26.23,21.54,16.24,21.98,19.41,19.89,19.25,20.85,24.92,34.46,25.37,32.12,32.8,44.24,37.73,23.7,42.43,47.4,53.0,45.29,34.93,29.76,31.24,30.47,28.33,27.81,28.21,28.21,43.96,21.74,26.94,17.19,23.64,23.54,18.97,20.93,17.14,18.28,17.95,18.24,26.43,30.98,27.59,31.69,30.03
"Sparkling Ice, Peach Nectarine Sparkling Water, Zero Sugar Flavored Water, with Vitamins and Antioxidants, Low Calorie Beverage, 17 fl oz Bottles (Pack of 12)",carbonated water,B009S2XFVW,10.18,10.18,10.18,13.32,14.41,7.84,7.84,10.96,8.99,8.52,8.17,8.17,7.91,7.91,8.92,8.49,10.51,12.17,11.46,11.46,8.51,8.51,17.45,9.91,11.74,11.94,12.26,11.94,11.94,11.94,11.94,11.94,13.02,15.0,15.0,12.0,12.0,12.0,15.0,12.0,11.99,11.99,11.7,15.0,13.16,15.0,14.98,14.98
"Monster Energy Zero Ultra, Sugar Free Energy Drink, 16 Ounce, Pack of 24",energy drinks,B00ADYXY7E,30.99,31.91,33.98,32.01,41.42,36.77,35.94,37.27,30.62,28.71,39.27,40.59,43.23,32.33,29.91,32.98,28.49,32.58,31.73,33.11,33.39,60.82,44.15,47.22,47.13,32.0,34.07,33.9,37.34,36.67,30.19,38.26,38.26,36.89,37.84,46.6,47.89,45.03,46.16,46.78,45.9,45.9,45.9,38.42,40.62,43.59,38.89,38.89
"Core Power Protein Shake, Chocolate, 26g Bottle, 14oz, 12 Pack",protein drinks,B07LD2NV9X,30.07,29.64,33.43,33.43,51.43,37.58,37.13,34.57,30.6,28.65,40.66,40.7,35.79,35.76,35.57,31.34,31.38,34.28,33.38,31.95,30.28,32.57,29.55,30.05,38.5,36.11,38.95,33.62,34.85,33.06,31.37,32.75,32.35,30.69,32.48,39.58,37.91,37.59,31.66,30.04,32.63,29.22,29.51,29.6,37.44,35.07,32.1,33.3
"Nespresso Capsules Vertuo, Double Espresso Scuro, Dark Roast Espresso Coffee, 30-Count Coffee Pods, Brews 2.7oz.",single-serve capsules & pods,B07M8YV12G,30.0,30.02,30.02,30.02,30.02,29.88,29.88,27.34,27.34,27.34,27.34,27.34,30.71,33.0,33.0,33.0,33.0,33.02,28.88,28.88,28.88,28.88,28.88,34.5,34.5,34.5,30.19,30.19,30.19,30.19,30.19,30.19,30.19,30.59,30.19,30.19,30.99,32.47,29.79,29.79,34.5,30.19,30.19,30.19,30.19,30.19,30.19,30.19
"Nespresso Capsules VertuoLine, Hazelino Muffin, Mild Roast Coffee, 40-Count Coffee Pods",single-serve capsules & pods,B0851ZVCGL,33.02,33.05,33.0,33.0,33.0,32.44,32.32,32.92,32.92,32.92,32.92,32.92,33.46,37.5,37.5,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75,36.75,37.5,37.5,35.75,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5
"Core Power Elite High Protein Shake (42g), Chocolate, 14 Fl oz",protein drinks,B01N4OMLOZ,5.65,6.73,7.45,8.23,8.91,8.23,6.28,8.6,8.24,10.32,9.14,9.14,8.34,8.38,7.81,7.18,6.75,7.04,7.9,7.03,7.12,5.66,5.3,3.75,5.87,7.18,7.55,4.8,5.17,5.8,5.15,5.38,5.62,5.79,5.77,5.68,6.05,4.94,5.13,5.25,5.25,5.25,5.25,4.0,4.24,6.54,3.5,7.28
"Frito Lay Classic Mix Variety Pack, (Pack of 35)",potato,B073QMN75M,22.78,10.49,9.88,9.88,13.93,13.26,11.31,12.11,9.68,9.24,11.89,13.82,25.54,14.58,17.31,18.46,19.84,19.81,19.81,19.81,27.97,31.33,30.69,30.69,30.69,20.69,19.75,20.19,20.06,20.06,20.06,31.97,31.97,26.89,25.66,25.66,24.7,23.09,30.0,31.0,26.37,28.22,28.22,26.5,22.13,25.83,25.83,24.74
