product_title,subcategory,asin,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
"Bounty Quick-Size Paper Towels, White, 12 Family Rolls = 30 Regular Rolls",paper towels,B079VP6DH6,59.61,39.86,30.44,24.89,22.63,21.16,19.74,19.34,18.84,19.55,27.88,28.42,27.78,31.73,33.89,30.09,30.8,26.15,24.5,30.16,30.83,49.3,31.76,28.57,32.71,28.19,26.52,31.08,32.9,24.0,29.74,29.74,46.55,35.48,35.48,35.45,35.45,35.47,35.47,35.47,34.12,34.12,35.46,33.29,33.29,33.29,35.62,36.61
"Amazon Basics 100-Pack AA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life",aa,B01B8R6PF2,26.99,26.99,26.99,20.49,26.99,26.95,24.9,21.76,22.02,22.02,20.88,25.92,26.95,27.46,27.66,27.64,24.95,26.77,26.16,27.32,27.46,24.36,28.99,29.56,23.77,23.77,20.88,27.0,28.72,27.61,25.24,30.33,25.8,26.46,20.5,25.42,33.66,23.64,26.43,27.14,26.81,28.03,26.6,26.6,27.99,26.74,26.5,26.92
LMNT Zero Sugar Electrolytes - Citrus Salt | Drink Mix | 30-Count,electrolyte replacements,B07TT8B1JJ,45.0,45.0,45.0,30.57,30.57,30.57,43.5,44.67,44.67,44.67,44.67,45.0,45.0,45.0,45.0,43.33,45.0,43.33,43.0,43.4,43.99,43.3,43.34,44.03,43.92,44.68,44.81,44.64,44.5,44.24,44.69,51.28,52.34,43.96,44.29,44.94,44.98,44.58,44.44,48.3,45.99,44.04,43.49,40.09,38.35,42.31,40.28,40.85
"Scott ComfortPlus Toilet Paper, 12 Double Rolls, 231 Sheets per Roll, Septic-Safe, 1-Ply Toilet Tissue",toilet paper,B07BGLT25K,15.46,21.88,18.25,17.31,15.67,16.91,16.2,16.36,17.06,17.42,17.2,20.59,22.2,22.43,17.86,16.39,12.8,18.22,18.59,17.38,15.37,16.44,13.85,12.01,12.84,11.34,10.88,8.9,13.38,13.79,9.0,9.46,9.48,9.36,5.74,8.36,8.36,6.49,5.99,5.99,5.99,5.99,5.99,5.81,9.54,9.22,6.22,6.3
"Charmin Ultra Soft Cushiony Touch Toilet Paper, 24 Family Mega Rolls = 123 Regular Rolls",toilet paper,B0798DVT68,37.96,33.11,31.42,28.59,27.01,23.33,23.05,20.23,21.2,36.91,42.95,46.24,49.67,30.4,45.28,32.71,31.82,30.99,31.34,32.12,51.62,55.72,55.59,32.72,33.39,33.56,34.79,32.47,32.47,32.47,35.49,35.49,35.49,35.49,35.49,35.49,35.49,35.25,35.25,32.99,33.3,34.62,35.49,37.41,29.71,35.11,35.11,34.79
"Hefty Ultra Strong 13 Gallon Trash Bags, Tall Kitchen Trash Bags 13 Gallon Size, Drawstring Closure, Continuous Odor Control, White, Clean Burst Scent, 40 Bags",trash bags,B01BZ0MW1S,12.58,10.48,7.82,11.54,15.72,11.92,7.99,8.05,8.44,8.9,8.88,9.92,11.4,8.8,8.16,8.62,8.71,9.36,9.9,9.87,9.89,9.86,9.95,9.96,10.36,10.02,8.36,9.62,8.9,8.51,9.27,8.49,8.64,9.17,17.71,15.45,8.64,8.09,7.61,8.35,8.35,8.35,8.43,8.43,8.83,8.83,8.83,6.94
"Amazon Basics AAA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life, 100 count (Pack of 1)",aaa,B01B8R6V2E,12.0,23.99,23.99,18.99,23.99,23.99,23.99,23.99,20.83,20.83,20.63,24.29,23.99,21.06,21.76,24.18,24.25,23.99,23.46,23.93,24.29,27.67,22.64,24.43,26.86,26.97,25.59,30.49,29.69,25.96,32.07,34.07,27.18,28.49,31.7,30.59,31.71,28.15,27.99,27.99,26.49,28.15,28.02,28.02,28.02,28.02,24.45,29.47
"Amazon Brand - Presto! Flex-a-Size Paper Towels, 158 Sheet Huge roll, 6 Rolls, Equivalent to 19 Regular Rolls, White",paper towels,B07QY8P3B1,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,15.39,15.99,15.99,15.99,15.99,15.62,18.0,15.32,15.32,16.6,18.59,15.9,17.8,17.8,17.8,14.48,17.49,16.16,16.16,17.07,16.46,16.9,16.9,16.16,17.63,16.16,16.9,19.3,16.79,19.32,19.32,19.3
"Amazon Basics Disinfecting Wipes, Lemon & Fresh Scent, Sanitizes, Cleans, Disinfects & Deodorizes, 255 Count (3 Packs of 85)",disinfectant wipes,B07F246YG1,8.99,8.99,8.99,8.71,8.71,8.71,8.04,8.19,8.19,8.19,8.19,9.01,8.83,8.63,7.99,7.99,8.19,9.9,10.76,8.5,9.53,11.54,10.6,11.15,8.83,9.52,8.95,9.54,9.99,11.3,11.39,11.12,11.18,11.16,11.03,11.11,11.1,11.07,11.41,11.36,11.52,11.41,11.48,11.27,11.16,11.52,11.92,12.26
"DUDE Wipes - Flushable Wipes - 3 Pack, 144 Wipes - Unscented Extra-Large Adult Wet Wipes - Vitamin-E & Aloe - Septic and Sewer Safe",personal cleansing wipes,B01NAPQ4QP,6.7,6.7,6.7,6.7,8.37,7.59,6.77,7.58,6.96,6.68,6.18,7.61,7.42,7.49,8.64,8.09,8.2,7.88,7.25,2.25,8.92,8.68,8.96,8.96,9.74,7.91,6.95,8.29,7.39,8.61,8.15,7.86,8.32,7.14,7.14,8.27,8.35,8.35,8.65,8.96,8.62,8.78,8.6,9.14,9.51,8.92,8.76,9.39
