product_title,subcategory,asin,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
"Amazon Basics Bed Sheets Queen Size, Deluxe Microfiber, Blue Pinstripe, 4-Piece",sheet & pillowcase sets,B07QT9PKC6,18.99,19.99,19.99,19.99,26.79,20.71,20.71,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,20.0,19.97,19.99,17.9,17.9,16.94,17.01,19.89,20.9,24.87,24.5,29.16,29.16,36.4,37.09,27.7,21.26,19.17,20.47,20.43,18.5,17.73,16.6,16.49,15.99,16.5,16.5,16.5,16.5,15.3,16.5
"Owala FreeSip Insulated Stainless Steel Water Bottle with Straw for Sports, Travel, and School BPA-Free Sports Water Bottle, 24 oz, Very, Very Dark",thermoses,B085DTZQNZ,23.97,23.97,20.3,21.99,26.74,22.37,23.97,23.96,23.96,21.73,22.87,29.89,33.38,18.98,18.98,18.98,18.98,18.98,21.51,20.2,20.55,22.34,26.16,31.41,23.72,24.27,21.33,21.15,20.01,24.33,22.24,21.05,21.05,19.56,19.56,19.56,19.56,19.56,19.81,35.97,34.14,33.03,27.83,27.58,27.11,23.17,25.35,27.15
"AmazonBasics Microfiber Sheet Set, Twin, Bright White",sheet & pillowcase sets,B0154AS4T4,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,12.74,12.74,12.74,12.74,12.23,12.23,14.99,14.42,14.98,13.81,13.42,13.42,12.72,12.72,14.91,14.78,19.51,15.03,19.38,21.71,25.49,21.44,26.38,20.54,15.91,15.91,15.91,14.0,14.0,13.24,13.24,13.99,12.99,12.99,12.99,12.99,10.61,12.99
"Twin Size 3 Piece Sheet Set - Comfy Breathable & Cooling Bed Sheets Set - Hotel Luxury Bedding for Women, Men, Kids & Teens - Deep Pockets, Easy Secure Fit, Soft and Wrinkle Free - Oeko-Tex - Black",sheet & pillowcase sets,B07BGSZPHZ,25.19,25.19,25.19,25.89,25.89,25.89,24.1,24.1,25.89,25.89,25.89,23.79,26.24,26.24,25.89,25.89,25.89,24.49,24.49,25.19,22.39,27.99,23.79,23.79,25.89,25.89,26.59,26.59,25.19,26.12,26.12,26.12,25.89,25.89,25.89,22.38,26.12,26.12,25.18,25.18,25.89,25.89,25.89,25.89,25.89,25.89,23.79,27.26
"Etekcity Smart Food Kitchen Scale with Nutritional Calculator, Free App with 19 Nutrients Tracking, Calorie, Marco, Digital grams and ounces for weight loss, Premium Stainless Steel, 11lb",digital scales,B07FCZSC41,29.99,25.97,29.94,26.87,25.98,29.99,29.99,29.99,30.49,34.14,28.49,28.55,26.98,27.74,30.68,29.68,28.49,28.49,37.2,38.4,37.99,37.99,33.99,34.11,34.11,35.99,36.13,36.04,36.04,36.04,40.61,42.31,42.31,40.49,35.02,41.46,37.15,37.15,39.99,39.99,42.02,39.99,39.98,39.98,39.98,39.85,37.82,38.87
"Amazon Basics Digital Kitchen Scale with LCD Display, Batteries Included, Weighs up to 11 pounds, Black and Stainless Steel",digital scales,B06X9NQ8GX,14.21,13.08,11.14,11.14,11.14,11.64,10.86,10.86,10.86,9.19,9.74,9.74,9.59,9.79,11.02,11.02,9.91,9.84,9.84,8.79,8.33,8.22,8.51,8.52,8.8,11.92,11.67,11.67,11.67,14.78,17.56,15.8,12.59,11.92,11.92,12.03,10.49,12.59,12.59,11.49,11.49,11.49,11.49,10.18,11.49,10.14,8.94,10.94
"54x78 Inch Stall Shower Curtain/Liner 8G Heavy Duty Clear PEVA, 3 Bottom Magnets, Waterproof, PVC Free, Metal Grommets",shower curtain liners,B07MP2RGPF,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.09,11.09,11.09,11.09,11.09,11.09,11.09,11.09,11.09,11.09,11.09,11.09,11.09,11.09,11.09,11.09,11.09,11.09,11.09,11.39,11.39,11.39,11.39,11.39,11.19,11.99,11.99,11.99,11.39,11.39,11.39,11.39,11.39,11.39,11.39,11.39
Alpha Grillers Meat Thermometer Digital - Instant Read Food Thermometer for Cooking Grilling Air Fryer Griddle Probe Kitchen Gadgets Essentials BBQ Accessories Grill Gifts for Men Him Dad Fathers Day,instant-read,B00S93EQUK,16.97,13.84,13.16,15.47,14.47,15.63,15.93,16.1,16.32,16.06,16.04,15.37,16.26,16.52,16.5,17.25,16.66,16.46,16.5,16.4,16.39,15.53,14.46,15.39,15.74,16.49,16.32,16.89,13.84,16.49,16.49,14.79,14.79,14.69,14.38,14.38,15.93,15.96,15.99,15.91,15.31,15.46,14.38,14.38,18.78,15.52,15.08,16.03
"Utopia Bedding Throw Pillows Insert (Pack of 2, White) - 20 x 20 Inches Bed and Couch Pillows - Indoor Decorative Pillow",pillow inserts,B07N7LLNQJ,20.79,19.49,19.99,18.99,18.99,18.99,20.16,22.24,23.69,22.43,24.99,26.27,21.99,19.49,18.49,18.99,18.82,18.82,19.11,19.11,19.11,19.11,18.99,18.99,15.19,18.99,16.96,17.99,17.99,17.99,18.49,19.39,19.49,19.49,19.99,19.22,19.39,18.52,17.41,16.14,18.99,20.02,20.49,23.82,23.28,23.28,21.99,25.32
"Utopia Bedding Throw Pillows Insert (Pack of 2, White) - 26 x 26 Inches Bed and Couch Pillows - Indoor Decorative Pillow",pillow inserts,B07Y9QYW88,32.59,30.99,31.49,29.99,27.99,26.99,29.69,30.89,30.99,31.66,36.64,39.54,31.99,31.77,28.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,29.49,28.32,21.24,29.49,25.12,28.99,25.12,28.99,29.49,25.62,25.62,25.62,25.62,25.62,29.99,29.99,29.99,29.99,28.22,27.08,27.79,29.95,32.32,32.3,32.5,32.49
