product_title,subcategory,asin,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
"Amazon Basics Dog and Puppy Pee Pads with 5-Layer Leak-Proof Design and Quick-Dry Surface for Potty Training, Standard Absorbency, X-Large, 28 x 34 Inch - Pack of 60, Blue & White",disposable training pads,B016C6EOO8,27.32,25.99,25.99,25.99,25.99,28.99,28.3,28.99,28.99,28.99,26.82,27.99,28.69,28.0,27.3,28.68,28.69,28.69,28.9,30.02,25.7,22.82,28.2,26.92,32.53,33.04,33.49,37.99,37.53,36.53,32.04,29.65,29.65,35.23,35.23,32.08,32.4,31.98,33.83,25.28,25.2,25.7,25.74,24.54,25.72,25.72,19.89,24.99
Dr. Elsey's Cat Litter - Premium Unscented Cat Litter w/ Natural Ingredients - Low Dust Superior Odor Control Cat Litter - Hard Clumping Moisture Absorbing Clay Multi Cat Litter (For All Cats - 40lbs),litter,B0009X29WK,19.3,18.0,18.99,16.88,16.49,16.26,15.11,18.96,12.19,10.35,8.78,14.99,14.07,14.07,12.21,11.99,9.0,11.27,7.23,18.46,19.82,21.79,23.1,38.11,36.84,20.55,22.39,20.99,23.57,20.52,33.1,43.96,42.42,42.42,20.34,20.77,20.74,20.54,20.43,20.43,20.75,19.98,19.98,20.53,20.78,20.76,18.78,17.66
"Earth Rated Poop Bags for Dogs, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls, Unscented, 270 Count",bags,B00LAI9OM6,11.99,11.99,11.49,11.49,11.49,11.97,11.94,11.94,9.24,9.77,10.33,14.19,10.69,11.86,11.98,13.39,12.51,12.51,12.51,12.51,13.93,13.7,14.94,14.94,12.99,15.45,14.38,13.95,12.26,12.26,12.89,13.99,13.99,13.99,13.99,13.05,13.05,13.24,13.47,13.94,11.99,11.99,13.49,14.55,13.86,13.89,13.96,10.58
"Purina Fancy Feast Lickable Wet Cat Food Broth Topper, Classic With Chicken and Vegetables - (Pack of 16) 1.4 oz. Pouches",pouches,B01FZ6N0BO,19.36,26.85,30.43,47.22,37.7,34.73,28.76,20.56,20.55,17.43,20.2,26.13,30.48,38.68,38.15,35.04,20.36,19.35,16.32,16.47,16.6,16.54,16.54,16.54,16.59,14.15,14.16,14.44,13.93,18.6,20.22,20.17,20.02,29.99,17.16,17.08,17.12,16.99,12.5,14.78,14.27,13.0,18.63,19.97,19.97,19.97,19.97,17.24
"INABA Churu Cat Treats, Grain-Free, Lickable, Squeezable Creamy Purée Cat Treat/Topper with Vitamin E & Taurine, 0.5 Ounces Each Tube, 24 Tubes (4 per Pack), Tuna Recipe",pastes,B07DVZFWCB,22.75,22.75,22.75,22.75,19.88,19.88,21.02,21.02,21.02,20.74,20.74,20.74,20.74,20.74,22.36,22.36,22.36,19.7,19.7,19.7,19.7,19.7,19.7,19.7,21.55,21.55,21.55,21.55,26.94,23.99,23.99,25.91,26.94,26.94,25.6,21.95,20.27,20.27,17.1,17.1,17.1,17.1,17.1,12.48,12.48,12.48,11.54,10.85
"Temptations Classic Crunchy and Soft Cat Treats Tasty Chicken Flavor, 3 oz. Pouch (Pack of 12)",crunchy treats,B00BIZO89K,18.0,18.96,18.96,18.96,18.96,18.96,18.96,18.96,18.96,18.96,18.96,18.96,18.96,18.96,18.96,18.96,18.96,20.76,28.56,28.56,28.56,28.56,28.56,28.56,28.56,30.96,30.96,30.96,30.96,30.96,30.96,27.84,27.84,27.84,28.18,30.47,30.7,30.95,27.48,26.34,26.5,19.79,19.79,25.42,25.41,26.02,29.31,27.97
"Blue Buffalo Life Protection Formula Natural Adult Healthy Weight Dry Dog Food, Chicken and Brown Rice 15-lb",dry,B0009YWMVM,33.89,33.89,26.32,26.57,37.94,36.26,31.8,29.22,35.1,35.1,28.37,53.04,54.75,54.75,47.09,44.32,30.59,33.01,47.31,38.79,38.79,38.79,38.79,38.79,35.98,36.32,39.41,40.25,62.44,62.44,30.7,30.7,36.81,37.98,35.2,36.12,37.83,37.83,33.41,36.32,35.49,36.95,33.33,33.33,35.61,35.61,36.99,37.85
"Fresh Step Clumping Cat Litter, Multi-Cat, Long Lasting Odor Control Kitty Litter with Activated Charcoal, Low Dust Formula, 14 lb",litter,B000VDR8LA,9.54,8.87,8.87,8.87,8.87,9.16,7.38,6.81,7.18,7.42,6.95,17.92,9.39,7.76,9.52,8.48,9.96,9.52,8.76,9.42,9.54,9.54,14.87,11.88,11.15,10.49,11.06,11.15,9.99,11.83,11.83,9.87,18.29,12.76,11.66,11.91,12.19,10.49,12.23,12.9,13.64,12.74,12.22,12.3,11.99,10.32,12.81,12.81
"Amazon Basics Dog Poop Leak Proof Bags With Dispenser and Leash Clip, Unscented, 600 Count, 40 Pack of 15, Black, 13 Inch x 9 Inch",bags,B00NABTG60,14.87,13.99,13.99,13.99,14.17,12.81,12.89,12.83,13.99,15.0,13.99,13.1,14.01,14.05,14.05,14.05,13.88,13.78,12.78,13.1,14.92,14.6,15.2,17.33,14.44,15.3,14.12,15.97,16.16,14.05,13.69,12.61,18.04,13.26,12.92,13.2,13.2,13.2,12.82,12.47,13.07,13.07,13.07,13.07,11.99,11.99,10.98,10.98
"Earth Rated Hypoallergenic Pet Wipes for Dogs & Cats, Cleaning and Odor-Controlling Grooming for Paws, Body, and Butt, Unscented, 400 Count",grooming wipes,B088KZGCQG,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,41.66,41.66,29.99,29.99,29.99,29.99,25.49,33.32,29.49,29.49,33.8,33.8,34.66,34.66,34.66,34.66,34.66,34.66,34.66,34.66,29.74,29.74,29.74,29.74,29.74,31.79,33.75,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,38.49,38.49,38.49,27.99,27.07
Purina Pro Plan Veterinary Supplements FortiFlora Chewable Dog Probiotic Supplement Tablets - 45 ct. Canister,probiotics,B083XLYRYH,39.62,44.99,46.41,39.67,51.49,41.99,41.99,41.99,41.99,41.99,54.32,54.32,54.32,54.32,54.32,54.32,39.58,40.04,39.53,38.94,40.0,40.22,39.07,39.0,38.63,39.23,39.02,49.44,60.59,48.21,38.6,49.2,50.18,60.2,36.11,35.58,35.63,36.29,35.86,35.19,33.54,36.42,36.63,39.54,39.92,41.17,40.99,44.98
"Pedigree Dentastix Large Breed Dog Treats, Original Flavor, 1.66 lb. Bag (32 Treats)",cookies,B0042GLVDI,12.32,12.32,12.32,11.97,11.97,18.41,12.12,12.12,12.12,12.12,12.12,12.12,14.99,12.12,12.99,11.34,12.1,13.99,12.99,11.99,18.99,18.37,21.18,24.99,23.46,22.49,14.2,15.26,17.12,22.73,22.07,22.92,14.9,14.99,14.62,14.98,14.98,14.98,14.98,14.96,14.58,14.98,14.98,14.91,14.91,14.98,10.49,20.48
"Milk-Bone Original Dog Treats for Large Dogs, 4 Pound (Pack of 2), Crunchy Biscuit Helps Clean Teeth",cookies,B01NA9MP4N,15.42,16.95,19.2,18.22,15.87,16.72,15.39,15.26,15.01,17.08,19.03,16.7,19.7,20.9,20.23,15.17,15.22,17.56,23.25,21.72,32.78,24.18,13.64,13.64,15.48,14.98,14.97,15.49,15.0,20.54,17.33,17.27,17.27,17.77,17.89,17.89,17.79,17.34,16.48,16.48,10.36,17.29,17.96,16.18,17.01,16.47,16.53,16.53
"HONEY CARE All-Absorb A25 Male Dog Wrap, 50 Count, Medium, White",diapers,B07C22DJJG,17.06,17.06,17.06,15.28,18.99,18.99,18.94,18.19,18.88,17.14,16.27,11.3,14.0,18.68,18.68,17.26,18.6,18.52,17.42,17.49,17.49,17.49,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,17.09,18.99,18.99,18.98,18.98,18.97,18.97,18.46,18.11,17.46,17.01,17.17,16.46,15.27
"ARM & HAMMER SLIDE Platinum Multi-Cat Easy Clean-Up Clumping Cat Litter, 14 Days of Odor Control 18 lb",litter,B089LLHMQL,15.99,15.99,15.49,15.99,15.99,15.99,15.99,12.57,11.77,13.53,15.09,15.19,26.87,26.87,26.87,14.79,14.99,15.66,21.78,36.65,16.99,16.99,16.88,17.63,19.78,16.99,17.99,17.99,17.55,17.22,17.61,17.61,17.61,16.99,16.99,19.05,15.96,19.48,17.78,16.33,17.99,17.99,17.78,17.84,18.06,19.3,20.62,18.24
"Blue Buffalo Health Bars Natural Crunchy Dog Treats Biscuits Bacon, Egg & Cheese 48-oz box",cookies,B07D9XVSQB,12.94,12.53,12.28,14.78,21.48,21.64,20.72,17.79,16.64,17.78,26.76,21.06,18.94,22.86,23.28,22.4,19.69,19.49,23.67,23.99,32.88,35.18,34.58,33.07,28.86,30.98,30.84,30.83,31.09,31.69,30.93,30.93,30.44,31.21,28.98,20.48,19.84,19.12,19.47,29.05,27.52,27.08,27.57,28.76,20.99,28.12,27.8,27.95
