product_title,subcategory,asin,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
LeapFrog 100 Words About Places I Go Book,books,B08LK3YZKY,,17.99,29.51,18.99,19.94,19.94,19.94,18.88,19.26,17.09,14.91,12.12,19.98,15.81,14.88,13.63,13.89,12.34,14.72,15.53,15.29,15.42,20.36,22.6,20.19,22.16,22.96,24.28,31.09,17.7,18.91,17.54,15.62,15.7,15.1,18.61,19.28,18.86,18.8,17.29,16.98,16.98,14.88,17.89,17.39,17.4,18.18,17.4
"Play-Doh Bulk 10-Pack Case of Assorted Colors, Easter Basket Stuffers, Party Favors for Girls & Boys, Kids Arts & Crafts, Preschool Toys, Ages 2+ (Amazon Exclusive)",clay & dough,B00JM5GW10,10.43,10.43,7.77,7.77,6.98,7.35,4.87,6.4,5.73,5.64,6.12,6.99,6.64,5.65,5.59,5.42,5.69,7.99,7.32,7.32,7.32,6.65,9.32,8.98,7.98,7.98,8.26,7.98,7.86,7.4,7.15,6.26,6.33,7.38,7.39,7.48,7.48,7.48,7.48,7.48,7.48,5.0,5.0,7.16,7.32,7.33,7.71,7.83
"Play-Doh Bulk 42-Pack of 1-Ounce Cans, Easter Basket Stuffers for Girls & Boys, Party Favors, Kids Arts & Crafts, Preschool Toys, Ages 2+ (Amazon Exclusive)",clay & dough,B087N9N6HH,23.85,24.6,18.31,18.31,14.99,14.99,22.56,17.97,33.55,33.55,33.55,15.99,22.71,22.57,22.57,15.72,15.72,15.21,13.95,13.81,15.17,14.78,13.96,15.42,14.27,14.63,13.78,14.56,14.99,14.32,14.32,14.32,14.32,15.56,15.18,15.67,15.76,16.41,15.74,15.74,10.99,15.57,16.22,16.24,13.82,16.99,16.98,16.5
Pokemon Assorted Lot of 50 Single Cards [Any Series],decks & sets,B001CJVTLC,5.94,3.79,4.77,4.85,4.59,5.09,2.16,3.68,2.31,3.0,3.63,3.97,4.12,4.12,4.12,2.99,2.54,2.89,2.08,4.83,3.0,2.71,2.91,1.92,1.02,4.22,4.49,3.16,3.16,3.16,3.16,1.32,3.68,4.11,4.11,4.83,3.83,3.61,3.52,0.75,2.59,3.48,3.22,3.16,3.25,3.34,3.54,3.78
"MEGA BLOKS First Builders Toddler Blocks Toys Set, Big Building Bag with 80 Pieces and Storage, Pink, Ages 1+ Years",stacking blocks,B007GE75G0,16.35,17.04,18.16,13.1,13.16,12.82,11.84,11.68,12.92,12.05,12.0,11.4,11.96,12.66,14.81,14.41,15.84,16.32,15.85,16.76,16.87,16.66,16.54,15.04,20.81,20.12,19.57,16.32,15.89,15.73,15.95,15.8,15.73,15.93,15.59,15.07,15.88,15.35,14.99,15.44,15.56,15.39,15.17,15.17,15.98,15.65,14.73,14.82
"Bright Starts Oball Easy-Grasp Rattle BPA-Free Infant Toy in Blue, Age Newborn and up, 4 Inches",rattles & plush rings,B07QVLTW4X,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,7.7,8.39,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,4.99,5.99,5.31,5.34,5.96,5.96,5.96,4.63,6.89,6.89,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.29,5.29,5.69,5.29,5.29,5.29,5.29,5.29
"Crayola Ultra Clean Washable Markers (40ct), Coloring Markers for Kids, Coloring Book Marker Set, Gifts for Kids, Ages 3+",coloring pens & markers,B013RQPB5C,12.22,12.08,13.57,13.64,14.27,15.22,11.7,20.91,26.76,13.41,15.09,14.16,14.16,13.44,13.44,13.44,13.44,12.42,12.42,13.41,23.69,15.23,14.93,16.25,16.25,17.74,17.37,16.1,17.65,16.28,17.86,17.94,17.87,17.32,17.92,17.92,17.96,17.96,17.93,17.96,17.96,17.33,16.48,16.94,17.16,17.49,13.94,14.52
"Sassy Stacks of Circles Stacking Ring STEM Learning Toy, Age 6+ Months, Multi, 9 Piece Set",sorting & stacking toys,B07NXDJ52C,8.09,8.09,8.09,8.99,8.98,8.98,8.77,8.19,7.04,5.27,8.65,9.14,3.95,3.04,6.35,6.54,6.82,7.02,7.45,7.74,8.99,8.49,8.96,8.51,8.6,8.71,8.27,8.75,8.78,8.35,8.36,8.69,8.34,8.16,8.5,8.27,8.63,8.68,11.16,8.82,8.25,8.68,8.62,8.65,8.62,8.07,7.67,10.9
"Crayola Broad Line Markers (12ct), Washable Markers for Kids, Arts & Crafts Supplies, Coloring Markers, Gifts for Kids & Toddlers, 3+",coloring pens & markers,B003HGGPLW,5.56,5.49,5.45,6.62,6.92,6.43,7.85,11.51,8.38,6.84,6.13,4.85,6.12,5.98,6.29,6.59,6.18,6.17,8.03,11.15,7.54,6.39,6.64,6.8,6.8,6.8,6.77,6.77,6.77,6.77,7.18,6.71,6.89,6.06,5.81,6.2,6.2,5.82,5.82,4.99,6.64,6.64,6.71,8.2,4.94,4.92,4.9,5.33
"Crayola Colored Pencils (36ct), Kids Pencils Set, Arts & Crafts Supplies, Coloring Book Pencils, Gifts for Kids & Toddlers, Ages 3+",colored pencils,B00006RVTS,6.25,6.34,5.9,6.3,6.3,4.86,5.83,5.06,5.76,5.67,5.75,5.4,4.79,5.68,5.95,6.06,5.93,6.37,5.96,6.09,5.8,5.77,5.81,5.94,5.85,5.68,3.27,5.64,6.15,5.91,5.91,5.77,5.88,4.61,4.86,6.02,5.89,5.93,5.93,5.91,5.97,5.91,6.15,5.59,5.74,5.58,6.59,4.94
"Mattel Games UNO Card Game in a Collectible Storage Tin for Kids, Adults, Families, Parties & Travel, 2 to 10 Players (Amazon Exclusive)",dedicated deck card games,B07P6MZPK3,8.58,9.99,9.83,9.24,9.89,9.06,9.55,7.51,6.34,5.61,5.72,7.74,7.02,8.61,8.16,7.82,8.78,10.38,10.91,10.87,10.5,10.16,10.48,10.3,6.22,6.49,9.01,10.75,9.66,10.78,10.84,10.65,10.39,9.72,10.57,9.66,10.54,11.51,11.06,10.83,11.02,10.55,10.41,10.64,10.87,10.77,10.62,9.24
"Crayola Color Wonder Mess Free Coloring Activity Set (30+ Pcs), with Markers, Stamps, and Stickers, Gift for Toddlers, 3+",coloring pens & markers,B01MA68J0O,15.59,15.59,11.2,11.2,11.2,14.81,14.22,14.92,14.87,14.27,15.86,15.37,16.18,15.69,15.69,16.77,16.64,15.64,16.66,16.66,16.62,17.59,15.82,16.51,19.42,19.0,18.75,17.75,18.64,18.2,18.1,19.92,24.96,24.6,23.6,24.08,24.0,18.52,19.95,22.82,22.22,18.9,18.34,18.03,18.33,18.33,18.6,18.25
"Schylling NeeDoh Original - Sensory Fidget Toy - Assorted Colors - Ages 3 to Adult , 1 Count ( Pack of 1)",squeeze toys,B076FGVCRH,3.51,3.42,3.49,5.2,8.49,6.97,3.4,3.33,3.49,5.29,4.25,5.0,3.04,1.43,1.0,1.0,1.0,1.0,3.08,2.07,3.24,3.24,3.24,3.24,1.75,3.44,3.44,3.7,3.7,3.71,3.7,3.7,3.7,3.76,3.72,3.62,3.66,3.53,3.58,3.6,3.47,3.54,2.99,2.99,3.22,3.44,3.7,4.22
"Bright Starts Oball Shaker Rattle Toy, Ages Newborn Plus",rattles & plush rings,B008J1QP7Y,14.73,14.73,14.73,14.73,14.73,3.97,7.12,4.22,4.34,3.96,3.14,2.35,2.97,2.78,2.74,2.63,2.42,2.36,2.36,2.36,2.36,2.36,2.26,2.39,2.39,4.38,4.46,4.1,4.46,4.46,4.47,4.46,4.46,4.41,4.46,4.46,4.46,4.46,4.46,4.47,4.39,3.59,3.54,3.54,3.54,3.59,3.59,3.59
Nuby Floating Octopus Toy with 3 Hoopla Rings - Baby Bath Toy for Boys and Girls - 18+ Months - Purple (Pack of 1),bath toys,B083ZZSGLR,6.89,6.88,6.9,6.9,6.88,6.88,6.88,6.94,6.91,5.95,7.18,7.95,6.86,6.09,7.22,6.91,7.55,7.81,7.99,7.95,7.26,8.6,11.91,8.7,7.31,7.45,7.38,10.67,6.94,6.81,7.5,7.52,7.27,7.01,7.14,7.14,7.14,6.88,6.55,6.55,6.64,6.49,7.53,7.2,7.2,6.68,7.26,7.26
"Cra-Z-Art Classic Super Washable Markers, Broad Tip, Assorted Barrel, Assorted Ink, Pack Of 10 Markers",coloring pens & markers,B003HCQKSO,4.0,4.0,4.0,4.0,4.14,2.63,2.5,2.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.43,1.75,1.75,0.25,1.1,1.1,1.1,1.1,1.1,1.1,3.69,4.8,1.5,1.67,1.67,2.06,2.18,2.46,2.12,2.62,2.14,2.14,2.14,2.0,1.73,2.18,2.07,1.7,1.7
Aurora® Adorable Mini Flopsie™ Streak™ Stuffed Animal - Playful Ease - Timeless Companions - Brown 8 Inches,stuffed animals & teddy bears,B000GBRD3U,5.0,5.0,4.94,4.95,4.95,5.55,6.88,7.88,11.24,11.69,10.38,12.27,12.99,7.99,9.58,9.32,9.32,8.75,8.57,8.19,8.19,8.19,6.5,6.5,6.5,6.5,6.74,6.74,6.74,6.74,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,6.04,6.04,6.04,6.04,6.04,6.04,8.69,9.12,9.12,8.54
"PartyWoo Retro Red Balloons, 50 pcs 12 Inch Burgundy Balloons, Maroon Balloons for Balloon Garland Arch as Party Decorations, Birthday Decorations, Wedding Decorations, Baby Shower Decorations",balloons,B07KHTVXX1,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,11.99,12.99,12.99,8.99,6.99,6.99,6.99,6.99,6.99,6.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.69,7.16,7.16,7.16,4.99,4.99,3.99,5.66,5.66,6.19,6.19,6.19,5.99,6.99,6.49,6.49,5.94,6.99
Yookidoo Baby Bath Shower Head - Elephant Water Pump and Trunk Spout - for Newborn Babies in Tub Or Sink,bath toys,B07G7J3HH5,35.25,46.14,44.79,42.4,47.97,28.45,46.43,38.6,29.95,27.63,24.99,24.99,24.99,24.99,26.24,26.24,34.64,44.16,26.99,26.99,24.99,24.99,24.99,24.97,24.66,24.6,24.51,24.98,24.98,24.98,24.26,24.26,24.26,24.26,49.27,43.57,24.92,24.95,24.95,36.82,32.12,31.74,43.58,24.95,24.95,24.43,24.43,24.43
Taco Cat Goat Cheese Pizza,dedicated deck card games,B077Z1R28P,9.76,9.98,9.98,9.97,10.19,8.19,9.97,8.5,9.94,9.66,8.26,10.06,9.91,9.76,9.44,9.49,9.54,9.49,9.49,9.42,9.91,9.91,13.61,9.49,9.48,9.48,9.34,9.34,9.34,9.66,7.78,8.24,8.55,8.6,8.86,9.33,9.72,9.54,9.26,9.71,8.21,9.59,9.61,9.6,9.63,8.27,8.32,9.5
"Fashion Angels 1000+ Ridiculously Cute Stickers for Kids - Fun Craft Stickers for Scrapbooks, Planners, Gifts and Rewards, 40-Page Sticker Book for Kids Ages 6+ and Up",stickers,B07BJ5L7N3,3.07,3.07,6.49,6.49,6.49,4.74,9.42,6.6,5.02,5.15,4.5,8.11,7.05,6.2,5.98,4.81,4.99,4.99,5.82,4.99,4.99,4.99,4.99,4.9,4.9,4.9,6.39,6.74,5.92,5.92,10.83,4.97,4.52,4.95,4.99,13.54,4.99,4.5,7.66,6.05,6.05,8.42,4.49,4.74,4.55,4.55,4.55,9.96
"Educational Insights Kanoodle 3D Brain Teaser Puzzle for Ages 7+ Brain Games for Kids and Adults, Travel Games",assembly & disentanglement puzzles,B000FGECAI,9.05,9.9,9.92,9.55,9.78,8.91,9.66,10.67,11.25,10.49,10.76,11.33,11.61,12.3,11.89,10.62,11.21,11.21,11.21,11.21,11.21,10.09,10.5,10.5,13.11,12.05,11.38,12.12,11.49,11.49,7.99,8.46,8.99,8.24,9.82,9.74,9.74,9.54,9.43,9.62,9.79,9.26,9.24,9.43,9.62,5.69,9.3,9.97
"Bravokids LCD Writing Tablet for 3-8 Year Olds - 10 Inch Doodle Board Electronic Drawing Pad, Educational Gift for Kids (Orange)",doodle & scribbler boards,B083BKRYN6,21.68,21.68,18.49,18.49,16.79,15.39,15.39,15.72,15.99,19.99,21.99,24.49,22.51,21.26,21.26,21.26,21.84,19.54,24.19,18.81,18.81,19.87,18.81,23.01,17.75,21.99,18.81,18.81,17.75,18.81,19.87,18.54,18.54,18.54,17.49,21.19,17.74,17.74,16.99,16.99,16.99,16.99,16.99,16.99,16.99,19.85,13.29,18.07
"50+ Official Pokemon Cards Collection with 5 Foils in Any Combination and at Least 1 Rarity, GX, EX, FA, Tag Team, Or Secret Rare",dedicated deck card games,B0829FT44S,17.95,18.35,19.84,18.48,13.29,13.34,19.22,18.65,18.65,18.36,18.08,16.55,12.2,11.04,10.7,10.19,9.51,8.96,7.88,6.63,7.52,7.91,8.36,9.95,9.12,8.21,7.38,7.83,7.17,6.9,6.12,5.81,6.05,6.31,6.45,7.17,5.95,5.8,5.66,5.56,5.76,5.33,5.09,4.94,3.92,4.87,5.22,6.28
"Crayola Ultimate Washable Chalk Collection (64ct), Bulk Sidewalk Chalk, Outdoor Chalk for Kids, Anti-Roll Sticks, School Supplies",chalk,B01M5F2YPO,19.09,20.76,22.94,20.51,19.17,17.73,18.09,12.49,9.69,9.95,9.94,15.56,17.95,14.29,14.76,16.52,16.89,15.09,14.89,12.56,15.06,11.36,10.71,12.96,10.23,13.4,14.0,13.52,14.17,12.63,11.12,11.34,13.15,13.39,13.01,17.11,12.74,15.8,16.19,13.92,14.94,12.74,12.04,11.66,11.46,9.55,9.59,9.9
"LEGO Creator 3 in 1 Mighty Dinosaur Toy, Transforms from T. rex to Triceratops to Pterodactyl Dinosaur Figures, Great Gift for 7-12 Year Old Boys & Girls, 31058",building sets,B01KJEOCDW,11.75,11.73,12.32,16.4,11.89,10.14,11.98,11.83,11.64,11.9,14.04,14.64,12.38,11.12,11.34,11.92,11.99,11.89,11.63,11.83,11.85,11.91,11.97,12.74,13.65,13.12,11.79,11.56,11.07,11.09,9.97,9.99,9.99,9.82,10.47,11.05,11.39,11.3,11.07,11.07,9.29,9.29,9.29,9.29,10.83,11.61,11.96,11.96
Penny Drop size medium from Creative Crafthouse - Fun family or bar game,dice games,B083QQ6DPG,16.95,16.95,16.95,16.95,16.95,16.95,16.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.97,19.97,19.97,18.99,19.39,19.24,19.59,19.98,19.34
Jenga Game | The Original Wood Block Game with Genuine Hardwood Blocks | Stacking Tower Game | Ages 6+ | 1 or More Players | Party Games for Kids | Family Games,stacking games,B00ABA0ZOA,5.0,12.88,12.67,10.99,10.99,10.99,12.74,13.95,12.89,10.49,3.82,8.51,9.21,11.89,7.81,13.87,12.53,15.13,14.99,7.93,7.93,7.93,8.0,8.0,11.02,7.56,11.58,10.47,11.85,11.91,11.78,11.28,10.97,10.14,9.97,9.89,9.9,9.89,12.59,13.13,11.43,10.29,12.6,12.99,14.94,9.86,9.35,9.98
"Step2 Rain Showers Splash Pond Toddler Water Table, Kids Water and Sand Activity Sensory Playset, Summer Outdoor Toys, 13 Piece Toy Accessories, For Toddles 1.5+ Years Old",sand & water tables,B01K1K0K6M,75.96,88.95,122.72,144.82,114.13,108.02,91.19,73.99,79.44,80.24,82.24,82.86,83.78,83.78,90.87,90.47,91.59,87.2,77.99,70.65,76.95,79.02,77.33,77.33,77.33,75.0,76.51,75.55,70.85,71.71,83.05,85.99,85.99,82.88,82.88,79.99,79.99,72.99,76.49,79.99,76.49,78.99,78.99,78.99,71.16,71.16,84.93,84.93
"Intex 57158EP Fun'N Fruity 8ft x 6.25ft x 4in Outdoor Inflatable Kiddie Pool Water Play Center with Water Slide, Sprinklers and 6 Play Balls for Ages 2 and Up",kiddie pools,B07V4P5FBM,67.0,68.76,73.1,93.63,80.46,76.17,34.02,25.77,43.63,42.24,58.97,53.26,60.72,57.82,60.24,59.71,56.26,57.21,49.51,47.56,43.74,57.31,57.08,54.76,51.16,61.71,51.49,55.32,58.12,55.02,58.84,58.63,52.71,54.39,54.48,51.63,55.01,57.45,62.12,62.07,67.97,80.79,99.19,91.94,100.0,100.0,100.0,100.0
"Skillmatics Guess in 10 Dinosaurs, Perfect for Boys, Girls, Kids, and Families Who Love Card Games, Toys, Travel Games, Gifts for Ages 8, 9, 10 & Up",travel games,B08DHVW3KP,13.99,13.99,11.75,12.94,12.94,12.94,12.94,14.49,12.94,14.97,13.12,12.48,12.48,13.84,13.84,13.84,13.9,13.9,13.9,13.9,13.9,14.48,14.48,13.84,13.84,13.84,15.45,14.91,14.83,14.9,14.9,14.9,14.2,14.2,13.47,13.2,14.86,12.47,14.91,14.74,14.74,14.74,14.95,14.95,14.95,16.97,13.67,14.97
"Goopow Kids Camera Toys for 3-8 Year Old Girls Boys,Children Digital Video Camcorder Camera with Cartoon Soft Cover, Best Chritmas Birthday Festival Gift for Kids - 32G SD Card Included",cameras,B07VW8KWLR,32.32,28.32,29.99,29.99,29.99,29.99,29.99,29.99,29.99,25.49,34.82,39.49,34.83,30.59,35.99,33.29,33.19,30.52,33.79,34.57,33.3,33.3,37.22,40.66,32.06,33.29,33.29,36.99,32.06,33.29,36.83,33.29,33.29,33.29,35.19,38.49,32.06,36.14,33.29,34.52,33.29,33.29,33.29,33.29,33.99,33.99,28.89,33.49
"Hasbro Gaming Candy Land Kingdom Of Sweet Adventures Board Game For Kids, Easter Gifts for Boys & Girls, 3+ (Amazon Exclusive)",board games,B00000DMF5,12.99,12.99,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.99,11.75,11.07,12.99,12.73,12.61,11.99,11.99,12.7,12.77,12.49,10.99,11.78,11.98,11.43,10.42,12.27,12.41,12.4,11.69,12.15,12.69,12.77,12.77,12.77,12.03,12.77,12.84,12.26,11.13,11.99,11.99,12.12,12.25,11.97,12.39,12.99,12.41,12.61
