Series ID,Year,Period,Label,Value
CUSR0000SA0,2021,M01,2021 Jan,262.639
CUSR0000SA0,2021,M02,2021 Feb,263.573
CUSR0000SA0,2021,M03,2021 Mar,264.847
CUSR0000SA0,2021,M04,2021 Apr,266.625
CUSR0000SA0,2021,M05,2021 May,268.404
CUSR0000SA0,2021,M06,2021 Jun,270.710
CUSR0000SA0,2021,M07,2021 Jul,271.965
CUSR0000SA0,2021,M08,2021 Aug,272.752
CUSR0000SA0,2021,M09,2021 Sep,273.942
CUSR0000SA0,2021,M10,2021 Oct,276.528
CUSR0000SA0,2021,M11,2021 Nov,278.824
CUSR0000SA0,2021,M12,2021 Dec,280.806
CUSR0000SA0,2022,M01,2022 Jan,282.542
CUSR0000SA0,2022,M02,2022 Feb,284.525
CUSR0000SA0,2022,M03,2022 Mar,287.467
CUSR0000SA0,2022,M04,2022 Apr,288.582
CUSR0000SA0,2022,M05,2022 May,291.299
CUSR0000SA0,2022,M06,2022 Jun,295.072
CUSR0000SA0,2022,M07,2022 Jul,294.940
CUSR0000SA0,2022,M08,2022 Aug,295.162
CUSR0000SA0,2022,M09,2022 Sep,296.421
CUSR0000SA0,2022,M10,2022 Oct,297.979
CUSR0000SA0,2022,M11,2022 Nov,298.708
CUSR0000SA0,2022,M12,2022 Dec,298.808
CUSR0000SA0,2023,M01,2023 Jan,300.456
CUSR0000SA0,2023,M02,2023 Feb,301.476
CUSR0000SA0,2023,M03,2023 Mar,301.643
CUSR0000SA0,2023,M04,2023 Apr,302.858
CUSR0000SA0,2023,M05,2023 May,303.316
CUSR0000SA0,2023,M06,2023 Jun,304.099
CUSR0000SA0,2023,M07,2023 Jul,304.615
CUSR0000SA0,2023,M08,2023 Aug,306.138
CUSR0000SA0,2023,M09,2023 Sep,307.374
CUSR0000SA0,2023,M10,2023 Oct,307.653
CUSR0000SA0,2023,M11,2023 Nov,308.087
CUSR0000SA0,2023,M12,2023 Dec,308.735
CUSR0000SA0,2024,M01,2024 Jan,309.794
CUSR0000SA0,2024,M02,2024 Feb,311.022
CUSR0000SA0,2024,M03,2024 Mar,312.107
CUSR0000SA0,2024,M04,2024 Apr,313.016
CUSR0000SA0,2024,M05,2024 May,313.140
CUSR0000SA0,2024,M06,2024 Jun,313.131
CUSR0000SA0,2024,M07,2024 Jul,313.566
CUSR0000SA0,2024,M08,2024 Aug,314.131
CUSR0000SA0,2024,M09,2024 Sep,314.851
CUSR0000SA0,2024,M10,2024 Oct,315.564
CUSR0000SA0,2024,M11,2024 Nov,316.449
CUSR0000SA0,2024,M12,2024 Dec,317.603
CUSR0000SA0,2025,M01,2025 Jan,319.086
