Series ID,Year,Period,Label,Value
CUSR0000SAA,2021,M01,2021 Jan,119.233
CUSR0000SAA,2021,M02,2021 Feb,118.398
CUSR0000SAA,2021,M03,2021 Mar,118.481
CUSR0000SAA,2021,M04,2021 Apr,119.495
CUSR0000SAA,2021,M05,2021 May,120.612
CUSR0000SAA,2021,M06,2021 Jun,121.171
CUSR0000SAA,2021,M07,2021 Jul,121.318
CUSR0000SAA,2021,M08,2021 Aug,121.569
CUSR0000SAA,2021,M09,2021 Sep,121.124
CUSR0000SAA,2021,M10,2021 Oct,122.522
CUSR0000SAA,2021,M11,2021 Nov,123.620
CUSR0000SAA,2021,M12,2021 Dec,124.887
CUSR0000SAA,2022,M01,2022 Jan,125.561
CUSR0000SAA,2022,M02,2022 Feb,126.129
CUSR0000SAA,2022,M03,2022 Mar,126.456
CUSR0000SAA,2022,M04,2022 Apr,125.960
CUSR0000SAA,2022,M05,2022 May,126.530
CUSR0000SAA,2022,M06,2022 Jun,127.274
CUSR0000SAA,2022,M07,2022 Jul,127.344
CUSR0000SAA,2022,M08,2022 Aug,127.493
CUSR0000SAA,2022,M09,2022 Sep,127.712
CUSR0000SAA,2022,M10,2022 Oct,127.760
CUSR0000SAA,2022,M11,2022 Nov,128.386
CUSR0000SAA,2022,M12,2022 Dec,128.690
CUSR0000SAA,2023,M01,2023 Jan,129.414
CUSR0000SAA,2023,M02,2023 Feb,130.244
CUSR0000SAA,2023,M03,2023 Mar,130.443
CUSR0000SAA,2023,M04,2023 Apr,130.436
CUSR0000SAA,2023,M05,2023 May,130.833
CUSR0000SAA,2023,M06,2023 Jun,130.955
CUSR0000SAA,2023,M07,2023 Jul,131.265
CUSR0000SAA,2023,M08,2023 Aug,131.268
CUSR0000SAA,2023,M09,2023 Sep,130.560
CUSR0000SAA,2023,M10,2023 Oct,131.257
CUSR0000SAA,2023,M11,2023 Nov,130.192
CUSR0000SAA,2023,M12,2023 Dec,130.269
CUSR0000SAA,2024,M01,2024 Jan,129.554
CUSR0000SAA,2024,M02,2024 Feb,130.223
CUSR0000SAA,2024,M03,2024 Mar,130.962
CUSR0000SAA,2024,M04,2024 Apr,132.098
CUSR0000SAA,2024,M05,2024 May,131.816
CUSR0000SAA,2024,M06,2024 Jun,131.798
CUSR0000SAA,2024,M07,2024 Jul,131.448
CUSR0000SAA,2024,M08,2024 Aug,131.581
CUSR0000SAA,2024,M09,2024 Sep,132.886
CUSR0000SAA,2024,M10,2024 Oct,131.706
CUSR0000SAA,2024,M11,2024 Nov,131.814
CUSR0000SAA,2024,M12,2024 Dec,131.986
CUSR0000SAA,2025,M01,2025 Jan,130.160
