Series ID,Year,Period,Label,Value
CUSR0000SEHK,2021,M01,2021 Jan,81.268
CUSR0000SEHK,2021,M02,2021 Feb,82.603
CUSR0000SEHK,2021,M03,2021 Mar,83.148
CUSR0000SEHK,2021,M04,2021 Apr,83.029
CUSR0000SEHK,2021,M05,2021 May,83.705
CUSR0000SEHK,2021,M06,2021 Jun,83.791
CUSR0000SEHK,2021,M07,2021 Jul,84.065
CUSR0000SEHK,2021,M08,2021 Aug,85.150
CUSR0000SEHK,2021,M09,2021 Sep,86.230
CUSR0000SEHK,2021,M10,2021 Oct,86.786
CUSR0000SEHK,2021,M11,2021 Nov,86.769
CUSR0000SEHK,2021,M12,2021 Dec,87.625
CUSR0000SEHK,2022,M01,2022 Jan,88.150
CUSR0000SEHK,2022,M02,2022 Feb,88.507
CUSR0000SEHK,2022,M03,2022 Mar,89.559
CUSR0000SEHK,2022,M04,2022 Apr,89.559
CUSR0000SEHK,2022,M05,2022 May,89.013
CUSR0000SEHK,2022,M06,2022 Jun,89.203
CUSR0000SEHK,2022,M07,2022 Jul,88.450
CUSR0000SEHK,2022,M08,2022 Aug,87.609
CUSR0000SEHK,2022,M09,2022 Sep,87.751
CUSR0000SEHK,2022,M10,2022 Oct,87.793
CUSR0000SEHK,2022,M11,2022 Nov,88.344
CUSR0000SEHK,2022,M12,2022 Dec,88.780
CUSR0000SEHK,2023,M01,2023 Jan,89.325
CUSR0000SEHK,2023,M02,2023 Feb,89.881
CUSR0000SEHK,2023,M03,2023 Mar,90.358
CUSR0000SEHK,2023,M04,2023 Apr,89.161
CUSR0000SEHK,2023,M05,2023 May,88.823
CUSR0000SEHK,2023,M06,2023 Jun,87.879
CUSR0000SEHK,2023,M07,2023 Jul,87.859
CUSR0000SEHK,2023,M08,2023 Aug,87.588
CUSR0000SEHK,2023,M09,2023 Sep,86.836
CUSR0000SEHK,2023,M10,2023 Oct,86.114
CUSR0000SEHK,2023,M11,2023 Nov,85.279
CUSR0000SEHK,2023,M12,2023 Dec,85.491
CUSR0000SEHK,2024,M01,2024 Jan,85.787
CUSR0000SEHK,2024,M02,2024 Feb,85.145
CUSR0000SEHK,2024,M03,2024 Mar,84.571
CUSR0000SEHK,2024,M04,2024 Apr,84.193
CUSR0000SEHK,2024,M05,2024 May,84.471
CUSR0000SEHK,2024,M06,2024 Jun,84.732
CUSR0000SEHK,2024,M07,2024 Jul,84.903
CUSR0000SEHK,2024,M08,2024 Aug,84.762
CUSR0000SEHK,2024,M09,2024 Sep,84.536
CUSR0000SEHK,2024,M10,2024 Oct,84.177
CUSR0000SEHK,2024,M11,2024 Nov,84.434
CUSR0000SEHK,2024,M12,2024 Dec,82.672
CUSR0000SEHK,2025,M01,2025 Jan,82.153
