Series ID,Year,Period,Label,Value
CUUR0000SEFT05,2021,M01,2021 Jan,172.794
CUUR0000SEFT05,2021,M02,2021 Feb,172.967
CUUR0000SEFT05,2021,M03,2021 Mar,172.045
CUUR0000SEFT05,2021,M04,2021 Apr,173.891
CUUR0000SEFT05,2021,M05,2021 May,173.949
CUUR0000SEFT05,2021,M06,2021 Jun,174.247
CUUR0000SEFT05,2021,M07,2021 Jul,176.483
CUUR0000SEFT05,2021,M08,2021 Aug,176.722
CUUR0000SEFT05,2021,M09,2021 Sep,180.697
CUUR0000SEFT05,2021,M10,2021 Oct,185.450
CUUR0000SEFT05,2021,M11,2021 Nov,186.108
CUUR0000SEFT05,2021,M12,2021 Dec,185.990
CUUR0000SEFT05,2022,M01,2022 Jan,186.204
CUUR0000SEFT05,2022,M02,2022 Feb,187.551
CUUR0000SEFT05,2022,M03,2022 Mar,190.637
CUUR0000SEFT05,2022,M04,2022 Apr,196.443
CUUR0000SEFT05,2022,M05,2022 May,196.455
CUUR0000SEFT05,2022,M06,2022 Jun,198.654
CUUR0000SEFT05,2022,M07,2022 Jul,202.920
CUUR0000SEFT05,2022,M08,2022 Aug,198.959
CUUR0000SEFT05,2022,M09,2022 Sep,202.011
CUUR0000SEFT05,2022,M10,2022 Oct,205.666
CUUR0000SEFT05,2022,M11,2022 Nov,206.370
CUUR0000SEFT05,2022,M12,2022 Dec,205.866
CUUR0000SEFT05,2023,M01,2023 Jan,204.744
CUUR0000SEFT05,2023,M02,2023 Feb,205.838
CUUR0000SEFT05,2023,M03,2023 Mar,205.068
CUUR0000SEFT05,2023,M04,2023 Apr,213.793
CUUR0000SEFT05,2023,M05,2023 May,216.328
CUUR0000SEFT05,2023,M06,2023 Jun,213.534
CUUR0000SEFT05,2023,M07,2023 Jul,214.841
CUUR0000SEFT05,2023,M08,2023 Aug,215.686
CUUR0000SEFT05,2023,M09,2023 Sep,220.633
CUUR0000SEFT05,2023,M10,2023 Oct,222.817
CUUR0000SEFT05,2023,M11,2023 Nov,222.026
CUUR0000SEFT05,2023,M12,2023 Dec,220.871
CUUR0000SEFT05,2024,M01,2024 Jan,222.490
CUUR0000SEFT05,2024,M02,2024 Feb,223.942
CUUR0000SEFT05,2024,M03,2024 Mar,225.451
CUUR0000SEFT05,2024,M04,2024 Apr,224.699
CUUR0000SEFT05,2024,M05,2024 May,221.809
CUUR0000SEFT05,2024,M06,2024 Jun,225.509
CUUR0000SEFT05,2024,M07,2024 Jul,224.791
CUUR0000SEFT05,2024,M08,2024 Aug,223.727
CUUR0000SEFT05,2024,M09,2024 Sep,226.395
CUUR0000SEFT05,2024,M10,2024 Oct,224.916
CUUR0000SEFT05,2024,M11,2024 Nov,224.646
CUUR0000SEFT05,2024,M12,2024 Dec,225.580
CUUR0000SEFT05,2025,M01,2025 Jan,224.948
