Series ID,Year,Period,Label,Value
CUSR0000SAC,2021,M01,2021 Jan,189.420
CUSR0000SAC,2021,M02,2021 Feb,190.400
CUSR0000SAC,2021,M03,2021 Mar,191.908
CUSR0000SAC,2021,M04,2021 Apr,193.647
CUSR0000SAC,2021,M05,2021 May,195.923
CUSR0000SAC,2021,M06,2021 Jun,199.068
CUSR0000SAC,2021,M07,2021 Jul,200.178
CUSR0000SAC,2021,M08,2021 Aug,201.155
CUSR0000SAC,2021,M09,2021 Sep,202.684
CUSR0000SAC,2021,M10,2021 Oct,205.875
CUSR0000SAC,2021,M11,2021 Nov,208.886
CUSR0000SAC,2021,M12,2021 Dec,211.540
CUSR0000SAC,2022,M01,2022 Jan,213.262
CUSR0000SAC,2022,M02,2022 Feb,215.488
CUSR0000SAC,2022,M03,2022 Mar,219.138
CUSR0000SAC,2022,M04,2022 Apr,218.636
CUSR0000SAC,2022,M05,2022 May,221.460
CUSR0000SAC,2022,M06,2022 Jun,225.757
CUSR0000SAC,2022,M07,2022 Jul,223.995
CUSR0000SAC,2022,M08,2022 Aug,222.115
CUSR0000SAC,2022,M09,2022 Sep,221.998
CUSR0000SAC,2022,M10,2022 Oct,223.553
CUSR0000SAC,2022,M11,2022 Nov,223.531
CUSR0000SAC,2022,M12,2022 Dec,221.579
CUSR0000SAC,2023,M01,2023 Jan,222.601
CUSR0000SAC,2023,M02,2023 Feb,222.944
CUSR0000SAC,2023,M03,2023 Mar,222.339
CUSR0000SAC,2023,M04,2023 Apr,223.316
CUSR0000SAC,2023,M05,2023 May,223.278
CUSR0000SAC,2023,M06,2023 Jun,223.546
CUSR0000SAC,2023,M07,2023 Jul,223.086
CUSR0000SAC,2023,M08,2023 Aug,224.610
CUSR0000SAC,2023,M09,2023 Sep,225.137
CUSR0000SAC,2023,M10,2023 Oct,224.505
CUSR0000SAC,2023,M11,2023 Nov,223.388
CUSR0000SAC,2023,M12,2023 Dec,223.166
CUSR0000SAC,2024,M01,2024 Jan,222.900
CUSR0000SAC,2024,M02,2024 Feb,223.604
CUSR0000SAC,2024,M03,2024 Mar,223.654
CUSR0000SAC,2024,M04,2024 Apr,224.088
CUSR0000SAC,2024,M05,2024 May,223.471
CUSR0000SAC,2024,M06,2024 Jun,222.779
CUSR0000SAC,2024,M07,2024 Jul,222.451
CUSR0000SAC,2024,M08,2024 Aug,222.155
CUSR0000SAC,2024,M09,2024 Sep,222.114
CUSR0000SAC,2024,M10,2024 Oct,222.085
CUSR0000SAC,2024,M11,2024 Nov,222.652
CUSR0000SAC,2024,M12,2024 Dec,223.700
CUSR0000SAC,2025,M01,2025 Jan,224.629
