Series ID,Year,Period,Label,Value
CUSR0000SAD,2021,M01,2021 Jan,107.972
CUSR0000SAD,2021,M02,2021 Feb,108.229
CUSR0000SAD,2021,M03,2021 Mar,108.754
CUSR0000SAD,2021,M04,2021 Apr,111.951
CUSR0000SAD,2021,M05,2021 May,114.749
CUSR0000SAD,2021,M06,2021 Jun,118.684
CUSR0000SAD,2021,M07,2021 Jul,119.531
CUSR0000SAD,2021,M08,2021 Aug,120.047
CUSR0000SAD,2021,M09,2021 Sep,120.120
CUSR0000SAD,2021,M10,2021 Oct,122.341
CUSR0000SAD,2021,M11,2021 Nov,124.231
CUSR0000SAD,2021,M12,2021 Dec,126.389
CUSR0000SAD,2022,M01,2022 Jan,127.907
CUSR0000SAD,2022,M02,2022 Feb,128.539
CUSR0000SAD,2022,M03,2022 Mar,127.705
CUSR0000SAD,2022,M04,2022 Apr,127.623
CUSR0000SAD,2022,M05,2022 May,127.793
CUSR0000SAD,2022,M06,2022 Jun,128.624
CUSR0000SAD,2022,M07,2022 Jul,128.987
CUSR0000SAD,2022,M08,2022 Aug,129.441
CUSR0000SAD,2022,M09,2022 Sep,128.669
CUSR0000SAD,2022,M10,2022 Oct,128.115
CUSR0000SAD,2022,M11,2022 Nov,127.141
CUSR0000SAD,2022,M12,2022 Dec,126.283
CUSR0000SAD,2023,M01,2023 Jan,126.335
CUSR0000SAD,2023,M02,2023 Feb,126.273
CUSR0000SAD,2023,M03,2023 Mar,126.514
CUSR0000SAD,2023,M04,2023 Apr,127.438
CUSR0000SAD,2023,M05,2023 May,127.718
CUSR0000SAD,2023,M06,2023 Jun,127.529
CUSR0000SAD,2023,M07,2023 Jul,127.161
CUSR0000SAD,2023,M08,2023 Aug,126.888
CUSR0000SAD,2023,M09,2023 Sep,125.791
CUSR0000SAD,2023,M10,2023 Oct,125.429
CUSR0000SAD,2023,M11,2023 Nov,125.090
CUSR0000SAD,2023,M12,2023 Dec,124.715
CUSR0000SAD,2024,M01,2024 Jan,124.351
CUSR0000SAD,2024,M02,2024 Feb,124.315
CUSR0000SAD,2024,M03,2024 Mar,123.960
CUSR0000SAD,2024,M04,2024 Apr,123.425
CUSR0000SAD,2024,M05,2024 May,122.823
CUSR0000SAD,2024,M06,2024 Jun,122.243
CUSR0000SAD,2024,M07,2024 Jul,121.889
CUSR0000SAD,2024,M08,2024 Aug,121.557
CUSR0000SAD,2024,M09,2024 Sep,122.119
CUSR0000SAD,2024,M10,2024 Oct,122.330
CUSR0000SAD,2024,M11,2024 Nov,122.563
CUSR0000SAD,2024,M12,2024 Dec,122.394
CUSR0000SAD,2025,M01,2025 Jan,122.852
