Series ID,Year,Period,Label,Value
CUUR0000SEHJ02,2021,M01,2021 Jan,89.424
CUUR0000SEHJ02,2021,M02,2021 Feb,89.647
CUUR0000SEHJ02,2021,M03,2021 Mar,91.781
CUUR0000SEHJ02,2021,M04,2021 Apr,94.389
CUUR0000SEHJ02,2021,M05,2021 May,96.370
CUUR0000SEHJ02,2021,M06,2021 Jun,96.644
CUUR0000SEHJ02,2021,M07,2021 Jul,94.781
CUUR0000SEHJ02,2021,M08,2021 Aug,98.347
CUUR0000SEHJ02,2021,M09,2021 Sep,101.761
CUUR0000SEHJ02,2021,M10,2021 Oct,100.898
CUUR0000SEHJ02,2021,M11,2021 Nov,101.809
CUUR0000SEHJ02,2021,M12,2021 Dec,104.925
CUUR0000SEHJ02,2022,M01,2022 Jan,107.226
CUUR0000SEHJ02,2022,M02,2022 Feb,106.967
CUUR0000SEHJ02,2022,M03,2022 Mar,107.245
CUUR0000SEHJ02,2022,M04,2022 Apr,108.414
CUUR0000SEHJ02,2022,M05,2022 May,109.219
CUUR0000SEHJ02,2022,M06,2022 Jun,111.542
CUUR0000SEHJ02,2022,M07,2022 Jul,114.502
CUUR0000SEHJ02,2022,M08,2022 Aug,115.797
CUUR0000SEHJ02,2022,M09,2022 Sep,114.708
CUUR0000SEHJ02,2022,M10,2022 Oct,112.567
CUUR0000SEHJ02,2022,M11,2022 Nov,112.254
CUUR0000SEHJ02,2022,M12,2022 Dec,111.547
CUUR0000SEHJ02,2023,M01,2023 Jan,111.091
CUUR0000SEHJ02,2023,M02,2023 Feb,110.160
CUUR0000SEHJ02,2023,M03,2023 Mar,110.803
CUUR0000SEHJ02,2023,M04,2023 Apr,110.392
CUUR0000SEHJ02,2023,M05,2023 May,108.995
CUUR0000SEHJ02,2023,M06,2023 Jun,109.213
CUUR0000SEHJ02,2023,M07,2023 Jul,108.987
CUUR0000SEHJ02,2023,M08,2023 Aug,108.245
CUUR0000SEHJ02,2023,M09,2023 Sep,107.084
CUUR0000SEHJ02,2023,M10,2023 Oct,107.625
CUUR0000SEHJ02,2023,M11,2023 Nov,106.514
CUUR0000SEHJ02,2023,M12,2023 Dec,104.839
CUUR0000SEHJ02,2024,M01,2024 Jan,106.219
CUUR0000SEHJ02,2024,M02,2024 Feb,105.745
CUUR0000SEHJ02,2024,M03,2024 Mar,106.582
CUUR0000SEHJ02,2024,M04,2024 Apr,106.291
CUUR0000SEHJ02,2024,M05,2024 May,105.400
CUUR0000SEHJ02,2024,M06,2024 Jun,103.910
CUUR0000SEHJ02,2024,M07,2024 Jul,102.584
CUUR0000SEHJ02,2024,M08,2024 Aug,101.487
CUUR0000SEHJ02,2024,M09,2024 Sep,104.759
CUUR0000SEHJ02,2024,M10,2024 Oct,106.350
CUUR0000SEHJ02,2024,M11,2024 Nov,107.049
CUUR0000SEHJ02,2024,M12,2024 Dec,106.202
CUUR0000SEHJ02,2025,M01,2025 Jan,107.374
