Series ID,Year,Period,Label,Value
CUSR0000SEAG,2021,M01,2021 Jan,176.808
CUSR0000SEAG,2021,M02,2021 Feb,177.229
CUSR0000SEAG,2021,M03,2021 Mar,181.111
CUSR0000SEAG,2021,M04,2021 Apr,183.539
CUSR0000SEAG,2021,M05,2021 May,186.720
CUSR0000SEAG,2021,M06,2021 Jun,185.407
CUSR0000SEAG,2021,M07,2021 Jul,184.717
CUSR0000SEAG,2021,M08,2021 Aug,188.033
CUSR0000SEAG,2021,M09,2021 Sep,183.854
CUSR0000SEAG,2021,M10,2021 Oct,184.410
CUSR0000SEAG,2021,M11,2021 Nov,181.926
CUSR0000SEAG,2021,M12,2021 Dec,185.507
CUSR0000SEAG,2022,M01,2022 Jan,187.046
CUSR0000SEAG,2022,M02,2022 Feb,185.206
CUSR0000SEAG,2022,M03,2022 Mar,185.837
CUSR0000SEAG,2022,M04,2022 Apr,184.100
CUSR0000SEAG,2022,M05,2022 May,185.669
CUSR0000SEAG,2022,M06,2022 Jun,186.740
CUSR0000SEAG,2022,M07,2022 Jul,186.730
CUSR0000SEAG,2022,M08,2022 Aug,187.394
CUSR0000SEAG,2022,M09,2022 Sep,191.514
CUSR0000SEAG,2022,M10,2022 Oct,189.921
CUSR0000SEAG,2022,M11,2022 Nov,192.249
CUSR0000SEAG,2022,M12,2022 Dec,194.418
CUSR0000SEAG,2023,M01,2023 Jan,195.644
CUSR0000SEAG,2023,M02,2023 Feb,201.178
CUSR0000SEAG,2023,M03,2023 Mar,199.249
CUSR0000SEAG,2023,M04,2023 Apr,199.235
CUSR0000SEAG,2023,M05,2023 May,198.513
CUSR0000SEAG,2023,M06,2023 Jun,197.976
CUSR0000SEAG,2023,M07,2023 Jul,198.738
CUSR0000SEAG,2023,M08,2023 Aug,197.925
CUSR0000SEAG,2023,M09,2023 Sep,192.692
CUSR0000SEAG,2023,M10,2023 Oct,196.364
CUSR0000SEAG,2023,M11,2023 Nov,195.912
CUSR0000SEAG,2023,M12,2023 Dec,198.259
CUSR0000SEAG,2024,M01,2024 Jan,196.695
CUSR0000SEAG,2024,M02,2024 Feb,193.790
CUSR0000SEAG,2024,M03,2024 Mar,195.250
CUSR0000SEAG,2024,M04,2024 Apr,197.185
CUSR0000SEAG,2024,M05,2024 May,196.741
CUSR0000SEAG,2024,M06,2024 Jun,202.527
CUSR0000SEAG,2024,M07,2024 Jul,199.722
CUSR0000SEAG,2024,M08,2024 Aug,197.211
CUSR0000SEAG,2024,M09,2024 Sep,203.921
CUSR0000SEAG,2024,M10,2024 Oct,201.819
CUSR0000SEAG,2024,M11,2024 Nov,202.562
CUSR0000SEAG,2024,M12,2024 Dec,202.175
CUSR0000SEAG,2025,M01,2025 Jan,194.217
