Series ID,Year,Period,Label,Value
CUUR0000SAF1,2021,M01,2021 Jan,270.938
CUUR0000SAF1,2021,M02,2021 Feb,271.363
CUUR0000SAF1,2021,M03,2021 Mar,271.812
CUUR0000SAF1,2021,M04,2021 Apr,273.090
CUUR0000SAF1,2021,M05,2021 May,274.212
CUUR0000SAF1,2021,M06,2021 Jun,276.206
CUUR0000SAF1,2021,M07,2021 Jul,278.127
CUUR0000SAF1,2021,M08,2021 Aug,279.135
CUUR0000SAF1,2021,M09,2021 Sep,281.506
CUUR0000SAF1,2021,M10,2021 Oct,284.205
CUUR0000SAF1,2021,M11,2021 Nov,285.507
CUUR0000SAF1,2021,M12,2021 Dec,286.966
CUUR0000SAF1,2022,M01,2022 Jan,289.772
CUUR0000SAF1,2022,M02,2022 Feb,292.794
CUUR0000SAF1,2022,M03,2022 Mar,295.728
CUUR0000SAF1,2022,M04,2022 Apr,298.711
CUUR0000SAF1,2022,M05,2022 May,302.038
CUUR0000SAF1,2022,M06,2022 Jun,305.041
CUUR0000SAF1,2022,M07,2022 Jul,308.532
CUUR0000SAF1,2022,M08,2022 Aug,310.875
CUUR0000SAF1,2022,M09,2022 Sep,313.142
CUUR0000SAF1,2022,M10,2022 Oct,315.323
CUUR0000SAF1,2022,M11,2022 Nov,315.857
CUUR0000SAF1,2022,M12,2022 Dec,316.839
CUUR0000SAF1,2023,M01,2023 Jan,319.136
CUUR0000SAF1,2023,M02,2023 Feb,320.569
CUUR0000SAF1,2023,M03,2023 Mar,320.863
CUUR0000SAF1,2023,M04,2023 Apr,321.566
CUUR0000SAF1,2023,M05,2023 May,322.249
CUUR0000SAF1,2023,M06,2023 Jun,322.556
CUUR0000SAF1,2023,M07,2023 Jul,323.523
CUUR0000SAF1,2023,M08,2023 Aug,324.100
CUUR0000SAF1,2023,M09,2023 Sep,324.704
CUUR0000SAF1,2023,M10,2023 Oct,325.731
CUUR0000SAF1,2023,M11,2023 Nov,325.172
CUUR0000SAF1,2023,M12,2023 Dec,325.409
CUUR0000SAF1,2024,M01,2024 Jan,327.327
CUUR0000SAF1,2024,M02,2024 Feb,327.731
CUUR0000SAF1,2024,M03,2024 Mar,328.043
CUUR0000SAF1,2024,M04,2024 Apr,328.678
CUUR0000SAF1,2024,M05,2024 May,329.120
CUUR0000SAF1,2024,M06,2024 Jun,329.710
CUUR0000SAF1,2024,M07,2024 Jul,330.561
CUUR0000SAF1,2024,M08,2024 Aug,330.750
CUUR0000SAF1,2024,M09,2024 Sep,332.083
CUUR0000SAF1,2024,M10,2024 Oct,332.678
CUUR0000SAF1,2024,M11,2024 Nov,332.904
CUUR0000SAF1,2024,M12,2024 Dec,333.566
CUUR0000SAF1,2025,M01,2025 Jan,335.517
