Series ID,Year,Period,Label,Value
CUSR0000SAN,2021,M01,2021 Jan,230.924
CUSR0000SAN,2021,M02,2021 Feb,232.507
CUSR0000SAN,2021,M03,2021 Mar,234.155
CUSR0000SAN,2021,M04,2021 Apr,234.973
CUSR0000SAN,2021,M05,2021 May,235.969
CUSR0000SAN,2021,M06,2021 Jun,238.052
CUSR0000SAN,2021,M07,2021 Jul,239.489
CUSR0000SAN,2021,M08,2021 Aug,241.243
CUSR0000SAN,2021,M09,2021 Sep,243.527
CUSR0000SAN,2021,M10,2021 Oct,246.637
CUSR0000SAN,2021,M11,2021 Nov,250.137
CUSR0000SAN,2021,M12,2021 Dec,252.440
CUSR0000SAN,2022,M01,2022 Jan,253.922
CUSR0000SAN,2022,M02,2022 Feb,257.354
CUSR0000SAN,2022,M03,2022 Mar,264.702
CUSR0000SAN,2022,M04,2022 Apr,264.906
CUSR0000SAN,2022,M05,2022 May,269.622
CUSR0000SAN,2022,M06,2022 Jun,276.572
CUSR0000SAN,2022,M07,2022 Jul,273.542
CUSR0000SAN,2022,M08,2022 Aug,269.777
CUSR0000SAN,2022,M09,2022 Sep,269.788
CUSR0000SAN,2022,M10,2022 Oct,272.619
CUSR0000SAN,2022,M11,2022 Nov,273.554
CUSR0000SAN,2022,M12,2022 Dec,271.022
CUSR0000SAN,2023,M01,2023 Jan,273.244
CUSR0000SAN,2023,M02,2023 Feb,273.770
CUSR0000SAN,2023,M03,2023 Mar,271.998
CUSR0000SAN,2023,M04,2023 Apr,273.229
CUSR0000SAN,2023,M05,2023 May,272.217
CUSR0000SAN,2023,M06,2023 Jun,272.839
CUSR0000SAN,2023,M07,2023 Jul,272.730
CUSR0000SAN,2023,M08,2023 Aug,276.218
CUSR0000SAN,2023,M09,2023 Sep,278.377
CUSR0000SAN,2023,M10,2023 Oct,277.144
CUSR0000SAN,2023,M11,2023 Nov,275.654
CUSR0000SAN,2023,M12,2023 Dec,276.113
CUSR0000SAN,2024,M01,2024 Jan,275.931
CUSR0000SAN,2024,M02,2024 Feb,276.735
CUSR0000SAN,2024,M03,2024 Mar,276.636
CUSR0000SAN,2024,M04,2024 Apr,278.042
CUSR0000SAN,2024,M05,2024 May,277.101
CUSR0000SAN,2024,M06,2024 Jun,276.333
CUSR0000SAN,2024,M07,2024 Jul,276.145
CUSR0000SAN,2024,M08,2024 Aug,276.043
CUSR0000SAN,2024,M09,2024 Sep,276.446
CUSR0000SAN,2024,M10,2024 Oct,275.806
CUSR0000SAN,2024,M11,2024 Nov,276.883
CUSR0000SAN,2024,M12,2024 Dec,279.449
CUSR0000SAN,2025,M01,2025 Jan,280.454
