Series ID,Year,Period,Label,Value
CUSR0000SEMF02,2021,M01,2021 Jan,95.828
CUSR0000SEMF02,2021,M02,2021 Feb,95.401
CUSR0000SEMF02,2021,M03,2021 Mar,94.911
CUSR0000SEMF02,2021,M04,2021 Apr,95.956
CUSR0000SEMF02,2021,M05,2021 May,96.139
CUSR0000SEMF02,2021,M06,2021 Jun,95.739
CUSR0000SEMF02,2021,M07,2021 Jul,95.710
CUSR0000SEMF02,2021,M08,2021 Aug,94.836
CUSR0000SEMF02,2021,M09,2021 Sep,95.743
CUSR0000SEMF02,2021,M10,2021 Oct,96.595
CUSR0000SEMF02,2021,M11,2021 Nov,96.704
CUSR0000SEMF02,2021,M12,2021 Dec,96.902
CUSR0000SEMF02,2022,M01,2022 Jan,97.464
CUSR0000SEMF02,2022,M02,2022 Feb,98.285
CUSR0000SEMF02,2022,M03,2022 Mar,98.888
CUSR0000SEMF02,2022,M04,2022 Apr,98.833
CUSR0000SEMF02,2022,M05,2022 May,99.190
CUSR0000SEMF02,2022,M06,2022 Jun,100.202
CUSR0000SEMF02,2022,M07,2022 Jul,100.764
CUSR0000SEMF02,2022,M08,2022 Aug,100.595
CUSR0000SEMF02,2022,M09,2022 Sep,101.001
CUSR0000SEMF02,2022,M10,2022 Oct,101.408
CUSR0000SEMF02,2022,M11,2022 Nov,102.076
CUSR0000SEMF02,2022,M12,2022 Dec,102.196
CUSR0000SEMF02,2023,M01,2023 Jan,102.207
CUSR0000SEMF02,2023,M02,2023 Feb,102.640
CUSR0000SEMF02,2023,M03,2023 Mar,103.526
CUSR0000SEMF02,2023,M04,2023 Apr,104.235
CUSR0000SEMF02,2023,M05,2023 May,105.357
CUSR0000SEMF02,2023,M06,2023 Jun,105.725
CUSR0000SEMF02,2023,M07,2023 Jul,106.983
CUSR0000SEMF02,2023,M08,2023 Aug,108.185
CUSR0000SEMF02,2023,M09,2023 Sep,109.460
CUSR0000SEMF02,2023,M10,2023 Oct,109.682
CUSR0000SEMF02,2023,M11,2023 Nov,110.163
CUSR0000SEMF02,2023,M12,2023 Dec,110.733
CUSR0000SEMF02,2024,M01,2024 Jan,111.629
CUSR0000SEMF02,2024,M02,2024 Feb,112.124
CUSR0000SEMF02,2024,M03,2024 Mar,111.185
CUSR0000SEMF02,2024,M04,2024 Apr,112.173
CUSR0000SEMF02,2024,M05,2024 May,111.519
CUSR0000SEMF02,2024,M06,2024 Jun,111.606
CUSR0000SEMF02,2024,M07,2024 Jul,111.141
CUSR0000SEMF02,2024,M08,2024 Aug,110.819
CUSR0000SEMF02,2024,M09,2024 Sep,110.209
CUSR0000SEMF02,2024,M10,2024 Oct,109.158
CUSR0000SEMF02,2024,M11,2024 Nov,109.790
CUSR0000SEMF02,2024,M12,2024 Dec,110.407
CUSR0000SEMF02,2025,M01,2025 Jan,110.227
