Series ID,Year,Period,Label,Value
CUUR0000SERB01,2021,M01,2021 Jan,202.042
CUUR0000SERB01,2021,M02,2021 Feb,202.178
CUUR0000SERB01,2021,M03,2021 Mar,202.372
CUUR0000SERB01,2021,M04,2021 Apr,203.299
CUUR0000SERB01,2021,M05,2021 May,203.247
CUUR0000SERB01,2021,M06,2021 Jun,202.727
CUUR0000SERB01,2021,M07,2021 Jul,205.637
CUUR0000SERB01,2021,M08,2021 Aug,205.495
CUUR0000SERB01,2021,M09,2021 Sep,206.448
CUUR0000SERB01,2021,M10,2021 Oct,206.487
CUUR0000SERB01,2021,M11,2021 Nov,206.598
CUUR0000SERB01,2021,M12,2021 Dec,207.516
CUUR0000SERB01,2022,M01,2022 Jan,209.441
CUUR0000SERB01,2022,M02,2022 Feb,212.692
CUUR0000SERB01,2022,M03,2022 Mar,216.289
CUUR0000SERB01,2022,M04,2022 Apr,217.956
CUUR0000SERB01,2022,M05,2022 May,220.210
CUUR0000SERB01,2022,M06,2022 Jun,222.471
CUUR0000SERB01,2022,M07,2022 Jul,223.846
CUUR0000SERB01,2022,M08,2022 Aug,227.417
CUUR0000SERB01,2022,M09,2022 Sep,229.425
CUUR0000SERB01,2022,M10,2022 Oct,232.387
CUUR0000SERB01,2022,M11,2022 Nov,233.434
CUUR0000SERB01,2022,M12,2022 Dec,233.766
CUUR0000SERB01,2023,M01,2023 Jan,234.331
CUUR0000SERB01,2023,M02,2023 Feb,236.802
CUUR0000SERB01,2023,M03,2023 Mar,238.643
CUUR0000SERB01,2023,M04,2023 Apr,241.168
CUUR0000SERB01,2023,M05,2023 May,243.555
CUUR0000SERB01,2023,M06,2023 Jun,242.387
CUUR0000SERB01,2023,M07,2023 Jul,241.371
CUUR0000SERB01,2023,M08,2023 Aug,238.928
CUUR0000SERB01,2023,M09,2023 Sep,240.443
CUUR0000SERB01,2023,M10,2023 Oct,240.453
CUUR0000SERB01,2023,M11,2023 Nov,239.754
CUUR0000SERB01,2023,M12,2023 Dec,240.924
CUUR0000SERB01,2024,M01,2024 Jan,241.190
CUUR0000SERB01,2024,M02,2024 Feb,240.859
CUUR0000SERB01,2024,M03,2024 Mar,241.732
CUUR0000SERB01,2024,M04,2024 Apr,240.037
CUUR0000SERB01,2024,M05,2024 May,240.008
CUUR0000SERB01,2024,M06,2024 Jun,241.997
CUUR0000SERB01,2024,M07,2024 Jul,241.170
CUUR0000SERB01,2024,M08,2024 Aug,240.592
CUUR0000SERB01,2024,M09,2024 Sep,239.638
CUUR0000SERB01,2024,M10,2024 Oct,238.735
CUUR0000SERB01,2024,M11,2024 Nov,239.775
CUUR0000SERB01,2024,M12,2024 Dec,238.711
CUUR0000SERB01,2025,M01,2025 Jan,239.441
