Series ID,Year,Period,Label,Value
CUUR0000SEMF01,2021,M01,2021 Jan,525.434
CUUR0000SEMF01,2021,M02,2021 Feb,521.231
CUUR0000SEMF01,2021,M03,2021 Mar,521.375
CUUR0000SEMF01,2021,M04,2021 Apr,523.876
CUUR0000SEMF01,2021,M05,2021 May,522.116
CUUR0000SEMF01,2021,M06,2021 Jun,519.861
CUUR0000SEMF01,2021,M07,2021 Jul,519.957
CUUR0000SEMF01,2021,M08,2021 Aug,519.729
CUUR0000SEMF01,2021,M09,2021 Sep,521.506
CUUR0000SEMF01,2021,M10,2021 Oct,523.862
CUUR0000SEMF01,2021,M11,2021 Nov,524.509
CUUR0000SEMF01,2021,M12,2021 Dec,525.251
CUUR0000SEMF01,2022,M01,2022 Jan,532.044
CUUR0000SEMF01,2022,M02,2022 Feb,533.592
CUUR0000SEMF01,2022,M03,2022 Mar,532.722
CUUR0000SEMF01,2022,M04,2022 Apr,532.975
CUUR0000SEMF01,2022,M05,2022 May,532.195
CUUR0000SEMF01,2022,M06,2022 Jun,532.656
CUUR0000SEMF01,2022,M07,2022 Jul,534.312
CUUR0000SEMF01,2022,M08,2022 Aug,536.212
CUUR0000SEMF01,2022,M09,2022 Sep,535.820
CUUR0000SEMF01,2022,M10,2022 Oct,535.248
CUUR0000SEMF01,2022,M11,2022 Nov,534.424
CUUR0000SEMF01,2022,M12,2022 Dec,534.900
CUUR0000SEMF01,2023,M01,2023 Jan,546.107
CUUR0000SEMF01,2023,M02,2023 Feb,546.312
CUUR0000SEMF01,2023,M03,2023 Mar,547.078
CUUR0000SEMF01,2023,M04,2023 Apr,548.510
CUUR0000SEMF01,2023,M05,2023 May,548.929
CUUR0000SEMF01,2023,M06,2023 Jun,549.140
CUUR0000SEMF01,2023,M07,2023 Jul,549.212
CUUR0000SEMF01,2023,M08,2023 Aug,551.344
CUUR0000SEMF01,2023,M09,2023 Sep,547.579
CUUR0000SEMF01,2023,M10,2023 Oct,552.058
CUUR0000SEMF01,2023,M11,2023 Nov,554.600
CUUR0000SEMF01,2023,M12,2023 Dec,552.625
CUUR0000SEMF01,2024,M01,2024 Jan,548.245
CUUR0000SEMF01,2024,M02,2024 Feb,547.682
CUUR0000SEMF01,2024,M03,2024 Mar,549.405
CUUR0000SEMF01,2024,M04,2024 Apr,550.678
CUUR0000SEMF01,2024,M05,2024 May,562.168
CUUR0000SEMF01,2024,M06,2024 Jun,562.339
CUUR0000SEMF01,2024,M07,2024 Jul,563.035
CUUR0000SEMF01,2024,M08,2024 Aug,562.174
CUUR0000SEMF01,2024,M09,2024 Sep,559.487
CUUR0000SEMF01,2024,M10,2024 Oct,560.836
CUUR0000SEMF01,2024,M11,2024 Nov,558.497
CUUR0000SEMF01,2024,M12,2024 Dec,558.744
CUUR0000SEMF01,2025,M01,2025 Jan,572.655
