Series ID,Year,Period,Label,Value
CUSR0000SAR,2021,M01,2021 Jan,122.170
CUSR0000SAR,2021,M02,2021 Feb,122.759
CUSR0000SAR,2021,M03,2021 Mar,123.192
CUSR0000SAR,2021,M04,2021 Apr,124.261
CUSR0000SAR,2021,M05,2021 May,124.605
CUSR0000SAR,2021,M06,2021 Jun,124.954
CUSR0000SAR,2021,M07,2021 Jul,125.633
CUSR0000SAR,2021,M08,2021 Aug,126.282
CUSR0000SAR,2021,M09,2021 Sep,126.521
CUSR0000SAR,2021,M10,2021 Oct,127.495
CUSR0000SAR,2021,M11,2021 Nov,127.282
CUSR0000SAR,2021,M12,2021 Dec,127.025
CUSR0000SAR,2022,M01,2022 Jan,127.993
CUSR0000SAR,2022,M02,2022 Feb,128.821
CUSR0000SAR,2022,M03,2022 Mar,129.043
CUSR0000SAR,2022,M04,2022 Apr,129.575
CUSR0000SAR,2022,M05,2022 May,130.161
CUSR0000SAR,2022,M06,2022 Jun,130.730
CUSR0000SAR,2022,M07,2022 Jul,131.099
CUSR0000SAR,2022,M08,2022 Aug,131.472
CUSR0000SAR,2022,M09,2022 Sep,131.673
CUSR0000SAR,2022,M10,2022 Oct,132.706
CUSR0000SAR,2022,M11,2022 Nov,133.368
CUSR0000SAR,2022,M12,2022 Dec,133.571
CUSR0000SAR,2023,M01,2023 Jan,134.124
CUSR0000SAR,2023,M02,2023 Feb,135.220
CUSR0000SAR,2023,M03,2023 Mar,135.324
CUSR0000SAR,2023,M04,2023 Apr,136.059
CUSR0000SAR,2023,M05,2023 May,136.073
CUSR0000SAR,2023,M06,2023 Jun,136.338
CUSR0000SAR,2023,M07,2023 Jul,136.392
CUSR0000SAR,2023,M08,2023 Aug,136.140
CUSR0000SAR,2023,M09,2023 Sep,136.790
CUSR0000SAR,2023,M10,2023 Oct,136.924
CUSR0000SAR,2023,M11,2023 Nov,136.691
CUSR0000SAR,2023,M12,2023 Dec,137.205
CUSR0000SAR,2024,M01,2024 Jan,137.843
CUSR0000SAR,2024,M02,2024 Feb,138.034
CUSR0000SAR,2024,M03,2024 Mar,137.835
CUSR0000SAR,2024,M04,2024 Apr,138.118
CUSR0000SAR,2024,M05,2024 May,137.935
CUSR0000SAR,2024,M06,2024 Jun,138.152
CUSR0000SAR,2024,M07,2024 Jul,138.265
CUSR0000SAR,2024,M08,2024 Aug,138.245
CUSR0000SAR,2024,M09,2024 Sep,137.770
CUSR0000SAR,2024,M10,2024 Oct,138.301
CUSR0000SAR,2024,M11,2024 Nov,138.712
CUSR0000SAR,2024,M12,2024 Dec,138.700
CUSR0000SAR,2025,M01,2025 Jan,140.083
