Series ID,Year,Period,Label,Value
CUSR0000SEHM,2021,M01,2021 Jan,92.441
CUSR0000SEHM,2021,M02,2021 Feb,93.046
CUSR0000SEHM,2021,M03,2021 Mar,93.636
CUSR0000SEHM,2021,M04,2021 Apr,93.601
CUSR0000SEHM,2021,M05,2021 May,94.921
CUSR0000SEHM,2021,M06,2021 Jun,95.255
CUSR0000SEHM,2021,M07,2021 Jul,95.124
CUSR0000SEHM,2021,M08,2021 Aug,95.479
CUSR0000SEHM,2021,M09,2021 Sep,96.124
CUSR0000SEHM,2021,M10,2021 Oct,99.181
CUSR0000SEHM,2021,M11,2021 Nov,100.055
CUSR0000SEHM,2021,M12,2021 Dec,100.522
CUSR0000SEHM,2022,M01,2022 Jan,102.350
CUSR0000SEHM,2022,M02,2022 Feb,102.933
CUSR0000SEHM,2022,M03,2022 Mar,103.766
CUSR0000SEHM,2022,M04,2022 Apr,104.103
CUSR0000SEHM,2022,M05,2022 May,105.362
CUSR0000SEHM,2022,M06,2022 Jun,105.230
CUSR0000SEHM,2022,M07,2022 Jul,105.362
CUSR0000SEHM,2022,M08,2022 Aug,106.653
CUSR0000SEHM,2022,M09,2022 Sep,108.115
CUSR0000SEHM,2022,M10,2022 Oct,109.181
CUSR0000SEHM,2022,M11,2022 Nov,110.040
CUSR0000SEHM,2022,M12,2022 Dec,111.158
CUSR0000SEHM,2023,M01,2023 Jan,112.205
CUSR0000SEHM,2023,M02,2023 Feb,115.078
CUSR0000SEHM,2023,M03,2023 Mar,115.515
CUSR0000SEHM,2023,M04,2023 Apr,115.183
CUSR0000SEHM,2023,M05,2023 May,114.653
CUSR0000SEHM,2023,M06,2023 Jun,114.498
CUSR0000SEHM,2023,M07,2023 Jul,113.166
CUSR0000SEHM,2023,M08,2023 Aug,114.498
CUSR0000SEHM,2023,M09,2023 Sep,114.952
CUSR0000SEHM,2023,M10,2023 Oct,113.791
CUSR0000SEHM,2023,M11,2023 Nov,113.159
CUSR0000SEHM,2023,M12,2023 Dec,112.161
CUSR0000SEHM,2024,M01,2024 Jan,111.346
CUSR0000SEHM,2024,M02,2024 Feb,111.366
CUSR0000SEHM,2024,M03,2024 Mar,111.205
CUSR0000SEHM,2024,M04,2024 Apr,110.476
CUSR0000SEHM,2024,M05,2024 May,110.882
CUSR0000SEHM,2024,M06,2024 Jun,110.769
CUSR0000SEHM,2024,M07,2024 Jul,111.002
CUSR0000SEHM,2024,M08,2024 Aug,110.576
CUSR0000SEHM,2024,M09,2024 Sep,109.745
CUSR0000SEHM,2024,M10,2024 Oct,110.140
CUSR0000SEHM,2024,M11,2024 Nov,110.287
CUSR0000SEHM,2024,M12,2024 Dec,109.850
CUSR0000SEHM,2025,M01,2025 Jan,110.522
