Series ID,Year,Period,Label,Value
CUSR0000SERE01,2021,M01,2021 Jan,28.768
CUSR0000SERE01,2021,M02,2021 Feb,28.783
CUSR0000SERE01,2021,M03,2021 Mar,28.944
CUSR0000SERE01,2021,M04,2021 Apr,29.669
CUSR0000SERE01,2021,M05,2021 May,29.402
CUSR0000SERE01,2021,M06,2021 Jun,29.059
CUSR0000SERE01,2021,M07,2021 Jul,29.111
CUSR0000SERE01,2021,M08,2021 Aug,29.137
CUSR0000SERE01,2021,M09,2021 Sep,28.775
CUSR0000SERE01,2021,M10,2021 Oct,28.943
CUSR0000SERE01,2021,M11,2021 Nov,29.288
CUSR0000SERE01,2021,M12,2021 Dec,29.431
CUSR0000SERE01,2022,M01,2022 Jan,29.418
CUSR0000SERE01,2022,M02,2022 Feb,29.583
CUSR0000SERE01,2022,M03,2022 Mar,29.564
CUSR0000SERE01,2022,M04,2022 Apr,29.575
CUSR0000SERE01,2022,M05,2022 May,29.544
CUSR0000SERE01,2022,M06,2022 Jun,29.585
CUSR0000SERE01,2022,M07,2022 Jul,29.874
CUSR0000SERE01,2022,M08,2022 Aug,29.917
CUSR0000SERE01,2022,M09,2022 Sep,29.947
CUSR0000SERE01,2022,M10,2022 Oct,29.836
CUSR0000SERE01,2022,M11,2022 Nov,29.452
CUSR0000SERE01,2022,M12,2022 Dec,29.825
CUSR0000SERE01,2023,M01,2023 Jan,29.567
CUSR0000SERE01,2023,M02,2023 Feb,29.961
CUSR0000SERE01,2023,M03,2023 Mar,30.180
CUSR0000SERE01,2023,M04,2023 Apr,30.033
CUSR0000SERE01,2023,M05,2023 May,30.050
CUSR0000SERE01,2023,M06,2023 Jun,29.869
CUSR0000SERE01,2023,M07,2023 Jul,28.943
CUSR0000SERE01,2023,M08,2023 Aug,29.024
CUSR0000SERE01,2023,M09,2023 Sep,28.858
CUSR0000SERE01,2023,M10,2023 Oct,28.713
CUSR0000SERE01,2023,M11,2023 Nov,28.651
CUSR0000SERE01,2023,M12,2023 Dec,28.502
CUSR0000SERE01,2024,M01,2024 Jan,28.363
CUSR0000SERE01,2024,M02,2024 Feb,28.118
CUSR0000SERE01,2024,M03,2024 Mar,27.738
CUSR0000SERE01,2024,M04,2024 Apr,27.812
CUSR0000SERE01,2024,M05,2024 May,27.729
CUSR0000SERE01,2024,M06,2024 Jun,28.060
CUSR0000SERE01,2024,M07,2024 Jul,28.093
CUSR0000SERE01,2024,M08,2024 Aug,28.081
CUSR0000SERE01,2024,M09,2024 Sep,28.011
CUSR0000SERE01,2024,M10,2024 Oct,27.889
CUSR0000SERE01,2024,M11,2024 Nov,27.653
CUSR0000SERE01,2024,M12,2024 Dec,27.425
CUSR0000SERE01,2025,M01,2025 Jan,27.638
