"Title","Categories: Sub","ASIN"
"Hero Cosmetics Mighty Patch™ Original Patch - Hydrocolloid Acne Pimple Patch for Covering Zits and Blemishes, Spot Stickers for Face and Skin (72 Count)","Pore Cleansing Strips, Climate Pledge Friendly | Beauty & Personal Care, New Year Beauty","B07B4KQVK6"
"Clean Skin Club Clean Towels XL™, 100% USDA Biobased Face Towel, Disposable Face Towelette, Eczema Association Accepted, Makeup Remover Dry Wipes, Ultra Soft, 300 Ct, 6 Pack","Cloths & Towelettes, Face Care, EF-Beauty-High, Make Up Removers","B08129P1SC"
"eos Shea Better Body Lotion- Coconut Waters, 24-Hour Moisture Skin Care, Lightweight & Non-Greasy, Made with Natural Shea, Vegan, 16 fl oz","Lotions, Mom's spa night","B08KT5HM98"
"Neutrogena Makeup Remover Wipes, Daily Facial Cleanser Towelettes, Gently Cleanse and Remove Oil & Makeup, Alcohol-Free Makeup Wipes, 2 x 25 ct","Makeup Cleansing Wipes, Face Care, Cloths & Towelettes, Shop J&J Same Day: Available in select metros, Shop Skin Care, Summer Beauty, Allure Best of Beauty, Valentine's Day Beauty, Best of Skin Care, Hall of Fame winners, Make Up Removers","B00U2VQZDS"
"essence | Lash Princess False Lash Effect Mascara (3 Pack) | Smudgeproof Volume & Length | Cruelty Free & Paraben Free","Mascara, HBH24Couponhub, Event Deals, Valentine's Day Beauty, Holiday Beauty Haul Coupons, New Year Beauty","B07XF7B6ZJ"
"Julep Eyeshadow 101 Crème to Powder Waterproof Eyeshadow Stick, Cocoa Shimmer","Eyeshadow, Eyeshadow, Eyeshadow1, Prime Card Bonus - Eligible Luxury Beauty Products, Luxury & Professional Beauty, Eyeshadow1, Luxury Beauty Prime Offer","B01LVTHYP8"
"Maybelline Lash Sensational Sky High Washable Mascara Makeup, Volumizing, Lengthening, Defining, Curling, Multiplying, Buildable Formula, Blackest Black, 1 Count","Mascara, Fall Trends, 90's Grunge, Internet Famous, Beauty Best Sellers, Customers' Most-Loved: Beauty, Shop Makeup, Most-loved beauty deals, Customers' Most-Loved Beauty","B08H3JPH74"
"La Roche-Posay Toleriane Double Repair UV SPF Moisturizer for Face, Daily Facial Moisturizer with Sunscreen SPF 30, Niacinamide and Glycerin, Oil Free, Moisturizing Sun Protection","Face Moisturizers, Face Care, La Roche-Posay, Shop Skin Care, Prime Day: 30% off Luxury Beauty, 15% off luxury beauty, Spend $30, Get $5 off Luxury Beauty, Creams & Moisturizers, Facial Skin Care Sample Credit, Beauty Best Sellers, Customers' Most-Loved Premium Beauty_Temp, Beach Bum Summer Picks, 15% off Luxury Beauty New Customers, Cleansers, Face Moisturizers, Premium Beauty Best Sellers, Men's Grooming Gifts, Beauty like a PRO, Back to School Beauty Must Haves, Prime Card Bonus - Eligible Luxury Beauty Products, Premium Beauty Best Sellers, Treat Yourself Luxury Beauty, Luxury & Professional Beauty, Top Rated Luxury Beauty, Shop Luxury Beauty Favorites, protect, moisturize, La Roche-Posay Sampling, Lux-Pro-Beauty, Luxury Beauty Prime Offer, Amazon.com: 15% off Professional Skin Care","B01NCWV3KM"
"Nizoral Anti-Dandruff Shampoo with 1% Ketoconazole, Fresh Scent, 7 Fl Oz","Shampoos, Summer Beauty, Subscribe & Save Prime Promo, Top Picks in Beauty & Grooming, Customers' Most-Loved: Beauty, Shop Hair Care, Most-loved beauty deals, Spend $60, Save $20 on Beauty products, Top Picks in Beauty & Grooming, Effective Hair Therapy, 25% off Johnson&Johnson Best Sellers, Customers' Most-Loved Beauty","B00AINMFAC"
"PanOxyl Acne Foaming Wash Benzoyl Peroxide 10% Maximum Strength Antimicrobial, 5.5 Oz","Washes, Face Care, Shop Skin Care, Summer Beauty, Best of Beauty: Clean, Allure Best of Beauty, New & Trending, Customers' Most-Loved: Beauty, Event Deals, Allure Best of Beauty Summer Picks, Most-loved beauty deals, Allure Best of Beauty Winners, Allure Best of Beauty Skin & Body Picks, Customers' Most-Loved Beauty, Best of Skin Care","B081KL2QYJ"
