"Title","Categories: Sub","ASIN"
"Gildan Men's Crew T-Shirts, Multipack, Style G1100, Black/Sport Grey/Charcoal (5-Pack), Large","T-Shirts, 2025 Gildan Big Spring Sale, College Essentials, 935e7a06-ca2b-4ddf-a94d-320834cbcb3b_9701, Bulk Buying & Case Packs, Up to 40% Off Men's and Women's Basics, Gildan Top 30 PASINs, Everyday Value Brands, Business Pricing & Quantity Discounts, Gildan 2024, Mens Plus Size Fashion, Most Wished For Styles, Most-loved fashion deals, Most Gifted Styles, Amazon Fashion: Clothing, Save on select fashion, Men's Shirts Under $30, Everyday Apparel Essentials","B0787P86ZZ"
"Crocs Unisex-Adult Classic Clogs (Best Sellers), Evergreen, 8 Men/10 Women","Mules & Clogs, 80dbd58c-5608-4346-a9d0-64e6b7f46827_690502, 80dbd58c-5608-4346-a9d0-64e6b7f46827_423502, Test Color, Crocs Variations, Business Pricing & Quantity Discounts, Mens Next-Gen Shoes, Up to 50% Off Casual Shoes for Dad, M Next-Gen Shoes, Spend $100+, get $25 off select fashion","B006TAI9A8"
"Fruit Of The Loom Mens Classic T-Shirt, Regular - 6 Pack - Black, X-Large US","Undershirts, See It On You, Bulk Buying & Case Packs, Test Color, 80dbd58c-5608-4346-a9d0-64e6b7f46827_744602, FOTL Top 10 PASIN, Business Pricing & Quantity Discounts, Everyday Apparel Essentials","B08F2ND1BC"
"Hanes Men's ComfortBlend Sweatshirt, Deep Forest, XX-Large","Active Sweatshirts, See It On You, 6609e2df-21bc-475b-90b2-735f42ef982c_3801, 13200977011, Up to 50% on Activewear Basics, Test Color, 80dbd58c-5608-4346-a9d0-64e6b7f46827_744602, Mens Plus Size Fashion, MFN ONLY V2, Men's Last-Minute Gifts with Free One-Day Shipping, Men's See It On You, Prime Day: 30% off Select Clothing, Shoes & More for Men, Women, Kids & Baby, Everyday Apparel Essentials, Internet Famous","B00JUM2GF6"
"Hanes Mens Underwear Briefs, Cool Dri Moisture-wicking Cotton No-ride-up For Men, Multi-packs Available Boxer, 6 Pack - Assorted, XX-Large US","Boxer Briefs, Hanes MUW BXGY T12, Bulk Buying & Case Packs, 80dbd58c-5608-4346-a9d0-64e6b7f46827_744602, Experts' Picks: Black Friday Deals for Men, Everyday Apparel Essentials","B086L79Q71"
"Hanes Men's Pullover EcoSmart Hooded Sweatshirt, Smoke Grey, XX-Large","Active Sweatshirts, See It On You, 6609e2df-21bc-475b-90b2-735f42ef982c_3801, Everyday Value Brands, Holiday Fashion Gift Guide: Gifts for him, Test Color, 80dbd58c-5608-4346-a9d0-64e6b7f46827_744602, Must See Deals, Green Lit 193, Business Pricing & Quantity Discounts, Hanes | Spend $25 and Receive a $5 Credit, Amazon Fashion: Clothing, Men's See It On You, Men's Fleece Favorites, Prime Day: 30% off Select Clothing, Shoes & More for Men, Women, Kids & Baby, Everyday Apparel Essentials, Internet Famous, Customers' Most-Loved: Sweaters Under $30 pASIN Test","B00JUM48CA"
"Crocs Kids' Classic Clogs (Retired Colors), Chambray Blue, 6 Toddler","Girls, Clogs & Mules, Boys Boots, Clogs & Mules, Test Color, Crocs Variations, Business Pricing & Quantity Discounts, Spend $100+, get $25 off select fashion","B0787KH4N7"
"Amazon Essentials Women's Cotton Bikini Brief Underwear (Available in Plus Size), Pack of 6, White, 4X","Bikinis, 201528209011, Women's Plus-Size Fashion, 201528207011, New arrivals from our brands, Deals from Amazon brands, 935e7a06-ca2b-4ddf-a94d-320834cbcb3b_1, 23909090011, Our Brands, PTBYB x The Plus Shop, HG & Top Rated & Manual Plus Size (w/basics), Bulk Buying & Case Packs, SPB AE AA SJC, Test Color, Business Pricing & Quantity Discounts, Amazon Essentials, 100% Plus (title match), 100% Plus (No Title Match), Featured Brands, test node women, Women's fashion","B07Z6JV3YF"
"THE GYM PEOPLE Thick High Waist Yoga Pants with Pockets, Tummy Control Workout Running Yoga Leggings for Women (Medium, Tie Dye Black Grey)","Leggings, yoga apparel aisle test, Top sellers Women's Test, Top sellers Women's, b21c23e8-ac46-41ab-bfed-a824ad1360c0_601, XS-3X, Everyday Apparel Essentials, Customers' Most-Loved: Sweaters Under $30 pASIN Test","B08LKXBD4Q"
"Lee Women's Ultra Lux Comfort with Flex Motion Trouser Pant Ash Heather 16 Medium","Casual, Prime Wardrobe: Lee Try before you buy, Business Pricing & Quantity Discounts, LEDT9 Priority","B07R9GXFSC"
"voenxe Seamless Women Underwear Thongs,No Show Ladies Thong,Invisible No Line Breathable Comfortable Panties Undies,Womens No Seam Soft Wide Gusset Tanga,Legging Underpants for Woman 5-Pack","G-Strings & Thongs, Holiday Pop-In - BuzzFeed, 935e7a06-ca2b-4ddf-a94d-320834cbcb3b_1, Most Wished For Styles, Most Gifted Styles","B081VND184"
"Carhartt Men's Loose Fit Heavyweight Short-Sleeve Pocket T-Shirt (Also Available in Big & Tall), Desert, 4X-Large","Tops, Prime Try Before You Buy: Men's Summer Shirts, College Essentials, Men's Summer Trends, Men's Big & Tall Clothing, Prime Try Before You Buy: Off to College, Prime Try Before You Buy: Men’s Picks, Test Color, 80dbd58c-5608-4346-a9d0-64e6b7f46827_744602, Construction & Safety Uniforms, 121191987011, Business Pricing & Quantity Discounts, MFN ONLY V2, Men's See It On You, Amazon Business Uniform Store, Spend $100+, get $25 off select fashion, Workwear","B081LKD8QR"
"Hanes Men's Cotton, Moisture-Wicking Crew Tee Undershirts, Multi-Packs, White-12, X-Large","Undershirts, See It On You, Bulk Buying & Case Packs, Test Color, 80dbd58c-5608-4346-a9d0-64e6b7f46827_744602, Business Pricing & Quantity Discounts, Amazon Fashion: Clothing, Prime Day: 30% off Select Clothing, Shoes & More for Men, Women, Kids & Baby, Everyday Apparel Essentials, Customers' Most-Loved: Sweaters Under $30 pASIN Test","B01HOG83LU"
"IDEGG No Show Socks Womens and Men Low Cut Ankle Short Anti-slid Athletic Running Novelty Casual Invisible Liner Socks","Athletic Socks, Men, Socks, b21c23e8-ac46-41ab-bfed-a824ad1360c0_601, 935e7a06-ca2b-4ddf-a94d-320834cbcb3b_1, Top Sellers Men's, Business Pricing & Quantity Discounts, Most Gifted Styles, Top Sellers Men's Test, Everyday Apparel Essentials, Fashion, Customers' Most-Loved: Sweaters Under $30 pASIN Test","B0832HC17R"
