"Title","Categories: Sub","ASIN"
"CELSIUS Sparkling Strawberry Guava, Functional Essential Energy Drink 12 Fl Oz (Pack of 12)","Energy Drinks, Gluten-Free Groceries, Evergreen Core Promotions - PSP Exclusion ASINs, d963aedb-8e7e-493c-80e7-b70e3c253824_9301, Plant-Based Lifestyles, Beverages, Energy Drinks, Energy drinks, All Beverages","B08PGXDHTC"
"Nespresso Capsules Vertuo, Voltesso, Mild Roast Espresso, 50-Count Espresso Pods, Brews 1.35oz.","Single-Serve Capsules & Pods, Kitchen & Dining Features, Packaged Coffee, Cozy up with coffee, Coffee & Tea, Breakfast Deals, Coffee, Save on Coffee & Tea, Featured SNAP-eligible groceries, 1, Beverages, OTC, Coffee & creamer, Main Coffee Base Shoveler, Coffee & Tea, Cups/Pods","B0768N9N6P"
"Premier Protein Shake, Cookies & Cream, 30g Protein, 1g Sugar, 24 Vitamins & Minerals, Nutrients to Support Immune Health 11.5 fl oz (12 Pack)","Protein Drinks, Beverages, Protein drinks","B07MFYYZ5B"
"Sparkling Ice, Peach Nectarine Sparkling Water, Zero Sugar Flavored Water, with Vitamins and Antioxidants, Low Calorie Beverage, 17 fl oz Bottles (Pack of 12)","Carbonated Water, Subscribe & Save Prime Promo, Refreshing Drinks Sample Box, Sparkling water, Sparkling Water, Soda and cocktail mixers, Beverages, Tailgating, Sparkling water, Sparkling water, Drinks, Crystal Light Sampling, Refreshing Beverages, Featured SNAP-eligible groceries, Sparkling Water, Baverages, Beverages, Beverages, Water, Sparkling Water, Beverages, CSD and Water, BBQ Beverages, All Sparkling Water, Sips and Snacks, RFS Food, Springtime Beverages, Beverages for Summer, Sparkling  Water","B009S2XFVW"
"Sparkling Ice, Cranberry Frost Sparkling Water, Zero Sugar Flavored Water, with Vitamins and Antioxidants, Low Calorie Beverage, 17 oz Bottles (Pack of 12)","Soft Drinks, Sparkling water, Sparkling Water, Soda and cocktail mixers, Beverages, Sparkling water, Sparkling water, Beverages, Bebidas, Drinks, Quench your thirst, Sparkling Water, Baverages, Beverages, Beverages, Soda, Water, Sparkling Water, Beverages, CSD and Water, BBQ Beverages, All Sparkling Water, Movie Night Coupons, Soft Drinks, Soft Drinks, Springtime Beverages, Beverages for Summer, Sparkling  Water","B07KY58NFX"
"Monster Energy Zero Ultra, Sugar Free Energy Drink, 16 Ounce, Pack of 24","Energy Drinks, Subscribe & Save Prime Promo, Beverage Sample Box, Get ready for the big game, Student Favorites in Grocery, Everyday grocery items, d963aedb-8e7e-493c-80e7-b70e3c253824_759802, Gluten-Free Groceries, Amazon Student Exclusive - 20% Off Groceries, Monster Back to School, Featured SNAP-eligible groceries, Cold beverages, d963aedb-8e7e-493c-80e7-b70e3c253824_9301, 35% Off Food & Beverages, Beverages, Energy Drinks, Energy drinks, All Beverages","B00ADYXY7E"
"Core Power Protein Shake, Chocolate, 26g Bottle, 14oz, 12 Pack","Protein Drinks, Balanced Nutrition, Prime Members save 35% at checkout, Up to 35% off Crystal Light, Keurig, Solimo, & more, Gluten-Free Groceries, Cold beverages, d963aedb-8e7e-493c-80e7-b70e3c253824_9301, Beverages, Diet & Nutrition, Protein drinks","B07LD2NV9X"
"Starbucks K-Cup Coffee Pods, Medium Roast Coffee, Breakfast Blend for Keurig Brewers, 100% Arabica, 6 boxes (60 pods total)","Single-Serve Capsules & Pods, Packaged Coffee, Cozy up with coffee, 15% off Grocery items, Snacks Packed with Protein, Starbucks Coffee, Coffee & Tea, Fall Celebration: Coffee, Grocery Fall Celebration Event, Breakfast Deals, Coffee, Save on Coffee & Tea, Amazon Student Exclusive - 20% Off Groceries, Subscribe & Save: Top Picks in Groceries, Starbucks, Tazo & Seattle's Best, Featured SNAP-eligible groceries, SNAP Coffee, 1, Beverages, OTC, Coffee & creamer, Main Coffee Base Shoveler, Coffee & Tea, Cups/Pods","B00U3ODTTM"
"Nespresso Capsules Vertuo, Double Espresso Scuro, Dark Roast Espresso Coffee, 30-Count Coffee Pods, Brews 2.7oz.","Single-Serve Capsules & Pods, Kitchen & Dining Features, Packaged Coffee, Cozy up with coffee, Coffee & Tea, Breakfast Deals, Coffee, Save on Coffee & Tea, Featured SNAP-eligible groceries, 1, Beverages, OTC, Coffee & creamer, Main Coffee Base Shoveler, Coffee & Tea, Coffee and Beverages, Cups/Pods","B07M8YV12G"
"Nespresso Capsules VertuoLine, Hazelino Muffin, Mild Roast Coffee, 40-Count Coffee Pods","Single-Serve Capsules & Pods, Packaged Coffee, Cozy up with coffee, Coffee & Tea, Breakfast Deals, Coffee, Save on Coffee & Tea, Featured SNAP-eligible groceries, 1, Beverages, OTC, Coffee & creamer, Main Coffee Base Shoveler, Coffee & Tea, Cups/Pods","B0851ZVCGL"
"Core Power Elite High Protein Shake (42g), Chocolate, 14 Fl oz","Protein Drinks, Balanced Nutrition, Beverages, Ready for school 2022, Protein drinks","B01N4OMLOZ"
"PUR Gum | Aspartame Free Chewing Gum | 100% Xylitol | Natural Peppermint Flavored Gum, 55 Pieces (Pack of 12)","Chewing & Bubble Gum, Candy & Chocolate, Chewing Gum Sample Credit, Gluten-Free Groceries, d963aedb-8e7e-493c-80e7-b70e3c253824_9301, Plant-Based Lifestyles, Canned, Packaged & Baking, All Candy Coupons, Movie Night Coupons, Non-chocolate candy","B016CGL3V0"
"Frito Lay Classic Mix Variety Pack, (Pack of 35)","Potato, Snacks & produce IA, Game day snacks & dips, Snacks, Get ready for the big game, Snack favorites, Seasonal Snacks, Salty snacks, Everyday grocery items, Snacks Under 5$, 15% off coupon terms and conditions, Grocery Subscribe and Save, Chips, Snacks, Lunchbox snacks, Save 30% on summer snacks and beverages, Featured SNAP-eligible groceries, Snacks, Chips, Game Day Snacks, Canned, Packaged & Baking, Back to School Everyday Essentials, Chips, OTC, Chips, Snacks under $5, Chips and Snacks, Chips & more, New to Fresh Snacks, Snacks, RFS Food, Shop & Save Terms & Conditions","B073QMN75M"
"The Original Donut Shop Regular, Single-Serve Keurig K-Cup Pods, Medium Roast Coffee Pods, 32 Count","Single-Serve Capsules & Pods, CAH_Coffee&Espresso, Home & Kitchen Features, Packaged Coffee, Cozy up with coffee, Coffee & Tea, Breakfast Deals, Coffee, Save on Coffee & Tea, Featured SNAP-eligible groceries, 1, Beverages, OTC, Coffee & creamer, Main Coffee Base Shoveler, New to Fresh, Coffee & Tea, Coffee & Creamer, Fall flavors 2021, Holiday Shop 2023 ASINs, Cups/Pods, Mother's Day Deals, Mother's Day, Fall Flavors 2023 ASINs, all coffee and tea","B0798F3MPV"
"Propel Berry, Zero Calorie Sports Drinking Water with Electrolytes and Vitamins C&E, 16.9 Fl Oz, Pack of 12","Flavored Water, Beverages, Sparkling Soda Sample Box Credit, Featured SNAP-eligible groceries, SNAP Water, SNAP Beverages, Beverages, Beverages, OTC, Flavor Still and Sparkling Water, Water, NYNY_ENHANCED, Beverages, Flavored Still and Sparkling Water Multipacks, CSD and Water, ALL BEVS MULTIPACKS (no packaged c&t), BBQ Beverages, RFS Food, Springtime Beverages, Beverages for Summer","B002U5A8LY"
"Amazon Brand - Happy Belly Light Roast Coffee Pods, Morning Light, Compatible with Keurig 2.0 K-Cup Brewers, 100 Count","Single-Serve Capsules & Pods, Packaged Coffee, Cozy up with coffee, Coffee & Tea, Up to 35% off Crystal Light, Keurig, Solimo, & more, Happy Belly, Breakfast Deals, Coffee, Save on Coffee & Tea, Deals on pantry staples from Happy Belly, SNAP-eligible beverages, Prime foods at just-right prices, 1, Beverages, OTC, Coffee & creamer, Main Coffee Base Shoveler, Coffee & Tea, Cups/Pods","B07NZV249W"
"Twinings English Classic Cold Brewed Iced Tea Bags, 20 Count (Pack of 6), Unsweetened Black Tea, Caffeinated","Iced Tea, MasterCard Subscribe & Save Show All, Subscribe & Save Prime Promo, f2acaa74-dfe3-426c-b654-a431ad2c4e38_447902, Beverages, Tea, Lipton Natural Energy FREE Sample, Save on Coffee & Tea, d963aedb-8e7e-493c-80e7-b70e3c253824_787902, Lipton K-Cup Sample, Quench your thirst, Beverages, Coffee & Tea, BBQ Beverages, Springtime Beverages","B0028GWGYW"
"Liquid Death, Still Mountain Water, 12-Pack (Tallboy Size 16.9oz Cans), Real Mountain Source, Natural Minerals & Electrolytes","Still Water, Holiday Coupons | Beauty, Health & Personal Care, Water, Beverages, Beverages, Drinks, Beverages, Lunch, Canned & bottled water, Beverages (non-alc), +10% Off - Beverages, Summer Splash All ASINs, Beverages, Refreshing drinks, Vegan frozen foods, Deals, Beverages, Beverages, Beverages, Fall beverages, Water, Beverages, Plant-Based Deals, Pack a picnic, Beverages, SNAP Beverages, Cold beverages, Jan 24 Non Alc Destination, Water, +10% Off - All Groceries, NA: Lunch, Beverages, Drinks, Beverages non alc, Beverages, Water, Beverages, CSD and Water, BBQ Beverages, Sips and Snacks, Springtime Beverages, Beverages for Summer","B07G3G3F53"
"Lavazza Espresso Whole Bean Coffee Blend, Medium Roast, 2.2 Pound Bag (Packaging May Vary) Premium Quality, Non GMO, 100% Arabica, Rich bodied","Roasted Coffee Beans, Self Service, OTC, Coffee & creamer, Main Coffee Base Shoveler, Coffee & Tea, Whole Beans, Coffee and Beverages","B00P0ZMWEC"
"CELSIUS® On-the-Go Powder Sticks Cranberry Lemon, Essential Energy 2.6 Oz (14 Sticks per Pack) Packaging may vary","Energy Drinks, Gluten-Free Groceries, Evergreen Core Promotions - PSP Exclusion ASINs, Beverages, Energy Drinks, Energy drinks","B07D14JQLG"
"FGO Organic Rooibos Chai Tea, 20 Count, Eco-Conscious Tea Bags, Resealable Bag, Caffeine Free, Packaging May Vary (Pack of 1)","Herbal, Organic Groceries, Coffee & Tea, Tea, Save on Coffee & Tea, Plant-Based Lifestyles, Coffee & Tea","B0871LKY9R"
"Nestle Coffee mate Coffee Creamer, Original, Liquid Creamer Singles, Non Dairy, No Refrigeration, 0.375 fl oz Tubs (Pack of 180)","Coffee Creamers, Subscribe & Save Prime Promo, Drinks & Desserts, f2acaa74-dfe3-426c-b654-a431ad2c4e38_7901, 15% off Grocery items, Gourmet Holiday Guide, Nestle Coffee Products, KIND Sample, Student Favorites in Grocery, Dairy & dairy alternatives, Lipton Natural Energy FREE Sample, Breakfast Deals, APS Test 2, Amazon Student Exclusive - 20% Off Groceries, Lipton K-Cup Sample, Restaurant and Bulk Food Supply, Featured SNAP-eligible groceries, SNAP Beverages, Breakfast Dairy, Save on Dairy, Cheese & Eggs, OIH_DCE, Coffee & creamer, DCE_milk and cream (+ND), Perishables OIH, Dairy and Non-Dairy Creamers, NYNY Dairy Essentials, Milk & Cream, RFS Food, 10% off DCE","B00451SGZ6"
"Aloha Organic Plant Based Protein Bars Chocolate Chip Cookie Dough, 1.98 Oz,(Pack of 12)","High Protein, +10% Off - Health & Household, Snacks & produce IA, Game day snacks & dips, Snacks, This week's best deals, Safe & Healthy Customer Favorites, Snacks Under 5$, 15% off coupon terms and conditions, Easy breakfast, Grab and go, Snacks, Lunchbox snacks, Gluten-Free Groceries, Featured SNAP-eligible groceries, d963aedb-8e7e-493c-80e7-b70e3c253824_9301, Snacks, Snacks, +10% Off - All Groceries, Game Day Snacks, Canned, Packaged & Baking, OTC, Snacks under $5, Snack Foods - Low-sodium, New to Fresh Snacks, RFS Food, Granola Bars, Shop & Save Terms & Conditions","B07RZM418G"
"Hint Water Clementine, Pure Water Infused with Clementine, Zero Sugar, Zero Calories, Zero Sweeteners, Zero Preservatives, Zero Artificial Flavors, 16 Fl Oz (Pack of 12)","Flavored Water, Beverages, Featured SNAP-eligible groceries, Beverages, Beverages, Water, Beverages, CSD and Water, BBQ Beverages, Springtime Beverages, Beverages for Summer","B082MNJS7J"
"Amazon Brand - Solimo Variety Pack Light Roast Coffee Pods, Hazelnut and French Vanilla Flavored, Compatible with Keurig 2.0 K-Cup Brewers, 100 Count","Coffee, Coffee from Solimo, an Amazon brand., Coffee & Tea, Breakfast Deals, Coffee, SNAP-eligible beverages, Coffee & Tea by Amazon, Prime foods at just-right prices, Beverages, OTC, Coffee & creamer, Main Coffee Base Shoveler, Coffee & Tea","B07NYTKF6B"
"Trident Tropical Twist Sugar Free Gum, 12 Packs of 14 Pieces (168 Total Pieces)","Chewing & Bubble Gum, Get ready for the big game, Candy & Chocolate, New Year, New You in Grocery, Featured SNAP-eligible groceries, SNAP_Sweets, Grocery Easter, Canned, Packaged & Baking, All Candy Coupons, Drinks Snacks 2, Movie Night Coupons, Sugar Free Gum, Gum & Mints, Bursting with flavor, Snack Foods - Sugar-free, Tier 2 Sips and Snacks, Sweets, Non-chocolate candy","B072LR912H"
"EXTRA Polar Ice Sugarfree Gum, 15 Sticks (Pack of 10)","Chewing & Bubble Gum, Gifts Up To 40% Off, Candy & Chocolate, Restaurant and Bulk Food Supply, Featured SNAP-eligible groceries, SNAP_Sweets, d963aedb-8e7e-493c-80e7-b70e3c253824_9301, New Year New You - Healthy Eating, Grocery Easter, Canned, Packaged & Baking, All Candy Coupons, New to Fresh, Movie Night Coupons, Snack Foods - Sugar-free, Non-chocolate candy","B002DQ2F9S"
"Maruchan Ramen Chili, Instant Ramen Noodles, Ready to Eat Meals, 3 Oz, 24 Count","Noodle Soups","B00MIK4LDW"
"Victor Allen's Coffee 100% Colombian, Medium Roast, 42 Count, Single Serve Coffee Pods for Keurig K-Cup Brewers","Single-Serve Capsules & Pods, Packaged Coffee, Cozy up with coffee, Coffee & Tea, Breakfast Deals, Coffee, Save on Coffee & Tea, Gluten-Free Groceries, Featured SNAP-eligible groceries, d963aedb-8e7e-493c-80e7-b70e3c253824_9301, 1, Beverages, OTC, Coffee & creamer, Main Coffee Base Shoveler, Coffee & Tea, Cups/Pods","B01FZKHC6Y"
"Nature's Bakery Fig Bar, Apple Cinnamon, 2 oz","Fruit Bars, Snacks & produce IA, Comforts of Fall, Game day snacks & dips, Snacks, Snacks Under 5$, All things apple, 15% off coupon terms and conditions, Taste all the shades of fall, Cinnamon, Apple everything, Kosher breakfast, Snacks, Lunchbox snacks, Vegan, Snacks, Vegan: Breakfast, Snacks, Game Day Snacks, Canned, Packaged & Baking, OTC, Snacks under $5, Snack Foods - Low-sodium, Fruit & Nut Bars, New to Fresh Snacks, RFS Food, Shop & Save Terms & Conditions","B009VWTL3U"
"Nespresso Capsules Original Line, Livanto, Medium Roast Espresso Coffee, 50 Count Coffee Pods","Beverages, Shop Nespresso Same-Day: Available in Select Metros, Breakfast Deals, Shop Nespresso Same Day: Available in select metros, Featured SNAP-eligible groceries, SNAP Coffee, SNAP Beverages, OTC, Coffee and Beverages","B004MFME2G"
"Twinings Chai Black Tea K-Cup Pods for Keurig, 12 Count (Pack of 6), Naturally Sweet, Savoury Spice Flavour, Caffeinated, Enjoy Hot or Iced","Black, f2acaa74-dfe3-426c-b654-a431ad2c4e38_7901, Tea, Twinings 7 Days of Lightning Deals - Chai, Save on Coffee & Tea, Coffee & Tea","B00GWV35DA"
"Dunkin' Original Blend Medium Roast Coffee, 176 Keurig K-Cup Pods","Single-Serve Capsules & Pods, Packaged Coffee, Cozy up with coffee, Coffee & Tea, Breakfast Deals, Coffee, Save on Coffee & Tea, 1, Beverages, OTC, Coffee & creamer, Main Coffee Base Shoveler, Coffee & Tea, Cups/Pods","B08238K9F1"
"Kraft Easy Mac Original Mac & Cheese Macaroni and Cheese Dinner Microwavable Dinner, 18 ct Packets","Macaroni & Cheese, Kitchen & Dining Features, Subscribe and Save: Grocery, Subscribe and Save: Kraft Heinz, Subscribe and Save: Meal Essentials, Back to Business Food & Beverages, Pantry, Grocery Back to School 17, Student Favorites in Grocery, Game Day Snacks & More, Grocery Subscribe and Save, Subscribe and Save for Back to School, Featured SNAP-eligible groceries, 25% Off Kraft Products, Meal Essentials, Kraft, Back to School: Meal Essentials, Back to School Everyday Essentials, Pantry Staples","B005ECO3H0"
"Sparkling Ice Caffeine Tropical Punch Sparkling Water with Caffeine, Zero Sugar, with Antioxidants and Vitamins,16 fl oz Cans (Pack Of 12)","Carbonated Water, Sparkling water, Sparkling Water, Soda and cocktail mixers, Beverages, Sparkling water, Sparkling water, Drinks, Featured SNAP-eligible groceries, Sparkling Water, Baverages, Beverages, Beverages, Water_Summer Store 2024, Summer Store 2024, Flavor Still and Sparkling Water, Water, Sparkling Water, Beverages, Flavored Still and Sparkling Water Multipacks, CSD and Water, Sparkling Water Multipacks, ALL BEVS MULTIPACKS (no packaged c&t), BBQ Beverages, All Sparkling Water, ALL Water Multipacks, Springtime Beverages, Beverages for Summer, Sparkling  Water","B07PB5K2S8"
