"Title","Categories: Sub","ASIN"
"TERRO T300B Liquid Ant Killer, 12 Bait Stations","Baits & Lures, Lawn & Garden Low Return Rate Alert, Customers Keep It - 40%, V4 Customers Keep It - 30%","B00E4GACB8"
"Zevo Flying Insect Trap for Indoors: Light Trap Captures Fruit Flies, Gnats and Houseflies, Starter Kit (1 Plug-in Base + 1 Cartridge)","Traps","B07T869RNY"
"Catchmaster Max-Catch Mouse & Insect Glue Trap 72pk, Mouse Traps Indoor for Home, Sticky Pest Control Adhesive Tray for Catching Bugs, Rats & Rodents, Non Toxic Bulk Pre-Baited Glue Boards","Traps, V4 Customers Keep It - 30%","B003ORTFH0"
"Chapin 20003 Made in USA 3-Gallon Lawn and Garden Pump Pressured Sprayer, for Spraying Plants, Garden Watering, Lawns, Weeds and Pests, Translucent White","Sprayers","B0038EE754"
"Flexzilla Garden Lead-In Hose 5/8 in. x 10 ft, Heavy Duty, Lightweight, Durable, ZillaGreen - HFZG510YW-E","Garden Hoses, Kitchen & Dining Features, Customers Keep It - 40%","B01D51VB9E"
"Burpee Wildflower 25,000 Bulk, 1 Bag 18 Varieties of Non-GMO Flower Seeds for Hummingbirds and Butterflies","Flowers, Seeds, Flower Seeds","B077XD5NJ7"
"Advion Cockroach Gel Bait, 4 Tubes x 30-Grams, 1 Plunger and 2 Tips, German Roach Insect Pest Control, Indoor and Outdoor Use, Roach Killer Gel for American, German and Other Major Cockroach Species","Baits & Lures, V4 Customers Keep It - 30%","B0148W0WOE"
"Burpee Natural & Organic Coconut Coir, 8 Quart, (1 Pack)","Fertilizers & Plant Food, Prep your soil, Fertilizer, Soil & Seeds","B078GQPRX4"
"Hot Shot No-Mess! Fogger With Odor Neutralizer, Kills Hidden Bugs, No Need To Turn Off Pilot Lights 3 Count (Pack of 6)","Foggers","B008H5BCE8"
"Catchmaster Rat & Mouse Glue Traps with Sticky Putty 2Pk, Large Bulk Glue Rat Traps, Mouse Traps Indoor for Home, Pre-Scented Adhesive Plastic Tray, Snake, Mice, & Spider Traps, Pet Safe Pest Control","Traps","B0757F2D74"
