"Title","Categories: Sub","ASIN"
"Filterbuy 14x14x1 Air Filter MERV 8 Dust Defense (4-Pack), Pleated HVAC AC Furnace Air Filters Replacement (Actual Size: 13.75 x 13.75 x 0.75 Inches)","Furnace Filters, V4 Customers Keep It - 30%, Tools & Home Improvement Low Return Rate Alert, Customers Keep It - 40%","B00CJZ7SJK"
"Simply 14x14x1 Air Filter, MERV 8, MPR 600, 6 Pack, For Home AC Furnace & HVAC (Actual Size: 13.75""x13.75""x0.75"") DUST, Pet, & Allergy Control","Furnace Filters, V4 Customers Keep It - 50%","B07G2LFCF2"
"Kidde Carbon Monoxide Detector, Plug In Wall with AA Battery Backup, Test-Hush Button","Carbon Monoxide Detectors, V4 Customers Keep It - 30%, New to Smart Home Coupon Set, Fire Safety, Tools & Home Improvement Low Return Rate Alert, Kidde Promotions, Popular With Pros, Kitchen & Dining Features, Holiday Picks Home","B00M48BH30"
"Rust-Oleum 331182-6PK Painter's Touch 2X Ultra Cover Spray Paint, 12 oz, Ultra Matte Black, 6 Pack","Spray Paint","B07ZV3841J"
"Brita Standard Water Filter for Pitchers and Dispensers, BPA-Free, Replaces 1,800 Plastic Water Bottles a Year, Lasts Two Months or 40 Gallons, Includes 8 Filters, White","Replacement Pitcher Water Filters, V4 Customers Keep It - 30%, Kitchen & Dining Features, Healthy Cooking - NYNY 2017, Father's Day, Brita Back to School, Kitchen instock and available, Kitchen Low Return Rate Alert, Brita","B00BG53EF6"
"Filtrete 12x30x1 AC Furnace Air Filter, MERV 5, MPR 300, Capture Unwanted Particles, 3-Month Pleated 1-Inch Electrostatic Air Cleaning Filter, 6-Pack (Actual Size11.81x29.81x0.813 in)","Furnace Filters","B07XD5CQJZ"
"SYLVANIA ECO LED A19 Light Bulb, 60W Equivalent Efficient 9W, 7 Year, 750 Lumens, Medium Base, Frosted, 2700K, Soft White - 24 Count (Pack of 1)(40986)","LED Bulbs, Popular With Pros","B08J83ZC9X"
"ZeroWater Official Replacement Filter - 5-Stage 0 TDS Filter Replacement - System IAPMO Certified to Reduce Lead, Chromium, and PFOA/PFOS, 3-Pack","Replacement Pitcher Water Filters, V4 Customers Keep It - 30%, Home & Kitchen Features, Kitchen & Dining Features, Kitchen instock and available, Kitchen Low Return Rate Alert","B00OZIOLEY"
"Filtrete 12x24x1 AC Furnace Air Filter, MERV 11, MPR 1000, Micro Allergen Defense, 3-Month Pleated 1-Inch Electrostatic Air Cleaning Filter, Pack of 2 (Actual Size 11.719x23.72x0.85 in)","Furnace Filters, Air Filters, Try Subscribe & Save","B00TUDHCJK"
"Tenmiro 32.8ft LED Strip Lights, RGB LED Smart Music Sync Color Changing LED Lights Strips with Remote LED Lights for Bedroom, Room, TV, Party","LED Strip Lights, Home & Kitchen Features","B07XR7SX48"
"AquaBliss High Output Revitalizing Shower Filter - Reduces Dry Itchy Skin, Dandruff, Eczema, and Dramatically Improves The Condition of Your Skin, Hair and Nails - Chrome (SF100)","Showerhead Filters, V4 Customers Keep It - 30%, Bathroom Refresh, Customer Favorites, Popular With Pros, Kitchen & Dining Features, Bathroom Upgrades","B01MUBU0YC"
"Brita Elite Water Filter Replacements for Pitchers and Dispensers, NSF Certified to Remove 99% of Lead, 2 Count, Blue","Replacement Pitcher Water Filters, V4 Customers Keep It - 30%, Home & Kitchen Features, Kitchen & Dining Features, Home Gift Guide: Featured Brita, Clorox, & GLAD Products, Top Kitchen, Kitchen instock and available, Home Gift Guide: Featured Brita, Clorox, & GLAD Products, 0803 OIH - HK","B01MU7973W"
"DAYBETTER Led Strip Lights Smart with App Control Remote, 5050 RGB for Bedroom, Music Sync Color Changing for Room Party 50ft","LED Strip Lights, Kitchen & Dining Features","B08JSFH1G6"
"Felt Furniture Pads X-PROTECTOR 133 PCS Premium Furniture Pads - Felt Pads Furniture Feet Best Wood Floor Protectors - Protect Your Hardwood & Laminate Flooring! Brown and Beige","Furniture Pads, V4 Customers Keep It - 50%, Tools & Home Improvement Low Return Rate Alert, Popular With Pros, Kitchen & Dining Features","B01D93Z9ZA"
"Art3d Smoothing Tool Kit for Applying Peel and Stick Wallpaper, Vinyl Backsplash Tile","Wallpaper Tools, Paint & wall treatments, Popular With Pros","B08FKW9JRM"
"Aerostar 24x24x4 MERV 13 Pleated Air Filter, AC Furnace Air Filter, 6 Pack (Actual Size: 23 3/4""x23 3/4""x3 3/4"")","Furnace Filters, Air filters, National Safety Month: Facility Maintenance, Prime Day Deals, Filtros de aire","B01D94D9KQ"
"Aerostar 18x20x1 MERV 8 Pleated Air Filter, AC Furnace Air Filter, 6 Pack (Actual Size: 17 3/4""x 19 3/4"" x 3/4"")","Furnace Filters","B01CSWQ8EE"
"Amazon Basics Replacement Water Filters for Pitchers, Compatible with Brita Water Pitchers & Drinking Water Filter Systems, BPA-Free, WQA & NSF Certified, Made in Europe, 6 Month Filter Supply, 3-Pack","Replacement Pitcher Water Filters, Kitchen & Dining Features","B07YT16TMS"
"Amazon Basics Power Extension Cord, 20 Feet, 13 Amps, 125V, White","Extension Cords, ee8a22bf-7785-470e-b476-0fd86b9250ee_9501, 391fa3a0-755b-400e-98cb-8baba1d2b47e_1901","B075BNXVGS"
"Pro Grade, Paint Brushes, 5-Piece, Paint Brush Set: Flat & Angle Brushes for Latex and Oil Paints, Stains, Interior & Exterior Home Improvement","Paint Brushes, V4 Customers Keep It - 30%, Celestial pumpkins, Paint & wall treatments, Paint & wallpaper, Popular With Pros, First Apartment Essentials: Tools, Paint & wallpaper","B07JHQ4L4F"
"Glocusent Book Light, 3-Color & 6-Brightness Reading Light, Bendable Neck Light, 80-hr Lasting Rechargeable Lamp, Perfect Book Light for Reading in Bed, Knitting, Camping, Repairing, Book Lovers Gifts","Book Lights","B082CWDHQQ"
"Filtrete 14x24x1 AC Furnace Air Filter, MERV 11, MPR 1000, Micro Allergen Defense, 3-Month Pleated 1-Inch Electrostatic Air Cleaning Filter, 4 Pack (Actual Size 13.81 x 23.81 x 0.81 in)","Furnace Filters, V4 Customers Keep It - 30%, Customers Keep It - 40%","B005GZ92FI"
"50ft Led Lights for Bedroom, Bluetooth Smart APP Control RGB Color Changing Led Strip Lights with Remote Control and Power Adapter Led Lights for Room Kitchen Party Home Decoration","LED Strip Lights, Customers' Most-Loved Home_Temp","B08BZGRVN4"
"TubShroom Ultra Revolutionary Bath Tub Drain Protector Hair Catcher/Strainer/Snare, Stainless Steel, Stainless Combo","Drain Strainers, Kitchen & Dining Features, Home Outlet","B07MKPMBCJ"
"Puroma 2 Pack Combination Lock 4 Digit Locker Lock Outdoor Waterproof Padlock for School Gym Locker, Sports Locker, Fence, Toolbox, Gate, Case, Hasp Storage (Black)","Combination Padlocks, V4 Customers Keep It - 50%, Popular With Pros, Customer favorites home improvement","B075DFPR2W"
"BAYKA Floating Shelves for Bedroom Decor, Rustic Wood Wall Shelves for Living Room Wall Mounted, Hanging Shelving for Bathroom, Laundry Room, Small Shelf for Plants, Books(Gray-White,Set of 3)","Bathroom Shelves, Kitchen & Dining Features, shelving & bookshelves","B07VXRKJG5"
"Filterbuy 20x30x1 Air Filter MERV 8 Dust Defense (6-Pack), Pleated HVAC AC Furnace Air Filters Replacement (Actual Size: 19.63 x 29.63 x 0.75 Inches)","Furnace Filters, V4 Customers Keep It - 50%","B00CK028C6"
"HAUSBELL LED A100 Flashlight Bright, Zoomable Tactical Flashlights Flash Light with High Lumens and Five Modes for Emergency and Outdoor Use Camping Accessories, 4 Pack","Handheld Flashlights","B07V294P99"
"Homemory Pure White Flameless LED Tea Lights Candles, 200+Hour Battery Operated Fake Electric Votive Candles TeaLights for Christmas, DIY Mood Lighting, Party, Holiday, Funeral, Home Decor, 24-Pack","Flameless Candles, Candles, Kitchen & Dining Features","B07VF94SCZ"
"Buself Shoe Covers Disposable Non Slip - Pack of 100 (50 Pairs), Premium Waterproof and Recyclable Shoe Booties Covers for Indoors, Fits Up To 11 US Men and 13 US Women Size","Boot & Shoe Covers, Popular With Pros","B08LBB2RT2"
"iBayam 2 Pack Tape Measure Measuring Tape for Body Fabric Sewing Tailor Cloth Knitting Vinyl Home Craft Measurements, 60-Inch Soft Fashion Pink & Retractable Black Double Scales Rulers for Body Weight","Tape Measures, HMT test, Shop All Notions","B07WG5B464"
"KSIPZE 40ft Led Strip Lights RGB Music Sync Color Changing,Bluetooth Led Lights with Smart App Control Remote,Led Lights for Bedroom Room Lighting Flexible Home Decor","LED Strip Lights","B08H4L5W7H"
"SparkPod Shower Head - High Pressure Rain - Premium Quality Luxury Design - 1-Min Install - Easy Clean Adjustable Replacement for Your Bathroom Shower Heads (Polished Antique Brass, 6 Inch Round)","Fixed Showerheads","B08LKQLN6X"
"FEATOL Back Brace Support Belt-Lumbar Support Back Brace for Back Pain, Sciatica, Scoliosis, Herniated Disc Adjustable Support Straps-Lower Back Brace with Removable Lumbar Pad for Men & Women","Back Supports, Popular With Pros","B07WZZFL9T"
